OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Bridgewater Management System",2012-09-26,,zip,265671786,cebf0fe9ee43e370b61067559d6df101,3bcd5cb1badc846f783f78a22a88c5e3badcb816,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Common Utilities",2012-09-26,,zip,1712720782,bfbf34b34caf438559688499cea7ce72,420f69a1447022a5ba897ccc81eb1a0407f59611,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Common Utilities part 2",2012-09-26,,zip,1364377445,143db1baffef9b64682cfbe44b78a0f1,0bd5f7d80ff50e6952c01670f7bcc252650e74da,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Common Utilities part 3",2012-09-26,,zip,1510873722,5aefd7af8b8319a705268dc02a128038,60302f99b139a72f540e90804a6c5f38806658c5,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Common Utilities part 4",2012-09-26,,zip,1388293990,f549e25c6aa00782e493d6bea35b7c62,99e18bc6dc8254927a656ee16ed2134960ad1e71,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Common Utilities part 5",2012-09-26,,zip,2228549084,5c7f30a04b7e1a852dd295680f2afc74,080755c3c2f43176142e0633f303ae9ef59b4ee5,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Common Utilities part 6",2012-09-26,,zip,1442960700,dded3f498fd4a38d7543b61f37d5523c,8e9ebd0cc363069f6546b23c297f4b4eb2c28c0b,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution EPC",2012-09-26,,zip,374674991,2ff3af86e2fdb31fe8248fe069ad1911,1363992b5ccc6953a44af3baf5bbae392a489155,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Gateway",2012-09-26,,zip,309036248,45b76e578703c73c5d2f8b5d7b974d49,1126dc7e4dd83b4333568f707b5ecb18c08ffe68,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution PCRF",2012-09-26,,zip,309604112,f0b052155dc393927acfd4176d60d2b6,582845d99d8cc7c6078562b942b3d67215e8783c,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution Subscriber Data Broker",2012-09-26,,zip,473293496,cd5d4969a89ace05adce719d555c0e3e,79f4ddb9da3a8977c45eec9ae871be57ffe7c186,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution UAT part 1",2012-09-26,,zip,1719375196,2bc90670a6058eadab43d9fdef303cfb,fa1fa346c9939d2a5a35b49895595d71c46eee80,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution UAT part 2",2012-09-26,,zip,2121357906,90dd10259501c38131d9e00256ac1c96,846f22eae780c5d7e453afaf6260c4998034eb8f,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution UAT part 3",2012-09-26,,zip,2115836244,b81e1bd7f1c4f293d260b1f730e3a47f,fc720a0b44dbb257a160c49092bd47f82f4aa39b,,
"Amdocs-Bridgewater Mobile Policy and Control",8.2,"Amdocs Data Experience Solution UAT part 4",2012-09-26,,zip,716175534,1c954a7ba6be4bd6ddea37b6a19fc0c7,e11ed9b200cdb875eeea8b0a868f99b59abf90cf,,
"Amdocs-Bridgewater Mobile Policy and Control",9.6,"Amdocs Common Utilities (Part 1)",2012-07-20,,zip,2592395154,06658a2d4cc6f77b133e47feb052cc3b,6669adde5c6fc294edec8dd8cb7ef8957595a040,,
"Amdocs-Bridgewater Mobile Policy and Control",9.6,"Amdocs Common Utilities (Part 2)",2012-07-20,,zip,2409133048,b2a66430721c6394f1dec00b75b8641b,cfc69a711fe7d6938f4ae2c93cd4a6722fea7d12,,
"Amdocs-Bridgewater Mobile Policy and Control",9.6,"Amdocs Home Subscriber Server, Ver. 1.6",2012-07-18,,zip,263727740,33cccf227c406ca69ec356ed9567758b,95224cb14296d257ee4e99f5bae49392e64c7fec,,
"Amdocs-Bridgewater Mobile Policy and Control",9.6,"Amdocs Policy Controller, Ver. 4.6",2012-07-18,,zip,285977103,a87c99de9c17f21341ae6dc1424af49d,0945f216083f700e69e322791851421549423d9a,,
"Amdocs-Bridgewater Mobile Policy and Control",9.6,"Amdocs Subscriber Data Broker",2012-07-20,,zip,397134181,198d6d5163c01ded2ebe467dac6b84c3,d162ab20cf6fcdb2979acb2e2f2164ee3f369a0e,,
