OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Apstra Fabric Conductor",4.1.0,"Apstra Automation SDK",2022-04-25,,whl,349786,d062ca7a7ac7f135de4adee113d84c3b,9b47061f0ef63b90e689668762d7421ad680958e,b92ef004c627ce62fc581b3e9017dce095e69695c927f13ea4079657a3855c7a,46d3fbddd41db9198984c9fa5de0e21a5657bc3e6925a4906bb904b406fee7ca5134d1d1476528ddd86feec32e2fe4b7d427efe2d93a36acccc870bce74acdf4
"Apstra Fabric Conductor",4.1.0,"Apstra CLI Utility",2022-04-25,,gz,133651244,3a7c1a3568bdb896946c3a74c7b65d97,8fd953549889ed67c66ce9e8e47de4b41850ad17,9824cb730e22cbe35f9766c186f0bcb156c6f93943a425ee7b431a896bc20e0a,d5e88937f9191528ba4436f94f3bd00ee30bd92a523011eb5a0fcd520a5a67dbd02cc67d72a99d1ed35a52950301c1ec61b06559539ae14d151d5db3f7129db5
"Apstra Fabric Conductor",4.1.0,"Apstra VM Image for Linux KVM",2022-04-25,,gz,2112894949,88ec3661ed1391a4cacb666f90002cff,c98b29863c4d77e78ce0825c069290b2458ee0e1,59479e451e735b5e7d229adc0ccf48784686435d8fe738336f5d88ea450c49f4,4b661c99841cc5b99a13a16a96d8729d2b7e0c738b4acc827310a680e3362400a33621ca8d02734dbe43f4563adbab06c62824a8b626eeba8a2748c434c264d7
"Apstra Fabric Conductor",4.1.0,"Apstra VM Image for VMware ESXi",2022-04-25,,ova,2198054400,5d391bc294f145a49d383689730c91a4,3da59a52200756712f15bcc27c7ab06b24695036,825f32556ab732a2644e6d94318d25ec79a22825700e03db801c2a1725dc1bdf,e8e55a7ca8e880531ae30a52e1c04331875f1b12170d5f21bcc1ae618fe969e27d5800fc57e7ea7adb972e3e102a0c5be975942df67c33b623e0c2c3d0171004
"Apstra Fabric Conductor",4.1.0,"Apstra VM VHDX Image for Microsoft Hyper-V",2022-04-25,,gz,1997763845,145674be9296723d37e4b53c55a59712,a1c0ca3185ef3a61b9150779c7434c7f66071d36,d3c852ac60163546ed53cfb205c9025a226e7e886537a363e2876d524b5fc2bb,b7b3aa126e604ecaf6a2c2be817dedc7d00f92885b964b192e2a43240f5703be1fad099537be0fd9a85d917e84fbaef55ebed8c48912fcf5a42f040907d74261
"Apstra Fabric Conductor",4.1.0,"Apstra ZTP Image for Linux KVM",2022-04-25,,gz,1497371463,1b950334adb94dfa7bbdbd2506e946bd,9b08d65fbcafadc943a51a80270f74837efab03e,7b1280d7b8eda5238c5d4b774432b9adfb4313cf81ebe2aa2d1ff4f4a48dc6f0,cded7931617d8d6f4a377a35049a131f0d803f641d25eb8db6c97a5ce221a67287cbae6212cd84e574c85ea7b00ca58d0dcb0c6e2a2197031c72f400a01ae9c5
"Apstra Fabric Conductor",4.1.0,"Apstra ZTP Image for Microsoft Hyper-V",2022-04-25,,gz,1432009031,44eb3f226736b82b01f02adab4134b38,feaf867cc483f0d9e9bd0604e571b0f9c3870dda,593d2d5a7d580e5de7ee740942813428604da60c1bef4be7973a0bc5fe50b7c2,24f396a81f3e9fd4f8c6612f60aac467ade9eac1d05e74720c019c2d6fb889e53071efb87e12ec485dbd036598b1f7d176eccaea29da80534cb720c17fef7d5f
"Apstra Fabric Conductor",4.1.0,"Apstra ZTP Image for VMware ESXi",2022-04-25,,ova,1565193216,9d539cafc6c6f4436ab9e5a55a35c5b7,6de6a2f139f728e018003130f4eae4c3d449fe3e,098f752708a3aaaa4a7c54c561c1869a9c29ea3fe73a85b1d2998520c22f7fd6,61069fe2becd6030879251554bdbd6f770b33d6a7707f5faa623c6b93c45638cbe5f24db3e479f9803deaa11d8d8316148bb3586f8987591be75808b1ae2bc04
"Apstra Fabric Conductor",4.1.1,"Apstra Automation SDK",2022-08-11,,whl,369134,a16cc67e225b6877ce1cf100dcf20579,5e29c4f3dd922b83097333c9f47d4226ba3dad5d,4d89d19f73a5f6ef27d2a9a261522007a74393d9fed7ccf1b700f10cb8f379c1,6225e5190cedb8eb333894562b299a26d77fac77f44b040f2e03c5a82482570da88d606116d91afcea7d47c8538c48837875073db689b9a7cf7c5b6b22f716d6
"Apstra Fabric Conductor",4.1.1,"Apstra Automation SDK",2022-08-11,,whl,369976,136113322a8fdf8de17ae48399d447ee,958fcac474de25744a46d0aa6f0b721bea70abe8,c28ef1dde1a9b655ed020b7d4bc6300c2f7c0947b4389cc5eca097722ff35310,4623ea75b54534ef317a764557f50430a388ad33f96086d6317073c7c5b077a26465facff47f7b12565a3358178c342ed0d876685163ed53018c0c04858d6ba3
