OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
BTIOS,1.1.1,"BTI805 NE SW",2016-08-16,,zip,12193908,029213518ed192f6660499c5853a960b,2bdc2e78018c5f933d23f5515d57d3d1e836af92,,
BTIOS,1.1.1,"BTI820 Series NE SW",2016-08-16,,zip,13590994,6193d4c1f473cb8a66071cbaa48fd296,2ef8372f3cb3c32d144a9f0d89ff515c1cbf724a,,
BTIOS,1.1.2,"BTI805 NE SW",2016-08-16,,zip,12201162,0f6714de73af3158f9c9ca85fa3df52f,dd0e5d5f711aff8e0cd946171c724ccec4be753d,,
BTIOS,1.1.2,"BTI820 Series NE SW",2016-08-16,,zip,13600880,0b50839abdd943976a5339318228423f,7f5b67e31b403fb32aea24898d7fd94d7ffcbdf2,,
BTIOS,1.2.3,"BTI805 NE SW",2016-08-16,,zip,12559140,2e734cc6e473e4243b5bb476e4c92d83,5ce5fd9ba28e0a4fe3ff946abd64acdaa5fea148,,
BTIOS,1.2.3,"BTI820 Series NE SW",2016-08-16,,zip,14050203,2d473f54473c544f0bbce7ccbc22e444,dbbd32c9a00131fa01172f396bb06c4dab36872b,,
BTIOS,1.2.6,"BTI810 NE SW",2016-08-18,,gz,29487137,5903da8cde39996a1673276309450ebe,e39b1e7630852e40e28d788bafcea4f2ef8ca2b8,,
BTIOS,1.5.2,"BTI7800 NE SW - RPM",2016-08-18,,rpm,719235762,,,,
BTIOS,1.5.2,"BTI7800 NE SW - USB",2016-08-18,,gz,856536667,,,,
BTIOS,1.5.5,"BTI7800 NE SW - RPM",2016-08-18,,rpm,714548804,,,,
BTIOS,1.5.5,"BTI7800 NE SW - USB",2016-08-18,,gz,851744721,,,,
BTIOS,1.6.0,"BTI7800 MIBs",2016-08-18,,gz,26327,,,,
BTIOS,1.6.0,"BTI7800 NE SW - RPM",2016-08-18,,rpm,683218812,,,,
BTIOS,1.6.0,"BTI7800 NE SW - USB",2016-08-18,,gz,821896375,,,,
BTIOS,1.7.0,"BTI7800 MIBs",2016-08-18,,gz,26387,,,,
BTIOS,1.7.0,"BTI7800 NE SW - RPM",2016-08-18,,rpm,683300805,,,,
BTIOS,1.7.0,"BTI7800 NE SW - USB",2016-08-18,,gz,821971075,,,,
BTIOS,10.3.0,"BTI7000 MIBs",2016-08-18,,zip,531326,eaea60814d3c8683c8afe8f661ac1a9d,c46ad27f80e625245922b5dc9aa1fc53ac55122e,,
BTIOS,10.3.1,"proNX 900 Node Controller (Linux)",2016-11-17,,bin,113657099,6b0fef91a912859c4643b0e2d9ea7df4,86326040294d9e614a05594146307045513fa960,,
BTIOS,10.3.1,"proNX 900 Node Controller (Windows)",2016-11-17,,exe,107979437,23765ce94cf7b9d95a3ba61baaf171c7,8e9828efa9542bce7a65dbdf1352b417c7cf4df3,,
