OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
CTPOS,6.4R1,"6.4R1 Flash Image - All Platforms",2012-08-13,,img,536870912,e4361c9a1a5a289fdc29cfe05cf8ec67,7a0b74b9e9dc92f3a32360ac7b4ed1009695e54b,,
CTPOS,6.4R1,"6.4R1 Release Bundle",2012-08-03,,tgz,15227561,da5989c1a36585eb4800e32fbd5b6e18,66b61ca625046d424fb65d95609379862a5f116a,,
CTPOS,6.4R1,"Special FPGA Downgrade Support File used when line card is not recognized",2011-03-15,,tgz,942731,9a99401738b681a90b61273ef8525229,e3e1acf14703c13fb140e2cadf8341fc36dca631,,
CTPOS,7.2R1,"7.2R1 Flash Image-All Platforms",2016-02-11,,img,536870912,7f28b2bfcf9807e3248cf1994c9426b2,9dd8d8dee1260cb2a111475c95798c7aed661838,,
CTPOS,7.2R1,"7.2R1 Release Bundle",2016-02-11,,tgz,32638054,f73537192a51e16e41e1e151c4c96c66,444ad9dec80137dc8b4865f841cf72cd1afe333d,,
CTPOS,7.3R1,"7.3R1 Flash Image-All Platforms",2016-09-06,,img,536870912,8fdfeb0e8ec5197908366fa701860dde,c3ac050809aef55968df4eae9e41ceb42b9f6e66,,
CTPOS,7.3R1,"7.3R1 Release Bundle",2016-09-06,,tgz,29186659,52c6409a5eb46bd2727b2fbe6fe95390,36034e5984e9dafd88f367f30f1012b620e16e07,,
CTPOS,7.3R2,"7.3R2 Flash Image-All Platforms",2017-03-03,,img,536870912,8985ece6d9e1674ef23cde92d93d8706,165b368ac74f121940bf03742f977e4d72b765d5,,
CTPOS,7.3R2,"7.3R2 Release Bundle",2017-03-10,,tgz,32130243,4536c73115d9f1969fbded76d7c98bf5,502e81760d07db0f60996efaa498b005cec28029,,
CTPOS,7.3R3,"7.3R3 Flash Image-All Platforms",2017-07-03,,img,536870912,8a49cae970d606829820ce784c795eda,eaf5e809c6f4b85ce592bdd260eee1a5bb29fc80,,
CTPOS,7.3R3,"7.3R3 Release Bundle",2017-07-03,,tgz,32209350,6e94f0fde72046ed378191a7a6af7e14,f56df32e35d7b3723827bfe2a4d56a06b2462dd9,,
CTPOS,7.3R4,"Flash Image-All Platforms",2018-02-01,,img,536870912,8cc635445266522f1ff5fd6304614173,c7ae5e6652c3f43a5a72c4dfb05a737d3deea57d,,
CTPOS,7.3R4,"Release Bundle",2018-02-01,,tgz,32604411,a4a0edb84e8eb25f8196fcca2e0c7e29,bcae7c75aa2273110edc962ba572e11f7f6c5a47,,
CTPOS,7.3R5,"Flash Image-All Platforms",2018-09-21,,img,536870912,1c578c163770a0622f64e79722649eda,8ac0cc75dbc1ba65c41ce7b3237d11297a9e0372,1ee8ec4a867afec3b093bae0bc0b1a65db08c958a5fad6f25858714dc3a09d86,4b02388b07f4b498f7234544414e60e6fe0008663f61b33c4839c1275d87f957de493dbd07ef49d371678c3c47d3957b8d332873bd028d6b34b34e00c4c723a3
