OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"CX111 3G Bridge",1.6,"Junos RPM Monitor Configuration Script",2010-01-13,,xslt,19688,edbc2c83825097c091902df0a4f5f973,5c7891fbfed2d0e0db2325c11469812d7bbe7732,,
"CX111 3G Bridge",1.6,"Junos RPM Monitor Event Script",2010-01-13,,xslt,48820,4ed4c4c2d9928776d5ae0c279bb2de2f,98aea01109bffd90873ff64939403aabd69573e0,,
"CX111 3G Bridge",1.6.10,"CX111 3G/4G/LTE Bridge OS",2010-04-15,,bin,1179648,6f27b9bc4adfac24c67f639c485b7082,51ec64f77b2990f9e00889c710db3cf2d107f94e,,
"CX111 3G Bridge",1.6.8,"CX111 3G/4G/LTE Bridge OS",2010-01-13,,bin,1179648,a8e836bcad039494090c7a7193640772,9168dc907d7f03fb1713c575bd4f1b9affb6620e,,
"CX111 3G Bridge",1.7.2,"CX111 3G/4G/LTE Bridge OS",2010-09-15,,bin,1245184,11c07cad9c9181a479498e09220ab412,f0656b95f2f72dea89b0738535e5c7131147ab11,,
"CX111 3G Bridge",1.8.2,"CX111 3G/4G/LTE Bridge OS",2011-07-07,,bin,1310720,9303ea89770fdf3501811e464f1929dc,3de38849f67daab888d421e40c91c3c2ef4dbedb,,
"CX111 3G Bridge",1.8.2,"SNMP V1 MIB file for Managing the CX111",2011-07-25,,,84205,e6d73c85d0df982fc3ccd345f3cb213e,8defe60f1312f2346bb5cae2753edaba7c091130,,
"CX111 3G Bridge",1.8.2,"WiMAX Modem Binary",2011-07-07,,bin,653828,1d9b4bb242493805a93c4295c5f2442f,361078d923254bd20202e7767ecddb9bca8c84b5,,
"CX111 3G Bridge",1.9.1,"CX111 3G/4G/LTE Bridge OS",2012-02-16,,bin,1376256,90394301f1462726e18d089da006b7a2,6ef1814ecedfb506431093d303b05963b877d4f9,,
"CX111 3G Bridge",1.9.1,"SNMP V1 MIB file for Managing the CX111",2011-11-03,,,85208,12c8b5d1563ea7b3df429f0564842cbb,f5266e33467272983d81be97408ddcd565b0fcca,,
"CX111 3G Bridge",1.9.1,"WiMAX Modem Binary",2012-02-16,,bin,653828,1d9b4bb242493805a93c4295c5f2442f,361078d923254bd20202e7767ecddb9bca8c84b5,,
"CX111 3G Bridge",2.1,"CX111 3G/4G/LTE Bridge OS",2013-02-20,,bin,1441792,aca73b92aecac90272fb38a2472340df,0488bb56bb134497fd012265040652808395f19b,,
"CX111 3G Bridge",2.2.2,"4G Modem Firmware v305.10.06",2013-08-08,,zip,31465395,ad417ffde6d98b874a51e3973e3571cc,f68e8710c86944d37f35cc0e782607ac1ad0bbf1,,
"CX111 3G Bridge",2.2.2,"CX111 3G/4G/LTE Bridge OS",2013-07-17,,bin,1441792,19a37d76cf6ce16eeda59928d615e006,a8a02aa8abf0b3e2ccfd05a3fa35193d0cd99400,,
"CX111 3G Bridge",2.2.2,"SNMP V1 MIB file for Managing the CX111",2012-09-27,,,85208,12c8b5d1563ea7b3df429f0564842cbb,f5266e33467272983d81be97408ddcd565b0fcca,,
"CX111 3G Bridge",2.2.2,"WiMAX Modem Binary",2013-07-17,,bin,653712,6aec9f17cb8f593cbd31105f382d509d,f98c9e97dc04d0a2e5d9e89f4b6eaf0d0832da99,,
