OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Connectivity Services Director",1.0R1,"Connectivity Services Director",2015-09-30,,img,297679379,2c75a52fa50dbea889c5c8d6efa3c954,723e5c47dc23136f1b5edf53f97b8d1eadcff851,65bb42ec824af1e84efcb83c48be63b60f84ca4782181f76d1243211916ad717,ec7d915825fd0750ea530751899ab81b4e04ddd31fb61d406316e064c3d221ef3027282f08d03f73d6b0b846b216c34a5bbe6c4ee50d3b4cc18341016a89dc59
"Connectivity Services Director",1.0R2,"Connectivity Services Director",2015-12-30,,img,301629570,af86f2f2c46f0ef151221a6c525b4352,f7c6b50bccedec2d2c164db56bcda33a345cb7f0,10eab683e26e675eb25c6811d1d4dc633799a8c09ae5bcac43226814be4ab78e,7846947728af796b36bdb19c9c9abc12f72ea702306fa14f2cacfbd8936114bae1c22ea4c98f53e8b56456d090cede3cc54075bcbb0c2fdb419daa61ef415abc
"Connectivity Services Director",2.0R1,"CSD Topology Bundle",2016-07-15,,rpm,856394968,3c3a08c07b52eaba5301150d596c6ab8,a59219117c574525808686e4bc691b392111a69a,02b0aa3ba4357e8c6d77d409d67356c425cb0664818a304a4fbe0feaefb618e4,16a62429232399efeae5516b4e760c35d56f09fbf92c3dbd695324a12af879e463a197654dbb4c91d5b78433cdb08b573182f13228138a89a375cb9f10cfdff5
"Connectivity Services Director",2.0R1,"Connectivity Services Director",2016-07-18,,img,186720144,e42bcd237d9d5a5131b4c14503ff6bdf,b94b9007acbb4b27c47842f31784e2e74d8fefef,ff806823d018f909cd3085e8d5ad3186a8dec6f50e66dc2fad7adabd8ecd5fde,3ecd0cc3e1aa26b6688d01143b5172ed7107d380f118dcddf29506be30a72760ac0575299d0c886451f8fa9abbbee01d14d92a3dd3e4a1ac7a9100d33eebdc4b
"Connectivity Services Director",2.0R2,"Connectivity Services Director",2016-09-03,,img,186693546,c09378a098f5627bfd23d958d9308025,c67f3064b2a30138a57c7bcae7ec74c4b7bce861,a9a2495476c48cbb8cb1f6d5c65f03355b564d672587678f72996fc7d7622104,78fa2122dddca9999bd35d27aed6407a727faaa74d1848e11adf6f73e048adc32022af66ae69310029e6e770e0c1756d767759627e2a73727aaefbe27c150d7c
"Connectivity Services Director",2.0R3,"Connectivity Services Director",2016-11-25,,img,186703823,1b9cf094204339c758c5780750942639,385ef5c6ec2948779dcb07c119f92a02407ba01a,69efa0e72a4de4b389c82738fd0d7c06d1f6f1dc99ab6ac3c235ce60e00f4c2b,ecad4420b5d3bb4bd54c92088a7e2d78aced797cba57f2075241de00e58200245a163fa5cd9393e22252220ca62364f94e7f41f83c636e1988373672097f21b0
"Connectivity Services Director",2.0R4,"Connectivity Services Director",2017-02-09,,img,187162368,ac59084ca26f5f71f80b15b94d51b337,76cbefecc3fc9759240ed4b1d3a3cd4203e5f428,1117442240b8a0151299ef71b49e3e26256434bfff955cd5bda15d68e25abd2b,6a19e8e36b5039a2bae5cde4d875083bf9c190d75fb21008c286190a1fbca33131e25fd85bf277e54bcfbd38c5e79878e8b6ecaa3ba8095ef6e925d4339b580a
"Connectivity Services Director",2.0R5,"Connectivity Services Director",2017-03-04,,img,189242642,57bd06d513e50b146e979e3387218cf0,9792fe9ada4d18f96cc1f4436aed3d317979e6f6,25a7522c3aec2fc36de8555fc4930dc202461ff9cf9f9a08c64124b7848abfb1,266795f8bce2fea955f83ffc187a1388cb3079b67075b0df174087f354a41ba8ab8f23948b2d28cadc9b843506d5bb9052e4251b5978bb5592d6902b3f9e833c
"Connectivity Services Director",2.0R6,"Connectivity Services Director",2017-04-24,,img,189242549,96efa06ba07093dde6619a66b1f4093c,73ca8e47b44075a6cc8eabf81f86dd4818687691,02fd00613d03a6084acf811153156fa0712b5af84804830ff00bf30ea1d9ae7a,b0fbcd0183fee6cddc6875f060505daca821fc55dce3502d527986d679b066edb339955b0a6bac5fefceef7557a1597e02c5ff53fa629e651cd5b60fc424302f
"Connectivity Services Director",2.1R1,"Connectivity Services Director",2017-08-16,,img,196744553,8f7d131822362ffa27ecdf9fbb52c978,15a157944268e8c6cea6122675f696e9925580f4,e75bc1765d95e8945ec526ab85d4e7339e642a5e78936fc235717ee60688f958,1f65881876047f87662464947836984ca28da1701071532de09add35d7e05561e41577d5a9ebe80b613d7177b1480b3dceb6613743021128159f0b3e825c6fc4
"Connectivity Services Director",2.2R1,"Connectivity Services Director",2018-04-23,,img,184108024,9e549ae24bb5a19a9e93372d15a94ed1,90fd7166686243aa1917d3a336ba2a5b3d73e677,a6b6c5ee69abb3a3e95b0beda08fbc63d82d545d34281fe0f74cadc5d3dcce07,3c2602bd0108e4e7403eb23bed75438d65a2dc7f35b1530e852c48ed4f8f65c363b95334546f7e2a1a5ea997cffd57d0216ba5631e7a0ab03b20f06475e1851c
"Connectivity Services Director",3.0R1,"Connectivity Services Director",2018-06-28,,img,196688453,55c632bd994e55b4a12f369be6c5517b,71257ef5425623ab3393eb599c9abc6646a8a102,7051cfe39d8a210fb9423254764b8d698cd387cd1eb7f8863e95702ac0b6f53d,7c188a82ab050d6f65caff5e8b12f0e18806abd72c7271fa652007d9a5893a99295659b7758b234e63c05b13fe25226118bfc47e2a33d85021046cf8f2874aa5
"Connectivity Services Director",4.0R1,"Connectivity Services Director",2018-09-27,,img,183620108,e386134660a2c03818567b077c0984aa,672ee3c40c0131a41c7bead1daa2edfacf00a92e,1560ccd87637dbf61b3e302a0e73170f68697beffa8350524c24b93a1463ae20,ae2ba35638891d7706fb5d6d700b3ac4fb89e4031880b39854acdc258708a4a9d287f52890af915fe9f05412c88ab7a43bf958e5cdb7c9519f4f67066e2bafd3
"Connectivity Services Director",4.1R1,"Connectivity Services Director",2018-12-20,,img,183699849,956b952b802ca7a658bea1c011eeb169,beba90055987b2e996dfdcee63883b7e86786c2c,f2ea9fe20208f22bac610139275796215e8337634c930c7f1073a595c310a51b,f5498c4cb32cd2595646681e9a6e22f8efe27055bcf4ed4ddea55e9f28f817d99e6326fa4dcb5e9daf3a85510b63a0ac7886874ee5527676db7febcce9e4d536
"Connectivity Services Director",4.2R1,"Connectivity Services Director",2019-03-28,,img,183724168,615710bcfda9e1e2bb78eefbc145638d,84274cca7fd1a899316ea2b133ccb0e03eb33783,eae81a8a828fc0ec5b6688b14f97cd44befae4eeb4ada1930def5a495e122f3a,9331a9e8dab7f14a099800e8a3ac643c190ee84aa2537f5391d60072bc8a3a6e3b832f3d33394fbe41cd05748dec90f36754d2f1fc6368d897396b138db8817f
"Connectivity Services Director",4.2R1,"Connectivity Services Director 4.2R1 Hotpatch v1",2019-10-07,,tgz,21255073,324f62476feec0c387582486d6d785ee,2882cd781c5e8e304a09299dc688f4ee8db41133,ece8566068cec5887e23c29be313a77bcf6dd984b3397646fbf2c0198494376a,0c268246b6ca9f7357bf7e2a760cdc9f696b78dfb43c5e222f7153edece09647e9911095229b45b1c9515d9d8558d3a9d6ac32bd56a6b59ce554b16421a143b6
"Connectivity Services Director",5.0R1,"Connectivity Services Director",2019-09-27,,img,184484629,a58c561f9a088786ae6eb6c3ee71c7bb,a3e3a6fe4755594cbb525a59a102ae211f74fe3d,e0b6fb422e4d39d507f93e739d45654706c5a8fdead94f3c90648c501ae71659,070fbbed5a7542997acffdf46daa9d7740fdd38e7fc0014d6e5872083330392581d11842e4e8d77f45c1239b21406b0405879f8a5fe0b94cf9ba5f89b0dcfe1d
"Connectivity Services Director",5.1R1,"Connectivity Services Director",2019-12-17,,img,185558182,2bc7220e8ae82facbaa0de48f446f3fa,7a0b81b7ec8f74bb21b26a46c609481f769589c8,c99f7122cce16d7fe46fdfd70e4c5286657da27c9f7609ad52e8d5508d98c32d,6321d6e90a99e89f104fc171aeb93facdfeeae462e280e4a239b6d95c10632d3cd062888e575287cef65a8c61a6049db504054199df85dadeb0ef32f74ad4600
"Connectivity Services Director",5.1R1,"Connectivity Services Director 5.1R1 Hotpatch V2",2022-01-20,,tgz,18775461,42387a9f543f8314608eb3848c6440e9,12ba52377d9bee0fc9951035663d0b36189af533,7e4c0affeb2fba857d25e54c5df3424fe2e78ca3a652058b16fab3305b1f6285,e966b8df25a103811c8e9584616bedf704a712134d1b8e7712ff3657758f9a21cb96cb8b5762703411e8951f2ac85a72447d87ee8748c313c9841067a0f42627
"Connectivity Services Director",5.2R1,"CSD Hotpatch v1",2021-02-04,,tgz,19271257,b33afce92d96e3cbea3a87545ccefe64,a86f6661f2459ecd24eba07884946aeb71a9fd4f,88e58c9d66df78df0a2b29a7b58dafcff9fbd9cdc0f0e7d083d9df3768bf34fd,bc1ed6918df5b674d488b1b52048ac525c6478d83f7b930fd2a5fde428e72da47c7826a4c86150b0978837955142faf7828ac8fc9800c7c802c96a58be59aa63
