OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
Contrail,1.0,"Analyzer (two interfaces) image",2013-09-14,,qcow2,3602120704,d7c19e0507bab9473e8a8ab825b6b20d,6548c5f6efa1cf3fc1504259463200c7cfe58e48,,
Contrail,1.0,"Analyzer image",2013-09-14,,qcow2,3593011200,4344c84da0acc103f784dad943267290,79b633ea5a5b040f8cd0b8d404f14cc0fe289ddb,,
Contrail,1.0,"Contrail Install Media for CentOS 6.4",2013-09-15,,iso,943695872,31aa2defa1842a7a834079d76506d97c,852e8dd17b0216597324ae5c2b0d8432cdd47148,,
Contrail,1.0,"Contrail Install Media for Fedora 17",2013-09-15,,iso,1054867456,30684683eaae58d03cb57740b7e03ab9,e252c52bbaa70f0b7f0f9b029949242b382ca069,,
Contrail,1.0,"Contrail Package for CentOS 6.4",2013-09-15,,rpm,575837924,bb2007f5c7225ef669ac20fc02d79463,c82f746d581c0c2feecc7af9b52c3e44cf4cffb9,,
Contrail,1.0,"Contrail Package for Fedora 17",2013-09-15,,rpm,729181477,e6bb9588ba1a1c92177f58a500ffb0dd,525e1dc61861a243be9cdfae36ee8ff37724d899,,
Contrail,1.0,"Guest Ubuntu Image",2013-09-14,,img,730464256,f8c767da4a3dc906f9a87c9bcee9c453,4b465a489c7463482c3dfa8a72844f0c4642b670,,
Contrail,1.0,"Stock CentOS 6.4",2013-09-14,,iso,358959104,4a5fa01c81cc300f4729136e28ebe600,6232efa014d9c6798396b63152c4c9a08b279f5e,,
Contrail,1.0,"Stock Fedora 17",2013-09-14,,iso,3834642432,26f3358a5f8973f0956093f28a0106e7,7a748072cc366ee3bdcd533afc70eda239c977c7,,
Contrail,1.0.01,"Contrail Patch for CentOS 6.4",2013-09-20,,tgz,30205073,6bb065fa94b84cb3a7b771852d2c03d9,df81a90bf2843ae776cd3018e5dd0548586bc45b,,
Contrail,1.0.01,"Contrail Patch for Fedora 17",2013-09-20,,tgz,31184160,a872c3fd9bff2dde5d1d2b5fa21016b3,94ca0707a6b37e1cef220c14914a62be7af7519f,,
Contrail,1.0.02,"Contrail Install Media for CentOS 6.4",2013-10-23,,iso,1003030528,331f0b6ea9c7834ddd5a2453a90bac3e,c52007e7de76652580cf1d6b3094ea53cb4fe355,,
Contrail,1.0.02,"Contrail Install Media for Fedora 17",2013-10-23,,iso,1114636288,402199e609fdb7dc57f77c95a246187c,b4575805b12822df682274bc19aa00431f064e29,,
Contrail,1.0.02,"Contrail Package for CentOS 6.4",2013-10-23,,rpm,635156012,d102548b92738bf297b3122c44fe28c5,f53b9804dbb314c783499664a210e6a89cda87ef,,
Contrail,1.0.02,"Contrail Package for Fedora 17",2013-10-23,,rpm,788763629,8654911a1c93765e17cf784c7fd966d4,c94e0e799eb5ea15e36e9d43af00862883b0a6d6,,
Contrail,1.0.02,"IBM SCO install support 1.02 rpm",2013-12-12,,rpm,635028492,4d1fe44fd036fe5e347de6bbae83f4ce,46a01928a97f315c2acabb10c696cda3f789abbc,,
Contrail,1.0.03,"Contrail Install Media for CentOS 6.4",2014-01-15,,iso,1005049856,bfd71da866204cac29bbe6c7c1115e92,1d32d5f2497dc17e005bcdb5fd62287b2f145e97,,
Contrail,1.0.03,"Contrail Package for CentOS 6.4",2014-01-15,,rpm,637172308,a6f789ef76e5c27eb79918f9bca581f0,e7591ebd885640dd835ab3ea4ada1099df7e28f0,,
Contrail,1.0.04,"Contrail Package for CentOS 6.4",2014-05-02,,rpm,704974552,ff4752c7e007a9854e914bf1e2b4d052,bc131339974bc53921270245f73ffb322bdae90b,,
Contrail,1.0.04,"Contrail Package for CentOS 6.4",2014-03-17,,rpm,704788628,02422ddb436798b2d104b87bb06cc7ef,57929fa37ebadf5e71fd4c10c5ae39a03f699f89,,
Contrail,1.0.04,"Contrail Package for Ubuntu 12.04.3 LTS",2014-05-02,,deb,461050378,adbb848987bcb6f55fb70f422e3bf582,2420e3724b3a0eac2be68a01f304db4be124ceb7,,
Contrail,1.0.04,"Contrail Package for Ubuntu 12.04.3 LTS",2014-03-17,,deb,460875246,ad87abdb043ac454e484b73215e417a4,b7bbbbff1b813ad9519d02c22939ea5b6bf72399,,
Contrail,1.0.05,"Contrail Package for CentOS 6.4 + Grizzly",2014-08-18,,rpm,774211980,2b42e84fde516f260cc492938d139c0a,b88c7da0f7b28c194919d44dc438d9252f92affc,,
Contrail,1.0.05,"Contrail Package for CentOS 6.4 + Grizzly",2014-04-25,,rpm,774066656,c36a3117015e39cc0ce6d920b3aa106c,7e29cd10b6f5902f832567828ce897d432a5f2c3,,
Contrail,1.0.05,"Contrail Package for CentOS 6.4 + Havana",2014-08-18,,rpm,473886996,572c0a9906a511bd581d0315e2595bf7,bec06ad2973e92dc745929abb72c7dbf764bf1a0,,
Contrail,1.0.05,"Contrail Package for CentOS 6.4 + Havana",2014-04-25,,rpm,473885588,da7f0a7911bb586fa51da25d1fbc8348,c59f1aae9dc3d42a151d9fdd01846c3fb40aea92,,
Contrail,1.0.05,"Contrail Package for Ubuntu 12.04.3 LTS + Grizzly",2014-08-18,,deb,276273562,2feb0ec7b60495e9f166e767ccebe19a,9f79ae74e91e1288989a5310d7a0968bd46e4b61,,
Contrail,1.0.05,"Contrail Package for Ubuntu 12.04.3 LTS + Grizzly",2014-04-25,,deb,276225796,dd0c9b0356dabf9857cfd062c8afdd17,e7aa6c8ff3caa348dfcb4e17df825c9f1f9328df,,
Contrail,1.0.05,"Contrail Package for Ubuntu 12.04.3 LTS + Havana",2014-08-18,,deb,305136350,2169d00fad39d9b7aa4cced3e5c75637,37a1ebff1786b771547181c5bf3b534146e5618f,,
Contrail,1.0.05,"Contrail Package for Ubuntu 12.04.3 LTS + Havana",2014-04-25,,deb,305085904,3b37c0387413253fb078acdeb54871c5,a8ccecbcef55cdbefffaad56b43ec839fde20813,,
Contrail,1.0.10,"Contrail Package for CentOS 6.4 + Havana",2014-09-09,,rpm,396087212,c4a0e4cce92eabe31a46062a84b0c1ff,28b484627edf073b2b4a26abafcc6844d61012c8,,
Contrail,1.0.10,"Contrail Package for CentOS 6.5 + Havana",2014-09-09,,rpm,342164936,68bd3f32c840bbed21d5db21b2f457d4,86ebc314e81b31d8a25e2a649763f4e5fed0e8af,,
Contrail,1.0.10,"Contrail Package for Ubuntu 12.04.4 LTS + Havana",2014-09-09,,deb,403615132,bf285d59f8daaae4d493955e0e2bf4fb,7516be0b98c031aca349a69899b75e665f4ca694,,
Contrail,1.0.10,"Contrail Storage Packages",2014-09-16,,deb,39574090,18a62f8c77b69d5545bdf39c3a7d4b1e,936426b8ca4b3954bfba27edb96b3aac94edcca6,,
Contrail,1.0.10,"NFS VM for Contrail Storage",2014-09-09,,gz,232396380,f9e93a1f829b06426e54a9bf9bd45ce1,15a2b02481fb772195fe73b337b4b6b3e3e00284,,
Contrail,1.0.10,"Server Manager Client for CentOS",2014-09-09,,rpm,45436,36d357059082da3c968352c45e5a1f46,e39da7e3ce0aece925a7729f381177a89d53af72,,
Contrail,1.0.10,"Server Manager Client for Ubuntu",2014-09-09,,deb,20392,101f6baa615feb8b75a5073f73ad19ad,66596fcded1bf4b56ba3b852dc9bffb95033c3c4,,
Contrail,1.0.10,"Server Manager for CentOS",2014-09-09,,rpm,7781588,0ad091572e5c4c0e20e525034d053fec,677763102f626c3b61863bf3b09a8cf82b244b89,,
Contrail,1.0.10,"Server Manager for Ubuntu",2014-09-09,,deb,7677280,0a3ab0ce6e745300fb85bd6e16f353dd,4915347770f4969d9e9e7cf5dd9ffa5a0a79989b,,
Contrail,1.0.20,"Contrail Package for CentOS 6.4 + Havana",2014-10-31,,rpm,398015844,3cdee00b29c92f9c94348af9378257dc,f3012e2e13983e59e56f08117ee39c290d831887,,
Contrail,1.0.20,"Contrail Package for CentOS 6.4 + Icehouse",2014-10-31,,rpm,395725968,341746ef168561a14c5363c63e017fda,183066aada1c47d840d88851cd516f95a4696aed,,
Contrail,1.0.20,"Contrail Package for CentOS 6.5 + Havana",2014-10-31,,rpm,641657640,79ca014d2503035328daaa8ce64dcf1b,1dd744c2bc55f53cffe542ccf45d3e1bb2fbacc5,,
Contrail,1.0.20,"Contrail Package for CentOS 6.5 + Icehouse",2014-10-31,,rpm,733504952,294796a623df60ca67cc8b9d6f704b7c,44fa9d567ba7c9711ba479caa7beb1eeeb02e2db,,
Contrail,1.0.20,"Contrail Package for Ubuntu 12.04.4 LTS + Havana",2014-10-31,,deb,419246692,62df9083bcfee2fbd25f1b6556a09576,33aabefb0c898b9e70a6d2bf38e6848cb74be540,,
Contrail,1.0.20,"Contrail Package for Ubuntu 12.04.4 LTS + Icehouse",2014-11-03,,deb,457920488,a9a215106abcb4147c37b05be69e1910,cd054d929a77b2a226d7cdccab5301d9391dd715,,
Contrail,1.0.20,"Contrail Storage Packages + Havana",2014-10-31,,deb,39542778,15c2064e873f32cc9b5036ca4edc2739,de7ce6e28aac25ec576cc9c4e460e94e61ef8185,,
Contrail,1.0.20,"Contrail Storage Packages + Icehouse",2014-10-31,,deb,39596304,c6fd9cec96c546c61fe5d29f057480eb,56bb68796722239e42b01edfaf8f7830f1e602ea,,
Contrail,1.0.20,"NFS VM for Contrail Storage",2014-10-31,,gz,232396380,f9e93a1f829b06426e54a9bf9bd45ce1,15a2b02481fb772195fe73b337b4b6b3e3e00284,,
Contrail,1.0.20,"Server Manager Client for CentOS",2014-10-31,,rpm,46348,22e16a357fc0a25ec24bf85a37a30e37,e82961ff629cd804ca927e4497b53293e6ece86e,,
Contrail,1.0.20,"Server Manager Client for Ubuntu",2014-10-31,,deb,20790,59a53e6b92e990d91024ad004efb7818,c5d522fb2d9f29861b77fc789fc8e5668ba7e7e1,,
Contrail,1.0.20,"Server Manager for CentOS",2014-10-31,,rpm,12382964,3c4ddda8b4552cdc542f31cdbc0ad324,e72e0cc34d75ba4a79b80096fbafe3897b811b6f,,
Contrail,1.0.20,"Server Manager for Ubuntu",2014-10-31,,deb,12373536,79bbc8b50c7a821a7945b5a90bfe33af,91b3a6aac5db4065a0c7fa06e8c9bda6d331cb3c,,
Contrail,1.21,"Contrail Package for CentOS 6.5 + Havana",2014-12-04,,rpm,641599684,d9a0f7393cfb0a1209bd5c53d6e88214,4d7fdba86096f6a33ba855e8a8c7827edc87a40e,,
Contrail,1.21.0,Havana,2014-12-04,,deb,419291870,bb43f96f13343534791e36372bf7982a,048c3d25a2e0925a22ee7d9b70c4b7a1d735ddb1,,
