OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
JATP,5.0.3.0,"JATP-MacOS Secondary Core ISO",2018-08-28,,iso,1041235968,2e2ac639f2f6114dba55c8508e2b4ab2,0a2ef2cd3958af2f1a59be2f1d0c526a80f1d33e,ac2a20d3f0be93173f58207dc8383f564e09bb230a64262a9aa3c417e1da3c20,1c4cbf80271c9a9b87ee51c17745513c10bf6be346a172883f9299d6459068216c126c84f24ad819b61ca8953f32b3e83e9a579ff94223d7e23930745f9288da
JATP,5.0.3.0,"JATP-OS All-In-One ISO",2018-08-28,,iso,1652834304,f013aa605906f4a120ab8ac6c7c1dbfd,ee3b3ba7353471a14581c0403350d895c28b536b,922ee846874585597795065112ddc7948f8e21644a91a8d7fde9e94a2b18bd3c,4e7776b1f2fa347b8b1ff584121d9a56074bcbe3fc92d12ba8435eddb5433ea73041f29344eee7f69b21c281ba5cfb7070da5a1706b7e9c0b91809c037d66caf
JATP,5.0.3.0,"JATP-OS Collector ISO",2018-08-28,,iso,819986432,0495999a0c6ec26341efbc484eade66a,c3e2cad85b57985e37d6f94c40e440e59c08b02c,b232b679bc3e5bd67ef181201bd695fa04856188207d1745f1a909243997561c,4805ab1cd135f23aa6d23a4565ac3e9e1918373b30546b948445bb5c371bfcd22d7b868a479cc07ab15f1046ba20ff08d762072779b7a47998bb77554925f062
JATP,5.0.3.0,"JATP-OS Core ISO",2018-08-28,,iso,1639350272,1042e91ccdb5f0925a3a549475e9438d,1574a6eeb56210362cdee5932200faa9e39e5d5e,298cc6948401c75a1ba689079d1f13d5d51d6d9f3ab220187cbe97e84b2b4207,58b8e35e9dccbbbf5a7d58e3cf5863b755b9ae070f4a90c2b9bfbe10987ca82ee10d068b8b0d62c74f4ab97f91de798327bbe0562326fbc08e9b9eddae7da852
JATP,5.0.3.0,"JATP-OS Email Collector ISO",2018-08-28,,iso,794820608,1e2342bcf6261de2253026fb7f85299e,6f07b51fc82018732349835c9acc4ea86dcbbbb6,0b547adf34a9f8aa80c276fbeb2687799590e77e3dcd71815480ea5305b06c3b,16540e3d2eae8e36bc87d4376e26b40b487fece1ba3f735dc2ef3f4c6d29d120c8c100b070ba8e6402ff67fbf792f523250b482f48898ec333ca4d1082135705
JATP,5.0.4.0,"JATP-MacOS Secondary Core ISO",2018-11-06,,iso,1041235968,6ab03e238a051dd364777c4b0aaf2e17,ea6758b3f75c937673e15abd2d8345c2a2ec5aa2,0458fecf9ead6b05e1f5453bb8eba139176e9229404e6e5609b948767f8b1161,d9b875f1c7c55ba80c7c6a6a105378e9719bcd93c9d58ce280dc4567ab6aad26210051ac7746cde90371653603c7d37a36272f541465c20a154dd643ad3e569f
JATP,5.0.4.0,"JATP-OS All-In-One ISO",2018-11-20,,iso,1654456320,dd33bcb3c80469acabdd02708d9e20e5,15323b177122648c2fa95f02d197c009ca292632,c5c379580f711d3d9ee12ed09d988a77fc1e0ff225237bd699fb14109a0010e3,bc7702ae8d6253242189e5eb855fb9ad3e9b3e5d38b5fea250bae75456d10578b1f0d01701358ecb17306cd6a5d849051f13cf86eaf83a20c209d53ff2b8789e
JATP,5.0.5.0,"JATP-MacOS Secondary Core ISO",2019-03-21,,iso,1021313024,87667ab87741704f2fcab36c443a28a5,03c220aa0c8c9df5b826802f34e511f51042a970,76cc72cb4092f8dd12a5023238bcab2783ae876442b45b95aa1f8fe0895da8b2,0edf2477c1c75faf210a15a6f2fcc07ce2dcbb995782e900fb44eccdafe08313ec3b2913398cbded4a9a351dc025ad856b0dfebf668126f6da96e743a5155fed
JATP,5.0.5.0,"JATP-OS All-In-One ISO",2019-03-21,,iso,1687879680,06ef61eebc08fb4f4ee091663a51ccf4,598d7609c794d96f9cedbfc410b80f3371f0c95d,30bc890912c9e8a1954b3a6ea80426e59e132d63883501f11c3b2ab399d11d59,bd0649eaa3ef61b1842d088d30a9b5970009407e64a834d687c2c5b129e6b5a40cd0fb8f92c9e2a292a3cc37d15ecbc3002a6a0dd2f576c43bde32f9a5067f08
JATP,5.0.6.0,"JATP-MacOS Secondary Core ISO",2019-07-19,,iso,1022361600,9203bfee4039bf5347e57e72770ea07c,c9e6de41506aab7983a97e42a49deebc5c9f5338,fb8fe8627f963a551a0cdc8abdace0a10918b98b1a271593c5d153ef065e7134,29b6d8f0e5d0ed1f8c631352ac5208169b56b9c860c645552ebe71d80419fef715883654986d20d26751cf284399f6ec529eb5d0f567092bda2ccb80e6fee36b
JATP,5.0.6.0,"JATP-OS All-In-One ISO",2019-07-19,,iso,1722990592,5d61023b6a0bfabdabba313d1cccf5d5,8ec23bba02106d860f5d9c853e81ebca7dc1f9c5,e2b6e70177a3ed8792ed56f18d4837bb1e3442b89e9b8f132c7ca748ba0f737d,dc3e2746de3fecfe0256498d103e9ac87bf5af44bdad1c400d67c4dfd0e55e82eefe5a740440f3e759a14747fc4d7c075a60000dd3200cd09164a85b1cc5f84c
