OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"JET Junos Evolved",22.4R1-EVO,"JET SDK for Junos Evolved",2022-12-22,,deb,1535550936,7e0b70b2ed0208b015fbf78ddbea0cba,2ee0c97699baee1027bc8e67abecef08814a47e7,89ef298b710e50559eb4848d3fa4d1468d39b34ebde697ebcfeb4f63044688d9,c1ad97357d0e3e69e4fa3e4681333e7f36b0364a548b03e62ef7c7838c290a89e87712f484d391671e8a71bea2ab66370f395b37a802fc2d6fe9db0548fb8373
"JET Junos Evolved",22.4R1-EVO,"JET Toolkit for Junos Evolved",2022-12-22,,gz,5547,7e16b08b4091eab9fa8a6a617342f043,ef9c7506c73d107416839549b8b2728db212418e,764d1c2cceb063f9b8d975313faadd0bd72dcc72528ee48f1926185f4af4ddcd,c019818b2536067d48a4a9b654b2a649c5c8c56a9df02d43e92ee8b657a2e8d368e4c17862cb8923eee3a7f3290ed156a80059a2dbe194fe8068de41c7f1fd30
"JET Junos Evolved",23.1R1-EVO,"JET SDK for Junos Evolved",2023-04-27,,deb,1535147856,99a123c10571dd61d128bbf3819f712d,6ca1040d18b8ce7f77d65d0ba868286eacfed503,171f1458743b1c935ba1335586371c8d5395eae4d0055a5987f6b7e7ebada28d,ff2dbaf27dead19bd10ba2578600a2c238f6d88fb2aadbec934fc48c3615380f63461bbffc05aa21c3e01b4738bd942b90c6bbcb5ff84b1c686ba975d164772d
"JET Junos Evolved",23.1R1-EVO,"JET Toolkit for Junos Evolved",2023-04-27,,gz,7099,3afc6e5034b2c24469a34378ac2448aa,ee9130f424ee58175b3e4ad2d30021e90b0764c2,4589cc1711369453afa1f8c48ee31998f4f0b934753ecbafa08475eecf4bb685,b15bf53a76dc73d3226350644cefe9ad8a5b83aae137973c5e6737f3cf131b996d56973cb6be7d4d7df48526d901b4f2f201cd25882fd63a39634c8aed7aaa7a
"JET Junos Evolved",23.2R1-EVO,"JET SDK for Junos Evolved",2023-06-23,,deb,1534901292,6a260af4c2ad4d656915a9ddf8360cd8,e652f053750f0b80a19e789e12c249b3dbe5078b,ddbc256de93455d73ef35b38a7b2ed5a962fb46258a25ae7ef7df65b00f4fa1e,e3a02353428074399aa2437a6607cbabb038a202f4ba9cc3888ff2dfc0d4162581523bd2cbcd0cad7725a57b2923a44fd7a7e9204eb2687e57b86afa6cd66edc
"JET Junos Evolved",23.2R1-EVO,"JET Toolkit for Junos Evolved",2023-06-23,,gz,9112,64c939565967d66678647e2463ac07e4,c0ee3c59a743e6e73243bc2c75bc04b886af532f,57610d0a28214af7ec441c9896c58b3db71cfc579ea84e9036fe6b9bda115d7a,cff5f6a5293d00ea9cfa3b9e633e6fa7f271dddd4c69060f4d3173811be96c0b2262169dc6c309a8bf38ed781acaa97982fd82496fb99ec626c3a5b0fada8437
"JET Junos Evolved",23.2R2-EVO,"JET SDK for Junos Evolved",2024-03-29,,deb,1535024100,8f5175d707d13d89c3c186a627adb471,ee2a47618cd7277da83273f8ac8b6519af4a826b,b200617928e70ea83501cedb0dbd864982459ca8d0b82a55d7b0669b23434e8c,2fdd5e60a257cc1cb6ea1a735758a01f66d53b2a1ef8490d271425aec9e89cdc5092c752ce7ffc8641da1e7b4823aaeb5f0899502945ffcacc752f13f7565de0
"JET Junos Evolved",23.2R2-EVO,"JET Toolkit for Junos Evolved",2024-03-29,,gz,9113,7be99adfe27b052bfba5b2fb5cd1ad27,7bd2b39d16c20fe0d705ba9b32a26dfd1582ae20,aedf78e4a6fd8aefed7635892f9448f546cea23a069fcef78bfae1e9180fa149,31b6a8b6deb88ed287f8f1577ce47e15791576c833225aedaf6032e21a30a45c0ece6e7ec68b40e42d5eb79bb10f13ab6fc90734bba47221e606fc1129805d31
"JET Junos Evolved",23.4R1-EVO,"JET SDK for Junos Evolved",2023-12-26,,deb,1548963754,b88712174f3e1307e76d218bee0db71f,91482f84502b417a14256b2351d989c21b69bfdd,5eccd24ceb782f3994bda16c895805b8a4239e2dca7ce1728f19138e9bc6d46e,e82fa1cecf929b92f9432e2695d971e0b057ca9d02cf8d48d72ceccc8de6c25b976000266b4f810f16ca77ddf5d0fe2b95af4769eef52de29d83fc78a39947a4
"JET Junos Evolved",23.4R1-EVO,"JET Toolkit for Junos Evolved",2023-12-26,,gz,9099,42be2d4dcc6d99ce5aed989870056c37,de0b2c0075d2d74104c467205eb9842d965f1744,ecca8aa10ccdf01e5076b0a5ed25786aaebaf14ce9292ac9429b4f81f85b6bce,25fe988be2b004a6780e634d0217e880fee9802a2ed0220aa4e259c12bcc30212a85e11474553b3c6feeb9913f789dfb03c657d2d39f99695f250ed88a66a41d
"JET Junos Evolved",24.2R1-EVO,"JET SDK for Junos Evolved",2024-07-22,,deb,2577769786,1471b18910b8996c1b98286a6a1e25eb,57672bdf7e96ff911f1c613419febe06e4c86b79,89087fbb38e8e6462401b1affdd0bb6ef2152175d5dd1f8270ce0c012cade341,efc7a7ac497c715ac85d698879bc637b306276c6587b2dabc2893da8478fa3174e9811e15fcf16fc2ed0ef4a17eab6e545ac98dbaf70406c4197164d05177a25
"JET Junos Evolved",24.2R1-EVO,"JET Toolkit for Junos Evolved",2024-07-22,,gz,9547,3ea77578fca1bce0aec21680efc19ff6,0cf6a2c73fe4dd2e38968f6179459606115e2891,330cdf2c5583d541b2ea225519baf6d0529a4efd4a8a94fe70fa6ebbb8d88fb5,0d135641c8cf9da19a56af99374c66bafd81534a730a3701241964e4a65236cf3ae29fcd4dbc89c26653678cbe5f86d7f1ed2d9070181a7d392fa018982eb328
"JET Junos Evolved",24.4R1-EVO,"JET SDK for Junos Evolved",2024-12-30,,deb,1229459290,4ef544fac0dbebbb2610c9b727544be4,91dc098981b557677b42e5bfa76a693c9b072fb5,ee70da84c111870b8360a2c6c8fda37040496ff4855e2c314f53e626c8d17578,8ea0369139da06741a975b5f6f6d6bd357eaa6019f24d54193842ae6372196db6da179479fa9e63dd57799d4610c3ee244c849ea18657f55f804dd903d8689f3
"JET Junos Evolved",24.4R1-EVO,"JET Toolkit for Junos Evolved",2024-12-30,,gz,9538,150225770d46b2645a35d7e682f44cf2,8d100c75520dce14ce64b2bb8a5ccd8f45ad10d6,b250d61836eba87ccc6e8c6ea97997890acfe972caaa752d91da0d51316be627,a6c9d2641adfa29ecd475244e37c758fbf2579deaa268601caf6cabf96b54989f4678017167dacb1fbe05c635e4b7e26fce1bb0892cf5b58114ac277e8cb4dce
