OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
JET,1.0.0,"JET Python Client Library",2016-07-03,,gz,93054,63d8e582f4472d102acd38ae5926a91c,4508c23d541dc532f945d4f01befc2b839880bc3,,
JET,1.0_1.1,"Juniper Extension Toolkit for Junos",2016-06-30,,zip,1045467,187226c3c694c63d32d76505d778f7e4,42a9b8ebf312ef44bceba6c2c5fc94be34c90048,,
JET,21.2R1,"JET Client IDL library",2021-06-29,,gz,101684,f7a668f8ae73e262cf3290f9421162c5,a1bdf41a641d53f31eb61d4c37138c74c23bc41e,166f0901d44892660fb34dde7723e57afc3060be9d6b75f5224abc0f96bc176b,5176076910ba75bbe0dc979de1012fd9e70570166cb02a56625f731e27c2d07c920c4429b220ec1cc86147aff70d4b6efb0280cba8a07210b45049a3c7b4a0c8
JET,21.2R1,"JET Software Bundle",2021-06-29,,gz,596377058,20be2e05179d66d261ecb414283b4cb5,5d79e4c69ea151a64347a91877ab2471617f22cd,f5ea793220b2ebb93d7f5b3dc3c58c6cf8d8be590750d6c432af40da49981ee3,e091dd26f2f686fbe050e4f150bfe29a6c7c483cb1a9b1b4cce68363fe756c33625c77781432b1d99d33cdbea856d8e0412399271c02bf568510d3d867c49db9
JET,21.2R2,"JET Client IDL library",2021-11-16,,gz,101708,e6860c8f34cc3fba9992dca8280eeeee,3ee6a7759b35020b7e90f700e5117cc74c72f5a9,f9d7e0404625a14803597c7cf5c355ce893a88f01ce3d8ba7436f68b7af14e7d,2c03f4daf34ec7a9c65008c8c2c267ff2f95bb8ff4b0ac2a7b89052614b383c8cfb108f86e68bec42db2df493104bfc44de29a37b11e5988230cc1b8d2d8592d
JET,21.2R2,"JET Software Bundle",2021-11-16,,gz,801896006,457dcf0cafd5123bd375c8f5d9aadbf3,7af139396a215110e1969323689282a41d484344,81752a15caaebebc20e08e89ffb50c8395c1ce9c350d5d92a5a8b8716c02028d,1f104be99ce7d20a4ccdbb43b9ce5717e775131f9a16492d37bf98b2199f2bf0ebcf0257352ef0e787ea8f07f81cef713b45d7f8fa1459c80bf5245d0ca4d06e
JET,21.2R2-EVO,"JET Client IDL library",2021-11-16,,gz,124558,64ade067d422f13bc4c70967e625137d,83353ecb83f332ba3ab0e17bda6f78ada302bdd5,062d7cb3426de9c2304ae7321a1173be9f79656dd0e893b83dfb82f46f187866,0c089157bd059df072b9de347f04399d8e992491db3b26606d8516ddf9defb980c1035f24579854c2094a286cbd3510c469f52abfa8a32c97839a2ff0446ec9e
JET,21.2R3,"JET Client IDL library",2022-03-29,,gz,101700,04c3ecf9df0c469aca908fba78607c7a,de58784ee972911062cd13a890f4aef9ed382471,5d2b2fdaca1ab6d882b40573d0ed1e6c56504ef9c6dd0f70c02a2eb78c9cc0f3,69b8edeb8fe7557ad39d50a16129aec918513ad1c2a3946dbfbf4a55d520d096db40a2fbac793776d925421b43a60b52217b80f20254ec56c1fd54740207278b
JET,21.2R3,"JET Software Bundle",2022-03-29,,gz,802138172,2be7050e5478ffdb34a578b6e3bd578a,ba2770686e1a76fd9bf6020282f3c46775e87f8a,72cbea82fbdefd0586717cddf7d2ae9853799b06e4f08be629b75aa7479b4425,87133c2b87d33ec9e276579d2a79e12908bcd63c6463ae0b668aa16fdfa31abe3490959d2e763093e153230362742d1e306b89fd88461f258b189071bd11f3b2
JET,21.2R3-EVO,"JET Client IDL library",2022-03-29,,gz,125470,ba740a12436e7db21f64165a37815e22,6c32613f646f77b7a53c9422cf096fe0f9ba17f8,a47f7ca45182774a461bc75c3bf173754d3fd646e1bb0926d022bd4a806b5a1c,32da42cee149a3149a94cb6a120af0ca1d3379c298b2880d5d29176796f879545b2ca7f3a843a6631f96cd57d9000666975bb8fdfd66612a1d8095d326c24051
JET,21.4R1,"JET Client IDL library",2021-12-20,,gz,105034,1de06a0ee4fc87a562cd23ffd4b18196,d2f8a4174593029c89b7edc060eb1d55aac20d07,f3b4ad01ff9011a50d3f2e2b9f0a61b2cfd61f5b9fa5e237af3717f9454e3b9b,a6a3de9f0d62b26a4d68e9182e15c2077c3bf01c4560dea51e1ed2ec6d8d8926693d4ffc9393971a1c5feb11c4ab328a626c88611a56a03cf67bcb990f9c5ced
JET,21.4R1,"JET Software Bundle",2021-12-20,,gz,1014781138,fb259f9b18a9451a69a13129d527ef76,861bae36c227a9029c7ca9ae94935052a5f1eb28,9c3245c951f3c808279206a15a9885158bcb88bd2fcd22afc974201c9113ad04,fa79186333a69eb69b2852283373833edd07eb95721a2a0e23182729ac0bffb0bc02e06db51ae5e1df1024896fc7cb2a004017b34eba09aeb517dda171fbc50c
JET,21.4R2,"JET Client IDL library",2022-05-27,,gz,105037,9f60a363ce633ceceb3f6ef0b9323e78,4baa60cfb15a54df82701d09c2d8134e4777d967,25ac422bdff13020d22f15deec7c1f7864669accc8db4256db1bcb9e7dc7ffc9,dc44e298aec20d973abe1a0ff183383f06beb492703011e42e2b67fd52dd9135627c49a015e2fed60a05c0e508f90eb77309b16fac198c46421e25e559ef79b3
JET,21.4R2,"JET Software Bundle",2022-05-27,,gz,991125158,d9195161cf12a0be5d935c91819d970d,4d9a666112d8a67148418bb18b906f184948132f,1eb02ca637057e8e9166c6b7ee5c018e9e60d6c02701c802c9f6c1c787c47b0b,51d89feeb211d7b8038db711c1c8c9d95a5ac9975df2dc468f0fe54168b58575ae5fd5fab2b362aa18c4ccdfaeb019eca702ac105edf1b8051e7c3e5aacd36d3
JET,21.4R3,"JET Client IDL library",2022-09-09,,gz,105030,ccc9c5042d864765a999fc331adedfe9,00ddb0f8acc03baefc952d9155af7c8023288410,1ebdec137d0c05daf124b4271d0106b1e4a3be2c85f11c467a6a3aceb81fe118,8cf26d72f9ec8989fcdcb4072c785271e8ddbeafa3b71de27c18833a27d4a8b05d10e0b0ff27ca08019e5707935bb2379f940cb18c43778dce7bea6c81c294c9
JET,21.4R3,"JET Software Bundle",2022-09-09,,gz,991885023,15a522cf0a9f0d14ba0363e67ed4cbb9,dbdf15fae353e162a3e6e694b07850978351780d,091b09c74c2c4afb49d24c49883036e177048cfb376728cf742e2e8134790d8a,5d9a67d0c241e5c770666f6a13151a8bd97c8cd678e243bb5a9c134f04974e053193b2f83cd084262ad1854d82c895501c668553550827514a8c5c143ff47599
