OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
JIMS,1.0.3R1,"Setup for JIMS",2018-05-09,,exe,39914648,9c716ed6b613b2a2f85638ac0c19e05d,f37a2880b7ba92ac19f8dcde4d453b569a429384,16b9d64c6dbe70b4f37173a873958368f0b8d83452583e273249c3246d58eef3,b91aef3d3ed788815b98442871ac68a82080e5c6be2dd0aabfbb818814d135cfed98d2aa4735d7b5e64978e90e99938869c27257ede6ed5eee5b3210271a3326
JIMS,1.1.2R2,"Setup for JIMS",2018-09-06,,exe,40741216,291b87a4ff171b8a81ee8d721353bd1d,fa56d78fa13661af2b85b734493563c75d8e00a7,a2f767432001d090929fc8b1aa9336803b4c09f65e6ee5e13805b918ef4918a5,e153bce82d81442a000339d6fbc7a2ad371ccb8d4baa7a2c75c8a80f9ebe08755f90a716e2354e430e3ea966ebe17b7d1000b1e1bccec5f5946786fcc67df4c6
JIMS,1.1.3R4,"Setup for JIMS",2019-01-04,,exe,40756320,bd44dbf82e97fcc81bf06d324f45c30d,34995f29a60b4896582ca8e4fef24e6d6d4758f8,25487a65035422b3a2cd26bb23b30df43185b881034dd6838da1a1cbc79fd506,49f85d591a06a331254e17b04e55fbd42a9bf87c0adbf9b36f6a3a9913cd82cba0a5d0958a2ad31b91882b6c6ec76b92b1e85f4af1b8174392346052147c8984
JIMS,1.1.4R1,"Setup for JIMS",2019-02-04,,exe,40766864,73db517b8349bdc7588ee3ab25698e3a,3db486ee16180dc233b31ff617275b02addf73cc,ccad9aac2e29b67dc05a5185281abe389e5a794d3b03aa9e30b185263d25823a,94af615d71fb8b249aa3e666e02960559222a906d395881dabf95807453537054081dc2e7e584f17254004ac64c33cab018bbba52e68dbf1950c81e5d04b7d9b
JIMS,1.1.5R1,"Setup for JIMS",2019-02-20,,exe,40770080,bbf1bf2ba82e63e1a46efb1f203c7d5e,a378a58f925731a156751a261c58c178454c037f,5d3d0f4e1d21a83d0191756fc7634b9f4ba16a3944db67282d25d9e2b42d9331,ffef9e761c052bb523c1b4be53ef75d56aa010334f12ea96b2575c3855f2d0c86ed3c4260ca990f75b9cb529680be66bbf40dfbe76574a9b91161c598da78520
JIMS,1.2.0R1,"Setup for JIMS",2019-12-03,,exe,24316616,613e0f7248508d2de2533320c20acc09,dba88d03c8dd6c582ab71cd4646b5a7b1231cc9a,b14f0981931da5647fa053c0cad0acaf56048b42cd20e7c02b6a5e985ceb8962,e47ef31dbb77f9596b3311704097da23525b61c0bd011bd24f4922f9006da6c4f9635e95e7f2ef3ed065ff1e6ea5dc2eabbc2307cbcbb3933f2c07013515af77
JIMS,1.2.1R1,"Setup for JIMS",2020-06-27,,exe,41333432,3c1dded63b9f05e57315c128ff7072ba,b54cca5167dc6d6e16c84a2e0188cc12a10f263b,a7d5fab3d9ee189f8c58e90081b3d2d2d9b4fc44726311fccfd3c6211207a4a2,924d1da5f36877f5fa1b82241991dd028212000e4e208ae9c9046210624967ab9ddb314b45ee5ec108fa391451d1eec367022a2d096c4428b401ee654724fdd7
JIMS,1.2.3R1,"Setup for JIMS",2021-03-26,,exe,41332968,a42d52d34091eb3255a9c41a3caa318a,916581e883e27138bc09ca07265e1b4492f9ea83,b1a4ca297fb31cabf09ddf49885a64637895955df7e78e9a58712c603950ab13,44291e01d2f64c6024d9bc16bcdae7ab53eca88012598b142a40084f690a41619af5ba4fc01ce6909a945b26fdf6de734c2fa63b299c57efd0e0faa5d1b38e13
JIMS,1.2.3R3,"Setup for JIMS",2021-06-10,,exe,41332848,5ec6e5615d780f065fff599397fffb60,9ba0342459e1a0767c668c234fa4a320d03c069a,e6c6335ff05d3d14c63f7520577c588dbf635efd488fdb247a4a0bff6e8b8b11,80f7f64f2bcbc9e49d2cab71806a592b8c3e98875b8cc97dd9fb2b01a19cb5909463a75230aa2acec3f00d3a73a8ac175187c68d43af92c09ae2b848ffb45333
JIMS,1.3.1R1,"Setup for JIMS",2021-03-26,,exe,42333640,5b2cf7c5039cf51b688eefc0052b101f,624c47200ea6765b689e42d638f8cc887e7561eb,0cde6392f4956544c2e52ea1a98866dbff55deaa6be44189d7b712f6c9ede33f,656432b08297d4fe40ae88b5bfd378b880f6f309efa98af7648f5da618733e3589e7d3b3a0bdb8d5165ef0e5c6dc04c192a99a3d3fdf35b7ba4ca4735b38dc59
