OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Juniper AppFormix",2.11.2,AppFormix,2017-10-31,,gz,12960136,0366d636a527aec19e38ed97ea712230,cd7fd13ebc04fa5ebe44cb7f28cb3406adba4506,,
"Juniper AppFormix",2.11.2,"Appformix Dependencies Images",2017-10-31,,gz,128638394,47b099e791a5936e20586ee426a7d561,809374739fed83e984ebe962c22562ef6828cbae,,
"Juniper AppFormix",2.11.2,"Appformix Openstack Images",2017-10-31,,gz,255947369,d5209f2e35025f6b299c091ec8442cc8,5843953d12ee4f4cf5a1aad61d917c1d962c49c3,,
"Juniper AppFormix",2.11.2,"Appformix Platform Images",2017-10-31,,gz,599873456,91068605e233f9dab3b99b65675fde82,cf84129be50fa7da5f311f58afb2533f86ed6ccc,,
"Juniper AppFormix",2.11.2,"Appformix vcenter Images",2017-10-31,,gz,238446927,1bcc526c776937ee8e7a997c4b06f03c,63c9e4fd7d619f01c711bdcd475c92778f57943f,,
"Juniper AppFormix",2.11.3,AppFormix,2018-02-22,,gz,12996024,705e3b492cefc9892216ce083f7f2565,bc099fba8e7e04c645fc9b81b9d227e61913272e,,
"Juniper AppFormix",2.11.3,"AppFormix Dependencies Images",2018-02-22,,gz,172336425,a2adbd68cb06ef8f0915391c2851a4e3,20a4b894763a03c7153e3c75e3e4bcaff39fedbb,,
"Juniper AppFormix",2.11.3,"AppFormix OpenStack Images",2018-02-22,,gz,256019645,1416d321157d3b57a9dc9eba9c2961a1,88ee7023b47c8e43ac7485bcdf51bf867c93aa79,,
"Juniper AppFormix",2.11.3,"AppFormix Platform Images",2018-02-22,,gz,610523457,ad7bf2b1aafd1c0afa1eb46defe89b99,f79d524c3a1ecc2d30c537b57dbcefd04a2c45f1,,
"Juniper AppFormix",2.11.3,"AppFormix vCenter Images",2018-02-22,,gz,238504983,59f1f8e34a25d232aefa35b113bba106,012d910791996db0b17fa4ca402c15080e105c9b,,
"Juniper AppFormix",2.15.1,AppFormix,2018-02-01,,gz,43314290,f7fa3a174c9efbf5782251dbe876b5d5,52d10a2bf5bc8662f63a40a1011686d08fccefd0,,
"Juniper AppFormix",2.15.1,"AppFormix Dependencies Images",2018-02-01,,gz,172334824,e7b5778c42462a20f638774efb72786c,20bddf476e274dea45682db643d7828dedef0dac,,
"Juniper AppFormix",2.15.1,"AppFormix OpenStack Images",2018-02-01,,gz,238374731,deca91caa210827acecc4e3ffd0127d9,5cf6458dce8aa6847b074f5600b88d2e5fe82fc3,,
"Juniper AppFormix",2.15.1,"AppFormix Platform Images",2018-02-01,,gz,610826303,a2c34be74f48723ba13993d9c86f4cda,398ade430d82f0c3ab70814053de1449f506a44a,,
"Juniper AppFormix",2.15.1,"AppFormix vCenter Images",2018-02-01,,gz,238520027,9aa48fa4282472e35225899f1df1554e,34dbf2e83787c81c7df09c2aa4c918557bd85a34,,
"Juniper AppFormix",2.15.2,AppFormix,2018-02-20,,gz,24199337,6340220358ca75b0c814e7768496de0a,fcf8d96d5791e121779e147ca369cd466836f185,,
"Juniper AppFormix",2.15.2,"AppFormix Dependencies Images",2018-02-20,,gz,172334086,4db8d46c43c3f80d88c6627a36602c14,01e09c36436b11c44a2548ea97e95caf3229434f,,
"Juniper AppFormix",2.15.2,"AppFormix OpenStack Images",2018-02-20,,gz,238380559,d6b2ef87d8071032937cf3d8aff0db9e,f37c25a85bb2368d6fe79babe7f16fb1be565254,,
"Juniper AppFormix",2.15.2,"AppFormix Platform Images",2018-02-20,,gz,610842271,ced78e4624ddb397d1c051059b52a7ba,905b58f37d250da66efce0fde8ebbd42397d6681,,
"Juniper AppFormix",2.15.2,"AppFormix vCenter Images",2018-02-20,,gz,238520308,eff90e67b128c638dc1391b7100eb31d,ade5babfbc9e7969f71c9a5e9afa0874977943ad,,
"Juniper AppFormix",2.16.6,AppFormix,2018-07-17,,gz,24584130,7946e41cf5ccfaed811dc8a7bd7284ae,16c8b636a531b9e39faed9088a82c8cb6f5eccf1,a97274232a1d111ccc58ff429ffacf4a14ff876630d01f37d0291e3364a9f1fa,1dedb5f6a9208f85f1ebbdff102337f608c7ca0bdf3ce0bb2c083567b75c25ffba877081c836341fee613906c59ae3b79db87c4ee8716ddf023565664efcfc97
"Juniper AppFormix",2.16.6,"AppFormix Dependencies Images",2018-07-17,,gz,172334361,8bf01c50e57b48214176548bce97673b,4651b129fdca3a6c9ea0f9978f9e71832676a7c0,efe61dcaa0a80882dc644da86677132e5098e159e6032c8ea4aa21600ceb187a,c14bf1652c2f2cd0f8e87bf0162d20637fa9d8b300209d970a8c06e6d1f9b60ffd6028ec14fb0ab931f379f7ad9b3a44ef49c7d34bbf27c293e7777a9c95b493
"Juniper AppFormix",2.16.6,"AppFormix OpenStack Images",2018-07-17,,gz,238389823,d8ad5f013b5f709846329193ba25cfea,747eac9b7f187ab7e527b4f3a82154b179432a2f,af0538fa9bc7a1aa0dbb98974cb5b1cd004c19882c9e820012ed92878305f889,8c25a25e1e68be2fb6456a004e836ed1f593c275e2222e833b4d4a3e2180811b8a4bee4c0ca7bb8186318ad6d22124411345c8f427499036116b724c503cd2e7
"Juniper AppFormix",2.16.6,"AppFormix Platform Images",2018-07-17,,gz,595594549,516ec24ed243f50b7f9a8e85fceeeeb8,3674bbcf29d465822a64ac576027c1573ef145b2,e2c4eff3b1b8183e15a19d69ebacafef9729c84b1fecc0b49e9b89c1f1d643ec,d3cc9d32f5f700b14d009c48dcc4b77f8ad7022256abf6e8e66b52c83d415231fcede4895035fa757568740c0fe75a6651d44a1396abdfde8560310c1322ccee
"Juniper AppFormix",2.16.6,"AppFormix vCenter Images",2018-07-17,,gz,239137371,b25169a9b5575268d50e4ac7722c4a08,806cc688f827a02833db59b35e4619b6bbcacc12,2c02bddff7d725d3729526c65c814175d5a7bcb063aad6e46f27dbb8ca41f7d8,8e8d699270e041aaca7ef1cb1209db4b326e0300a0e0aa2da7b6196500152e44886e2ab50a658d77cfa14e070a72b77853990610b4a56ecebfe017436d6dfcda
