OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Juniper BNG CUPS Controller",22.1R1,"Kubernetes Unified Package",2022-03-26,,gz,304915958,38e5228177a54a737211340e12bb111a,47d23eb7d2c345ad12076290665a276c9982c3fa,a9cab3950eedfe8a4b19acdff7af2059e110068ee460249beb86adf7da30ac2b,7c9924d5770c7e5d51325ff8e2a375c5239db775f9f05adf86bbd53e8bbec13fc568e591c8b15b54e7406c1ebf267e18f965dd9738662e2a854c402f48d264ba
"Juniper BNG CUPS Controller",22.1R2,"Kubernetes Unified Package",2022-08-18,,gz,328749607,4c2a4722ce62f3f305369a7515d8bd46,b857ec8872b746965bcf9b3771c5e63ee848c168,b1edf6253112cd777df80424c481a434d8051c78525006e35c975f5ffd7c0593,1cf2a6f3cef22166c4ea49921038aa67cd758b7f48fb0941cf98d99763b08e160b49299351c45aaa58c12150e7f2461d02b3d06cb171a3f122c6f592443844a8
"Juniper BNG CUPS Controller",22.1R3,"Kubernetes Unified Package",2022-12-06,,gz,359754004,b956cbd37fd9387743708c3e227716dc,93fa1092a40a65b5d62b0dc1d6bdceb1241c36c7,aaf92789f2c79a0fb443e1ac4f77eb41ef8191a3833504a5a089330a04ffb462,37877f1334066d4f19e993815803e7ae2448c0e5f23cbed2c9130755e4efbb621f772bceab151ca22796c1d77607b64e6a27a26ad2b908808100f469b7ba7b01
"Juniper BNG CUPS Controller",22.2R2,"Kubernetes Unified Package",2022-11-21,,gz,352778587,01ff2ea2b065ce61b1fd54a17764b481,a14c22c748a63dad450c31d1dcc19867430447b3,0f0c220a776fc24e6bda18f7908ea0947a2183f5e100629f0a4283e896ef2b48,2db0513bb383b61a8aa4d4fdaa284d28fa3a6fc0aea1066b619ac0f29501f38cfd8a4832821bbe59abe069f4d43c9b9ec9e81ae377e5c64a031e7081d588be85
"Juniper BNG CUPS Controller",22.2R3,"Kubernetes Unified Package",2023-03-29,,gz,361532055,114f888eb6bc1dc1aa3875e202b6ca5b,f3c1d9da9149cba6aa24890537c7acbad6d3fb53,e60e0d8bfd7951ca8993dce10faa3253519255a0a6b4860b376172d6f532a2f8,2d3b3823ab5faf0c45c160da48cb13bfb7ba3d55a2f366ce47b892a5550162e1e207d28877e0d39b2d7bd4ece10b708b67b21696473763cc155995c87e95478b
"Juniper BNG CUPS Controller",22.3R1,"Kubernetes Unified Package",2022-09-27,,gz,909587748,9d2ce5f9ddbf97e3a7cdfb2e0b5ddf40,58c24541ce95a279bb3cc8403fefb8c734c9451a,8d5cdce090eea7d608081a41184d57a58e9cc20c1dbf55e4aa1958b548cd891e,5738204361e7be5c7b9ae41f5249456ab95901beef7915fd75bdc56224976293f31edb0760ae7414003c0065528d6756a62f213cff8347287475b001f4aac6f2
"Juniper BNG CUPS Controller",22.3R2,"Kubernetes Unified Package",2023-03-02,,gz,359383730,2479ead3cfd464bc31f7cf7cff20f614,591025a3c78c88963c039e87787b9ea4d5453bc5,b7d5d0ac4547498a0f6469c76df619359df059687ccdce9294db56d86f5a34cd,d9e89c0ace63e5b3ba7d5592c53852e1384f6310404a2fb3a8e7f8c5c29fa7513e1c6692ba53d9178e7f7bd94b27d74b2223df040602c0d49f630781c64834b0
"Juniper BNG CUPS Controller",22.3R3,"Kubernetes Unified Package",2023-06-15,,gz,359425793,4bbce75dce6f971ff561ef72aaaa70ee,25406a596a88e65df08260be632d505dd1d995cc,680dee9b33faebc0eab10dd92a8c1d9443de25797865cfd2e61d4293c80399a0,98ff25e05b441608bcd835a562292ac8673e3921eceb4f1931b81360fe0fadc75813367f84fbe75d88860b845ab8506e066f1710fe2e9ad1dc90a6201b9b1d85
"Juniper BNG CUPS Controller",22.4R1,"Kubernetes Unified Package",2022-12-22,,gz,393385013,ac3217cbca6e9fddc6f50233ea2c8608,0ed9507b25e9aa44d498b8118634714ddc8e9d7d,10ea5bbf16bb2d9e6f4713c9fb8354fb20a54978697b69e001a8e11583ec40e7,53bf1e04660efe2997874dc9573f374cb3b95f005ef46023922385cfcf9c235a92cb5e8c132245c46dcae1263641b7032f09b89920069f9c4a08b7cb95c30cee
"Juniper BNG CUPS Controller",22.4R2,"Kubernetes Unified Package",2023-06-09,,gz,389438827,6c5af85e077f572f50ec88d0685acba3,4922722086b6d53accdef3a1cc94e6bb3c7e80f8,4c056e6a0702ecb24dbebfa90d20f1b359b89164afbbc9bb7367f0e8b5fc6aa4,fdf9c55ba8ee01aa9bf1494c487b452deda8581e534d65b8cd4088bd55a932931be39f596bb47c880fd8392c43b805c5be5cea6bb98245d5acb279af5380ca35
"Juniper BNG CUPS Controller",22.4R3,"Kubernetes Unified Package",2024-02-13,,gz,390315325,efd4e59f76c88f127e26e4d3fb47be51,952a1693ba02f01990476c5a5ad8980cdf1a8f1f,35b6931a206ddbe9787db0fee3e1054c59280cdb941f6d6c4396bdf477f6e0d3,c6e8ef6b02f1dd1e74a2c6728f64862bff1088c4496d6dc1251f2f6a8bd1701a5ba13b012bc0d6795b8c3b54cbe385e097d6bb53793246d68b6068ea8e0b0130
"Juniper BNG CUPS Controller",23.4R2,"Kubernetes Unified Package",2024-08-15,,tgz,428197351,c3cf4b9f74f1e44ce443ea99596ec5fb,fb695e654793796204a23289cd5edd83578daad4,5b10f58ed34e8a58e4064abdf7c077d002ce46cabbd6dd0fab0bf26ceee4f1c4,22bed8f04c730c5dc3ed12108c07b94fea59fa8cf0f6b218bf045b5601c90af0321b388496b105b0b6d05ca43c68776f6f16d19b61de6d7414b9a0ca89d85664
"Juniper BNG CUPS Controller",23.4R2-S1,"Kubernetes Unified Package",2024-08-15,,tgz,428314674,285ce9df37c26e4cb8915603e10cc537,70b72a61ee3068b8237c7d5be8b307ddc12ef0f7,6d28a6704eeb04ab687cd324a6961d9298498e50cba9f4f8315542abeadcb03a,80488b0914231d74fecd8fa2402f62ad405de28d9ff99640b514fb3af1dcab11635e735601434847fec096a2dd9f22ddfef3752d9f1279741668cffa32d7c583
"Juniper BNG CUPS Controller",24.2R1,"Kubernetes Unified Package",2024-11-22,,tgz,429570422,b791e4bdbaed850f9114ffbf37b0ad77,d7639a84049d4b23097f8ff1de1d6d98f488e38d,5d93258a11f7f13146a4430f8253b9f569dfee5c3688a280f99cecf66df67214,047ad6db271aecb32cc99770cf512f79053376eafe97306362ba7d984d78196540342e8d1e80fdc82e6bfdf15ad6d7673f2d6516c6f5ed11b05fd6f33166b85c
"Juniper BNG CUPS Controller",24.4R1,"Kubernetes Unified Package",2024-12-31,,tgz,603581644,581e6b000f75a54b0cefd98f457f68eb,8b21870fe108bff466cc653efd35f3f6f3f6bdbc,ea6cf4019b524f5b3628d924ea1bf08c1202642fb7169a8487cd460a0e47aa74,baf472afa11b79994105eca70af95c7daaaf08f769253319fd579698059b47955847a321cf0adaaa2af5854227bb1ee0a39c833d3ffeb1cac9cdf9b1f394a691
