OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Juniper Cloud Native Router",22.2,"Docker Tarball",2022-08-22,,tgz,1052899111,94a970ca9972c09b1853222492a1dfd3,d42bb14fcf8b8d31e6f1c8f96c800e1483bcd0d6,38517dc6c57d6adfe5e7f90ef08a741d196765efd973f99bc3d9aee73e3f4c35,5d3267e8ad8acfb8b9380b2f43768f94efd9d017ae63e9dcdfca79b8cdd6364d9df125052812a58685a0c018490fa0a9bae7d871a1cedbe694fb6994c22d3b79
"Juniper Cloud Native Router",22.3,"Docker Tarball",2022-09-29,,tgz,1038943240,6f19239183fe9c8482d98076573ac364,8ff999778db9b1750dd3ea182c74dbaa86fb6fe7,0cbeb503ca88c8066e553882e6ac77910387e515d2c1530182ea51884008d226,5bc82616004eb27ea9baba7d246e439eac496fd0ee2c4c2277b13476de14dd706fa5de6046a344f835ac1a3c5f79d3e9dbf03c74a445c39b918c6f3de0c86970
"Juniper Cloud Native Router",22.4,"Docker Tarball",2022-12-27,,tgz,877617846,17bd578f8fd8203d6a5bbcbd4a874b20,9a1ab57476aef08f5380fd9944346383ab2851ef,3618ac3cd87d484e5e0286c414c24f417df81338cdf3e17acbbdf2407f76297b,5e1095b3cb8fd1f398f2d92313b15173b916e33046e91f1693b3a99266d7ae264998b47b5d4851629781c9b3065edc1a624389f96e8ace8ff98db48991d58089
"Juniper Cloud Native Router",22.41,"Docker Tarball",2023-03-30,,tgz,902229891,e8a511acf06b7160f68e17be01ac0715,f4a8e259aab0f475220c734cf74e907d7dc1ca80,017a0a24bc32a7dd17dbce3e06632a4d28ff64f5478811ceaac1f728d343393e,96c070564fa8fad9c11fb676806ede877ead3b5c7b5064d59809a7d4e786b773d06596209f1cf65477aec230e4c0f308e224f0047f039caaa5e0d9588235d066
"Juniper Cloud Native Router",23.1,"Docker Tarball",2023-03-30,,tgz,1065320167,13a80f80dafd3c5f7a5663ec80282d46,8e5f10a6ae7f37827ade3b94034822c17db6a31d,cf0cafa98e2091e375aa2330bdd0f8e91c7b9c3ff92697d8406a04c6a7c5ea16,f183cc34d3c2d053d5ea6fd97c8e4578b642e1b34c9d65be8bbeca3875594408a85eb9ad8f5c1f699cb046043cc2c8d4d0dc3a2b886b6282453aacced2ca3082
"Juniper Cloud Native Router",23.2,"Docker Tarball",2023-06-29,,tgz,1157226217,59a5111feaf6904120e5b0780f2b3e42,0d8a49a7b06725d94650262bd5f157997894261e,33c5e2d2843aa85b7a46149bacb5f825aebbca742f332c676fa5938f31fe5e52,35a7d5be9565d68aa8da7a494ac686eebeac3b8aa2363103fdbe86f1eb5f8e5a5210504623aa0a9548c2a546eb8b878dbeab93f77d0dbe4a5e53b9967cb09b69
"Juniper Cloud Native Router",23.3,"Docker Tarball",2023-09-28,,gz,1731495511,fe7ea9e6f6683c57f6cf3741994a4b3b,96a6e48c7fd47b467199d6a928408d157e0c56fc,a18bb6b4bc7297c1497906025c558941f8f20022264fff7e7531c1b48f5c1a3e,b2e88dc46e1fc74ede1aeee4bbf71e12007f9d836d84bf150090b1af855e3f751e6f48eafcc64c19b9595b3bf73a1b7f75aaa1337efdf97d27242fadf6957e0e
"Juniper Cloud Native Router",23.4,"JCNR Tarball with helm charts",2023-12-27,,gz,1796781741,d2628f76fc604512da2b98eddaeb0871,c8b75d9e092a79db934416fb6cabf6bbbeb9d234,2c42f0bf649a4f17354c78188c980e2a539fa1440e006c6fef65a98c78808f28,bf6e384538f29d5217d2ccb50831f2979406f859fed707fb835c28072d1f9baf1c4be89ebe2c3e56cb1cbcc37a6d8d7842982d09f2c10faec256b7950d5fff42
"Juniper Cloud Native Router",23.4,"cSRX Tarball with helm charts",2023-12-27,,gz,608982122,5a2c1fccf6a6547b72bc864e2ed817e0,606f5fba8ab2fc8c7e6fb23a6a630d071a0ad79b,b9c75183ea7652b7486f429cefc37d8e212ccb8871a8c4c76aa486c5d1473e63,88807a7da83390ece557d1c7402aac943f13850d35bc4eed5dad505fe2d151890d0c500d3685075b98e9aa0967947d560c0621a0378e8bc46d740356168a29c5
"Juniper Cloud Native Router",24.2,"JCNR Tarball with helm charts",2024-07-03,,gz,1775837102,b0394e6b27ed9c28ed0737569c9b4166,5c607e9a4575677471ac06a2bfa62752440e769f,626badc77af4e7dfd8f97f2693eaa902ec068d2d0fb9e8fda9531df450d07e91,bbbfefd4173634598e0ff3cc64552d2ab00fcfafd45a7d67b5a7ef58d8a59b02de4f4d5531c6c1e5ff46c041175895250838de6372f9d0d01742f61275a26e41
