OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Juniper Paragon Automation",2.0.0,"Paragon Automation Installation OVA",2024-05-15,,ova,21137211392,19cf5e3bd838db68e9fea0ff72305ba4,b124fffe04d826f7612e00f4c19da42cb163d416,4cd316791abe4ed30813e52e3480545d944050b1bdbec617795e6fd7fe0c380f,7deda68aae8ba6399aa95d5365a659a8d579c5562811ebe588972cf0c5107337628370d78dcbdb56ab8ea97e73b7597f3a5ff06e9f501706bd8954b7454b86d2
"Juniper Paragon Automation",2.1.0,"Paragon Automation Installation OVA",2024-08-19,,ova,23760479232,f999780cbdc289007ce2c4866442d67e,0a8f164143af7fee04174dc03ec8eff7ebe9c9ab,d8a7572df617aaadb5cc28c006c46cbf4ebfc014753f9d01d86858db8d547893,9bb642b78a43e72eba9981fb30c0795acdac396781f765f9b3b0bdf8131742fd8df5856953cb2d2b208d6488b7145bb1f1949941ae5c521e78e604164f1c8977
"Juniper Paragon Automation",2.2.0,"Paragon Automation Application Upgrade Package",2024-10-25,,tgz,22084090548,42b28adba982d0943d62a34ed58dfe8e,c1d5358ef5fbf5dec2240b8005494e3568f267b4,0f39bfcf82c55e9a10afa8f42301e0e19c82ae2e9a67dab842e66ad8ea8f28dc,7062cf801d8eb4e35b195f6fec1237219da2a73f87eff59b4437c97f3805dbd2f41b470d4208f4a953926dffbfe123f3f6e06e46141929760d8995de2e658bdd
"Juniper Paragon Automation",2.2.0,"Paragon Automation Application Upgrade Package signature",2024-10-25,,psig,417,8592de07da158ff5cda32e5a4cc04f9f,422d9775403569e4ff4d993b5fe838f210386cad,b989d8698efa1351970e904dbd20f1e5a8373bf15b872c0ffdc206444aa3b6ec,007acb9d2f2485d1e57fef0aa4c6f8e50c8627b2b2871d52c5456abc087baff10e8103d4d342e997427f25f0838b18ccd2a01914e8dca8f026dc1f257b95fc9b
"Juniper Paragon Automation",2.2.0,"Paragon Automation Installation OVA",2024-10-25,,ova,25554319872,a8a9353329dd40467aab260df84e9604,3809e06ae21f985d4b9fb6264c88354f832465da,97611711efeb6b3e792488cf675c50758c04d65137771dba19227f489ab54cfc,1c814e6b4bd78eb0892ea5d883ab7303ce3280d97a51e296d924cbd54a7a56a6a387c0bf68db3f6982583c13202f0514f501a62ffcef125b34ba1f9958bbcd07
"Juniper Paragon Automation",2.2.0,"Paragon Automation Installation OVA signature",2024-10-25,,psig,417,2a71c82ecbf812bf1ed6bf7bd1930a3d,3f9acdef502484a29ff01172b2f8a85847d230ab,a353f6ab11ade325a6717dcfa23665e40bb78805b829319bdfde987c5c7e6eee,84cacca16f5eecd9911e36df6a74b96221abe3e8aa4587ecf0ac62c15f2e7ba0f4ffca892ce86b71bb9b0f1ec17068afa7d7ab307b5f9a3fc70756a673b1be06
"Juniper Paragon Automation",2.2.0,"Ubuntu 22.04 OS update package",2024-10-25,,gz,594428210,42dd673e41cb3559011837e8d5fb820a,0dd664689ba90c6cb8e05ac166cdfe5bb7878011,9c6ef464e31e840058c1001f5e142d85db27e7204ed2faa6f2edf31d8a0629f1,18be6b382556d87f0029f7b02082e9e61372c5d4cb3b00247de98654019464b9ec6cba7f221d747a8940de3512d0b5821debf86050766f2a3c5a515d1ab2a3b8
"Juniper Paragon Automation",2.2.0,"Ubuntu 22.04 OS update package signature",2024-10-25,,psig,417,6c2da1153170a7640830bfbce8f5bdc2,6a2172bece157f56bf4c3ee13032538d78f65788,f6417057154b5b4afb877975536ac9f90dc12a147cfcab8406cc32ae7afe1800,680146cb7e2f82202d837797895800aea65d92c230b086970b5e5556e2f8017d8ce148ba54453ee0d16e685bf9952913daadd79825b2660c4569e8d06a62a039
"Juniper Paragon Automation",2.3.0,"Paragon Automation Application Upgrade Package",2024-12-26,,tgz,28861474169,8bb1c79233a0b75f306dfd085a72a0b8,9e5756116f53b2a527c73e57bf483a6529d0b007,6e0f10c9ea25cff6625d238c74f16fdc047ce5c5775a9b50fd195a7848ab3155,0fa216cbc6529238654d270b738ffb44fa75135824ff6dfc67e46eb6fbc0342a3cb7e41d424b8e41d632f7fc8ab693281f2d8349ea9e36b7b20e0fafb786d873
"Juniper Paragon Automation",2.3.0,"Paragon Automation Application Upgrade Package signature",2024-12-26,,psig,417,f11d9a6d404c2501016dcbee4a5d3b99,77baf373d4560985fa28e44f059f4e9b8fea6c24,9c885dbd3b1bf884c963c2c32e5e8399be18a8619a3aa03bdf95d03dbb06e85d,7f4bde507aca3ffabde750e742c550e27bf19bdbdfde533c5b441bbaf51e518a79e85755a4f3dc3211454f208c2eddf2a41f9ce308678c15d6e1ae3378f0a252
