OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos Content Encore",11.A.1-5,"11.A.1-5 Installation CD iso file",2011-11-22,,iso,379174912,390d973e93b79fe9b1c5ae82d5eb8389,81605d29a739a92d842139e5d408f359b0b5748d,,
"Junos Content Encore",11.A.1-5,"11.A.1-5 SNMP MIBs",2011-11-22,,tgz,190766,9b7c4fc0ee100215f106132542303315,6d001bf49744c869aa0549e1f400deb98aa837b9,,
"Junos Content Encore",11.A.1-5,"11.A.1-5 Upgrade additional image file",2011-11-22,,tgz,188921808,b019ba2fa44247ae642404a1a3faa348,2a09c2c99cedc42b0b9b9fe88a7e33a8fc2f6741,,
"Junos Content Encore",11.A.1-5,"11.A.1-5 Upgrade image file",2011-11-22,,img,166104370,1722ff799e2f6ec45a1f5f7e2955e2a3,86ee2295a30f465379cbd045d15f4e01b90f881f,,
"Junos Content Encore",11.B.9-1,"11.B.9 Installation CD iso file",2012-09-13,,iso,434941952,9239315fadce4850ff6cab2a806bfa8b,f83321c5787ef4249d8714435919df22867b9508,,
"Junos Content Encore",11.B.9-1,"11.B.9 SNMP MIBs",2012-09-13,,tgz,192165,5373e9fb721e7053cb209a697b163cfd,ea47e8d43c6fe9fa9a8bf51d6f1b5d3150abd8ab,,
"Junos Content Encore",11.B.9-1,"11.B.9 Upgrade additional image file",2012-09-13,,tgz,207641623,5b6a6eb1719578cfdd75da7eea5d4099,b860ab0a636000356a0afa3fd28021743de95081,,
"Junos Content Encore",11.B.9-1,"11.B.9 Upgrade image file",2012-09-13,,img,174198735,0d4f565ceff188316f19e491f96faeac,d27f01a54d59dc744c138539de503e9c77162769,,
"Junos Content Encore",12.2.5-1,"12.2.5 Installation CD iso file",2013-02-06,,iso,522848256,a210dc157b3f7e11a5c03b0801b5a14e,2c00f2650933d20d0bac0eb3e53ad817d56898ec,,
"Junos Content Encore",12.2.5-1,"12.2.5 SNMP MIBs",2013-02-06,,tgz,193057,01be80fe87b56e9463994a32272bc754,c17eeb6451f9233c6cf80a8ac30abeaf40820fb2,,
"Junos Content Encore",12.2.5-1,"12.2.5 Upgrade image file",2013-02-06,,img,425654387,fd1bfd660b0a32e0fb051811da517d5a,d884e19840725e73697572fc472bdaf11f0a9bb1,,
"Junos Content Encore",12.3.8-5,"12.3.8 Installation CD iso file",2015-02-06,,iso,657086464,9f077ef57e131268be76a1b26203222c,69ac7a083611af29fd124e2a90fafb8ef68a61b2,,
"Junos Content Encore",12.3.8-5,"12.3.8 Installation file for AS-MLC JunOS 13",2015-02-06,,img,845521915,d71c29c388fec031c4c8c5f35067d67e,a39dce0aa314d26c0bf6bb01caccf68ab0a3ca85,,
"Junos Content Encore",12.3.8-5,"12.3.8 Installation file for AS-MLC JunOS 14",2015-02-06,,tgz,321094110,e6f5da86fc7e54959d45b6f2d409cb83,573fe0f7101886b04ced009ff8d1dafb5dc5b6f2,,
"Junos Content Encore",12.3.8-5,"12.3.8 SNMP MIBs",2015-02-06,,tgz,192044,54914e8c0c154102a34e106cf2d467e1,7a2cd808cef41c00aecb4c5c2b29cdb615f572d4,,
"Junos Content Encore",12.3.8-5,"12.3.8 Upgrade image file",2015-02-06,,img,524680337,59b6f197969a675bcb3428fb1e121f6a,a8642282b1b93db35cb8c6b929b1b3461c3b0c3f,,
"Junos Content Encore",12.3.8-5,"12.3.8 VM Image file (KVM/OpenStack/Contrail)",2015-02-06,,qcow2,2334392320,aac21b916a64525840e7aeea00e37503,8c468341f8a7b457185a6acc03ae23683f8e94dd,,
"Junos Content Encore",Junos13.3R2,"Junos 13.3R2 Router-Connect Installation file",2014-06-12,,tgz,1785655,3467e7400a865faf30f99578223ae7a1,84387f79f011b6e3d101b86db258ccaa9290c764,,
