OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos DDoS Secure",5.13.1-0,"DDoS Secure Software, Ver. 5.13.1-2, .iso image",2013-05-21,,iso,517472256,,4e880bc5c7f6bfd76284bf224cbe2e14758fd8ed,,
"Junos DDoS Secure",5.13.1-0,"DDoS Secure Software, Ver. 5.13.1-2, VMWare (.ova) image",2013-05-21,,ova,517611520,,749c50ddcb6cdd78ceacd845a438b84569a87fd8,,
"Junos DDoS Secure",5.13.1-0,"DDoS Secure Software, Ver. 5.13.1-2, usb image",2013-05-21,,usb,786432000,,d114092cf5f11eec8339a7f5af459e1121466c27,,
"Junos DDoS Secure",5.13.2-0,"DDoS Secure ISO image",2013-11-21,,iso,555286528,,85481ae6beee4a6caa8dc6faecaf58f7d1ca1a42,,
"Junos DDoS Secure",5.13.2-0,"DDoS Secure USB image",2013-11-21,,usb,786432000,,e9ccd5940b377ab25fe85b2b36748f54d8be4f26,,
"Junos DDoS Secure",5.13.2-0,"DDoS Secure Upgrade File",2013-11-21,,upg,137697280,,0f54b696fc200b865cd41cb0ba8e081ca2557f05,,
"Junos DDoS Secure",5.13.2-0,"DDoS Secure VMWare Lite image",2013-11-21,,ova,555417600,,2bea3d84b5b31dfdc1663ca59ac24946d4403776,,
"Junos DDoS Secure",5.13.2-0,"DDoS Secure VMWare image",2013-11-21,,ova,555417600,,735c8a6daf952dd6d285dfbcbe342aa136df5985,,
"Junos DDoS Secure",5.13.2-1,"DDoS Secure ISO image",2014-02-03,,iso,551616512,,170521cbe58685746a946b1e4bd09919a3d6ee4d,,
"Junos DDoS Secure",5.13.2-1,"DDoS Secure USB image",2014-02-03,,usb,786432000,,c7b4363af94bfb0d2d8bc4ca747c8e9a3ab30b90,,
"Junos DDoS Secure",5.13.2-1,"DDoS Secure Upgrade File",2014-02-03,,upg,134031360,,c60262b81a6269b4317bfbcb31590ce1d931c8c3,,
"Junos DDoS Secure",5.13.2-1,"DDoS Secure VMWare Lite image",2014-02-03,,ova,551751680,,f70140f805ab8838dea1aeae67989c6a14393d16,,
"Junos DDoS Secure",5.13.2-1,"DDoS Secure VMWare image",2014-02-03,,ova,551751680,,00d1a44fb61e4acce688dc2d243981359250ccb8,,
"Junos DDoS Secure",5.13.2-1,"Hardware Diagnostics, DDoS Secure",2014-02-03,,upg,43571200,,9e17ce925391c7fcccf60479fbc2a0446bfcda43,,
"Junos DDoS Secure",5.14.1-0,"DDoS Secure ISO image",2014-05-06,,iso,503644160,,8bc6e3b8a57b2050a20ff4d1c4b98d0bc0afb907,,
"Junos DDoS Secure",5.14.1-0,"DDoS Secure Upgrade File",2014-05-06,,upg,75520000,,59e06ee931d90ee40f805bfd702c5c2e3fac4a86,,
"Junos DDoS Secure",5.14.1-0,"DDoS Secure Upgrade Re-Image File",2014-05-06,,upg,289464320,,ec62e680ae663fb7e9eb486caed8fc9eb6b04a70,,
"Junos DDoS Secure",5.14.1-0,"DDoS Secure VMWare Lite image",2014-05-06,,ova,1141257216,,894b4120ba38c904c33856cbc314fd6c7b3df6ec,,
"Junos DDoS Secure",5.14.1-0,"DDoS Secure VMWare No-Recovery Partition Image",2014-05-06,,ova,645322752,,97bd4ad497de53b04a1748fd24a28408d53e1bdf,,
"Junos DDoS Secure",5.14.1-0,"DDoS Secure VMWare No-Recovery Partition Lite Image",2014-05-06,,ova,645322752,,9d57f82d379d3e26c08123b48fe57c290911e258,,
"Junos DDoS Secure",5.14.1-0,"DDoS Secure VMWare image",2014-05-06,,ova,1141257216,,29bcbbfdaa828ac9788008e4b07fb3b849fafbb1,,
"Junos DDoS Secure",5.14.1-1,"DDoS Secure ISO image",2014-07-02,,iso,503644160,,264b6b3e48b5beb7c0153a9cc94e3af65b3eef0d,,
"Junos DDoS Secure",5.14.1-1,"DDoS Secure Upgrade File",2014-07-02,,upg,75653120,,68f89108731c0f1a278f9577560e9954b3fec42d,,
"Junos DDoS Secure",5.14.1-1,"DDoS Secure Upgrade Re-Image File",2014-07-02,,upg,289587200,,f112167b9641182242cf7fe6858bf766941a8b32,,
"Junos DDoS Secure",5.14.1-1,"DDoS Secure VMWare Lite image",2014-07-02,,ova,1164405760,,69cc3f01fd556f1cdb3545ed3d45c2a143267b2e,,
"Junos DDoS Secure",5.14.1-1,"DDoS Secure VMWare No-Recovery Partition Image",2014-07-02,,ova,668220928,,97c73c211b6e277c553fca646ed699501cb4ead8,,
"Junos DDoS Secure",5.14.1-1,"DDoS Secure VMWare No-Recovery Partition Lite Image",2014-07-02,,ova,668220928,,e314e14030c6c8fe7f3c0a65617dabcb056a497f,,
"Junos DDoS Secure",5.14.1-1,"DDoS Secure VMWare image",2014-07-02,,ova,1164405760,,eb300349a6157c550b4fa49296704dee3e5fd112,,
"Junos DDoS Secure",5.14.1-2,"DDoS Secure ISO image",2014-08-17,,iso,503644160,,4ff489e8f6d90f2f3af6799719c1a1f38658b45f,,
"Junos DDoS Secure",5.14.1-2,"DDoS Secure Upgrade File",2014-08-17,,upg,76216320,,69787e394925cf71f8555a99741b4accc15cd2f0,,
"Junos DDoS Secure",5.14.1-2,"DDoS Secure Upgrade Re-Image File",2014-08-17,,upg,290088960,,3051aa0f57bbb2b730d8a16406920841113849d1,,
"Junos DDoS Secure",5.14.1-2,"DDoS Secure VMWare Lite image",2014-08-17,,ova,1173661696,,50f7a6b503a2f14b395f6a3991695805904e2b74,,
"Junos DDoS Secure",5.14.1-2,"DDoS Secure VMWare No-Recovery Partition Image",2014-08-17,,ova,676993024,,ac4827135268bb530c4b1e788b2f465a3a396002,,
"Junos DDoS Secure",5.14.1-2,"DDoS Secure VMWare No-Recovery Partition Lite Image",2014-08-17,,ova,676993024,,af48916a6a096cfe085954ad404d863b38bd88f4,,
"Junos DDoS Secure",5.14.1-2,"DDoS Secure VMWare image",2014-08-17,,ova,1173661696,,667f014f948205ce19d00e0f06c45f873143f146,,
"Junos DDoS Secure",5.14.2-0,"DDoS Secure OVA Certificate Chain",2014-11-06,,pem,5428,,22bd4244ef4b63f92d73d7ad5dab586d1c1a91d5,,
"Junos DDoS Secure",5.14.2-0,"DDoS Secure Upgrade File",2014-11-06,,upg,88647680,,e0e421e1b8f39f03bfe30c4c0fc0e2c84928ea34,,
"Junos DDoS Secure",5.14.2-0,"DDoS Secure Upgrade Re-Image File",2014-11-06,,upg,295874560,,cd23c0e6cfc1c6302c0637904dcd969b642cb8f9,,
"Junos DDoS Secure",5.14.2-0,"DDoS Secure VMWare Lite image",2014-11-06,,ova,1153351680,,8d1089b69877c8443ec5f7e2472adf503f7b35ac,,
"Junos DDoS Secure",5.14.2-0,"DDoS Secure VMWare No-Recovery Partition Image",2014-11-06,,ova,651560960,,ee47ac21891a4ad85b9edb8f23b0cce3a5b6e6f4,,
"Junos DDoS Secure",5.14.2-0,"DDoS Secure VMWare No-Recovery Partition Lite Image",2014-11-06,,ova,651560960,,d954d4fa2037fd9e48c02c86af79c459f4d69d17,,
"Junos DDoS Secure",5.14.2-0,"DDoS Secure VMWare image",2014-11-06,,ova,1153351680,,8b41c8f46b87726a88fd738a9e661cd51a8f9600,,
