OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos Evolved","18.3R1.149 EVO","QFX5200 Series",2019-03-13,,iso,866611200,b8e62ea6ae9878c788712a75d1b21b5e,94a9da9734af472653d16391242dedfb7bc6a0cd,81363d091b63a711f21215e75813e7eed29d8550303bcc6b53e45a2aa31fdbd9,57aa0c2b5919821e4e27186ce5cbd3cb72fcef4c8c34f5f223d437b4628b542c408e40cd2b19c9221cb61ef0d9c3549efe824d418c0323e852b28902941c9ba6
"Junos Evolved","18.3R1.149 EVO","QFX5200 Series",2018-12-14,,iso,866611200,b8e62ea6ae9878c788712a75d1b21b5e,94a9da9734af472653d16391242dedfb7bc6a0cd,81363d091b63a711f21215e75813e7eed29d8550303bcc6b53e45a2aa31fdbd9,57aa0c2b5919821e4e27186ce5cbd3cb72fcef4c8c34f5f223d437b4628b542c408e40cd2b19c9221cb61ef0d9c3549efe824d418c0323e852b28902941c9ba6
"Junos Evolved",20.3R1-EVO,"QFX5220 & QFX5130 Series",2020-09-22,,img,1095761920,e6194ad89ca71e5fa73f495129928277,9c31402d4e4c4e8f79c7d7520ca973842af50029,50b4f3f930cca5060252884cf2fc1c2377f292a75c6f40203e0f7a686b3c9852,64ab68e3f044ac1d7ae5a2a840504123e5b6280687aef6ac3600e970e201fb4db01240ac828a6ba9439660a1d8c2abcd7b44f90be3d70b95ec457f8f318d3e5a
"Junos Evolved",20.4R1-EVO,"JET Client IDL library",2020-12-29,,gz,107795,93c1c3accb4b243a51dba2aa0a29561a,7676ce1fd933ac2280bf37bed06c774c25c75a10,18fe73fcc222bcf46153e35ea29e999d103bbbc0b7482194147cdcf19dd3aa1c,4af965c56bc765c05f459399949cf452c44a528e2fc8fdf63224b1bb6ba2830e0328c2ee04e44ebc71b7fe23cde59b9ee341ce8c7d1dea7594a6612375d0f96b
"Junos Evolved",21.2R1-EVO,ACX7100,2021-06-30,,iso,1238769664,2998c5521b36f2f3e13b233a23b934c4,f6ce59a7d71b1954213d8e444e1c836450bcaa50,62659c9627cf3eb6e4513a633e75e9f65300ce1cd0d15c5bb98466040a41d536,f828bf0349da16e56dbe9fb7af38a35ecc126ed249d22356dcd10f3e6d119f5551a6adb33b32f8f79af0fc428379ded3cb4dc0432f26b6c45ae46d673fe81fae
"Junos Evolved",21.2R1-EVO,"ACX7100 USB",2021-06-30,,img,1335885824,2f5d66f584b419f3fa2b6a9336126745,65d3047c358354d2299ff24ac4b25e428f302bed,4dce9e504294de2cd4d3c91b99c5d65fb14e7eac45d6fa3cf8a6e8aa952aad23,bbc8172917012d4670b33c598965fb92d568daae282f11861a2b01780d16d81c08d09176dc42679a7374cd6a3cc4a05960b3c39f28b428d93c07a97745e0f5e4
"Junos Evolved",21.2R1-EVO,"ACX7100 debug",2021-06-30,,iso,7348113408,1fb64a340a2c53d7b897eec13b23142a,5545ccb7e33c17feb7f34952dffce05f8a3caaa9,67533c6836e52d8783c8d3fa9f914eb552fa44bb0a07d95bdc512a06ad41483d,0ac2c0e5405a456c4f77043cbfc9b2af85b2a6ed8fe9acb08f4eb1ad8adb838fd9e03e548c75f285a870524c93227e57a7cc364a5e19ae1ac0b0e65e7f5a57ab
"Junos Evolved",21.2R1-EVO,"JUNOS Telemetry Interface Data Model Files",2021-06-30,,gz,36444,51a1f37cc8920c56361192ec41b3cd4f,e409d07dd36090eed8418c26694cad9efe92f19d,4a019cf4ee19e762cf101f5cd5cf9611318959c2e3ea17ce65f54e95c761118e,2bb34a6b4f1625e298148b4f81f23b21b4f45aee15cd0849f5728928cc504d1560b30f1de28c15493614ea48fc6bb6576023eee1ec7f5f94fbca260edff5ce03
"Junos Evolved",21.2R1-EVO,"OpenConfig Models",2022-07-25,,gz,236943,9226fbbb9f51ae8fa5b4f1afe50d24a2,71958c773ad23a909805c15a5153e2382f3060cf,5006211b78e70ea69cb09b02954a61d2b2b34439dffe08ec10edb2352e546a86,3e95c0dd6d7bfd62a91129c9492f161e231f0afb28b63871e67c6d2070dc4c94b424d0add22524d8712a11bceed6367a577ca5060fa15f019746fac7c1f7c604
"Junos Evolved",21.2R1-EVO,"PTX Series",2021-06-30,,iso,1106255872,d778f8610d5d974d529d1da5e106ed5b,f73e3100a4327dd3ded84385904f8f62da779f0d,df82ea1496b09114def1e7e22a44eb6e517fd2895c5214acf5c2aca9eab72244,97d72a861f5e67ee053e6ae800d4aa88285d1928d771f1e066cf50fa34f95c931aef3d0be87d7be851db983883afcff4bb4d74be9a5d93dd687f5de9ca7c6f51
"Junos Evolved",21.2R1-EVO,"PTX Series",2021-06-30,,img,1203765248,53b4de9851777265ce950d4535f95fa6,e7586355d8176cc4c3746cbf4681603cb60f0d44,3fda6287a5a69384a8cb7d1a147b08a2d1e16f0be421348792d6dedc26e9fe55,67105d2f98adcb40d1cb240e6faa8045e3c4a8a5b0c31c6396e6c8a48ae3a233045ead1d19f756dda7f865784f0d98674f261493100c612bcaf78bf69575d856
"Junos Evolved",21.2R1-EVO,"PTX Series - Limited",2023-12-20,,iso,1099036672,27dfd4b2009d9092c978c9bc8a43e0f7,7995db8b2f101eb873be5af1b524fbc73af12b75,b3dbd0b13b37bf1c4a791f888d6b8eff39c2781771517fb69945ddd3c84da91e,8bc1642ede1b07166886d352314b2a08ddbf84984782bf621601ea425ca994a3b7b3c904a3552614747aacf80a7bf6dec47ff9e1c239dc7abec961f9778fe14f
"Junos Evolved",21.2R1-EVO,"PTX10004 & PTX10008 Series",2021-06-30,,iso,1607254016,7886bb48e805d5caddf631d7687172fb,a1c2a0fdec4124ac5444c831f7618d4329e3e3da,eec11151f94881e27c6964a45a3530511c793ab50d63a2e8908c1c70e1d0db85,693776d16ad2290391c89209c746d642e18a237d80dcca62d9eace8ec4d1386b247a2d3b2d7e6fdb554ebf621bd9ac809e1ae0a6f4cca8da72e225c09db3c432
"Junos Evolved",21.2R1-EVO,"PTX10004 & PTX10008 Series",2021-06-30,,img,1703936000,68638008428045bd7ee813ea78631f39,701993a545b263b5a3268188416903fa66b97331,a1bb8df8593d0574a213b4dbaa15a0455fca3dda7e71739b0c80af93cc59f0dd,636150135cb1095ef026058a69d4d3e0c4cfb15b7d65e12e4c8b9e62b3e7aa38d87b5bb2edc2134b683ad4f77d451652a29cf8c8366c0b047dae00319a437dc7
"Junos Evolved",21.2R1-EVO,"PTX10008 Series - Limited",2021-06-30,,iso,1596598272,ae5d99cfbcd9b0834cdddd3b26904428,9eb34270959b3bbdc16f128fd6d71bc319a0ef13,aadfdb694ec4f2b454e4e97d62d64088578f4041883f18a36979ea1da1e8f23e,bdb4bb5d8fa4b27c0b8cbadb93a55ed7030e5c16e83d1446cfe7b95d4a211677ff3debe33a4c19d7aeeb5edbda57320686090cee8517947c0b4330c15d44c6a5
