OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos Fusion",1.0R1,"64-Bit Junos 14.2R4 for MX Series Aggregation Device",2015-09-22,,tgz,860555612,35ad9e9f936020d64a7f507f4f2d4bef,128f9add58138e54b232a303726fd16b5bcb6df2,,
"Junos Fusion",1.0R1,"Satellite Device Software for EX4300 & QFX5100",2015-05-22,,tgz,345239081,f766324651f62d6e495813b91379acce,34cb6cd29b3bbe2cf9e2528a033a255ad73f2551,,
"Junos Fusion",1.0R2,"Satellite Device Software for EX4300 & QFX5100",2016-02-18,,tgz,345277134,23a1d056ebefcfdaf310a99f54034176,f8e9e101408c75c29974c3c437b7e9cc9e0a3dd0,,
"Junos Fusion",1.0R3,"Satellite Device Software for EX4300 & QFX5100",2016-04-07,,tgz,373354857,63a42292df225a8ea81097f6c276d2bc,e85a0129708c7e462544dee55d1a92ccab2c9398,,
"Junos Fusion",1.0R4,"Satellite Device Software for EX4300 & QFX5100",2016-09-29,,tgz,346374664,58a032d917afad1a65e9bd95eb21cb84,b066313bd2fb5b22fc5e45f92f7bf9218a18488f,,
"Junos Fusion",1.0R4,"Satellite PPC Device Software for EX4300",2016-09-29,,tgz,142857479,de269fa8e6287df53913f3d031b08d54,8eaca23988c368f931f59ccdc55d21fe44e05877,,
"Junos Fusion",14.2R3,"64-Bit Junos 14.2R3 for MX Series Aggregation Device",2015-05-22,,tgz,857858503,894607b22ad6e4629d4fadc2c1d58089,8c4e6e201381f6f1ca132e1cfbe0f9c3e8f9ebb6,,
"Junos Fusion",14.2R3,"Junos 14.2R3 for MX Series Aggregation Device",2015-05-22,,tgz,831934444,3c706ca89b413cbc47c47ae97affc4e8,f8f8096f20d0d88cc73d25b61874f73a24db2c8a,,
"Junos Fusion",2.0R1,"Satellite Device Software for EX4300 & QFX5100",2016-08-17,,tgz,381841504,c20b0e9e7c47e975460334911587b8a3,cf7aa17375c5c0bb05bdb19faa067eba544fde2c,,
"Junos Fusion",2.0R1,"Satellite PPC Device Software for EX4300",2016-08-17,,tgz,145445960,728049fa6680312e7565c5e6c52ccc4b,5c1d51bd11a08005a67185679cd250e4d913870a,,
"Junos Fusion",2.0R1-S1,"Satellite Device Software for EX4300 and QFX5100",2018-09-18,,tgz,381845035,598df252ae826d8b5d187687507d385d,df51d754256b6ace1cc275aa118f8d8268bb8acd,35743bcf8250ad17b1b67184af8b71f81f86e502d5966968b41a75c90776c68d,aaca1c55acedecefe6aedbe0d8d7b5193d1cd2dc5e16e9bc243ef362c2a24e6de5ba15858265d08198fdceac4e1738e3649d1535316fd5fcdd813ca450814a25
"Junos Fusion",2.0R1-S1,"Satellite PPC Device Software for EX4300",2018-09-18,,tgz,145457338,1dc7010901bd6a329c2140fcd9c09e8a,c274a55b395fc3ea92a4e2727564dce69ffc806b,a4f9b9afbc12931a47aef71a1d376f05e889f41355929c7c460959dcbfa7b39f,94c1992e5226db0745fb98469cad1e3638efd9508151216f97f764e52cedb19b0d766e54258eca4cc0dee1197f5f7fcedf0603548e40a80e4cff247d59fd798c
