OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos Node Slicing - Guest Network Function",21.2R1,"GNF for MX2020 MX2010 and MX960",2021-06-29,,tgz,3096150746,a334ad5f1e01760ad71f4389adad7098,eef862a4f8727e678479478d0a15754dbd9d4147,44a7f51cfc036501ed0afe033146f7c795187a40c2c18529e1e5d6e23569932e,d28c04f8c969a82fcaf7ea9b4bee1e72bed3589214971083b4a3971b5f874bcbf51c12adcad31d8dee203d2287403a2b31ffb55266b06186700a05af32e00b7e
"Junos Node Slicing - Guest Network Function",21.2R2,"GNF for MX2020 MX2010 and MX960",2021-11-16,,tgz,3093943133,efee60c258f3e38f4ba2a994973a5816,0fd2d5f0c752c694f37c0bd8fbaa7d28e82b30e5,9939f42194f6012f0ac5f2ad6a41b44673716211e7fad8e6f7fd449e533d44cd,5060e7e092bb8a524af81035ceb4981beb4ba7a2c50ce30847b0646d6d7a1e9a393a5a21967378ecb0e75a4b365a34075d435ba738117acc47f3c6b965018d92
"Junos Node Slicing - Guest Network Function",21.2R3,"GNF for MX2020 MX2010 and MX960",2022-03-29,,tgz,3103076214,502bd48cf368fccf502ca3f54f5658ac,964a97108365fc3ec35277bbddbc0e3773e95672,8db82e5d07c9d15b316b9b4d2e1ab7037e8a8fa92a32b61468b50ead44e9c0b0,dc5248ff6ad7fb01408122da70bd3bf78f2b8c152cda49dbe4a2f4300037c1d9c924a97f2c63a99628af3ee759a444f88fe6aa523f42694b7df7e7c171421b24
"Junos Node Slicing - Guest Network Function",21.4R1,"GNF for MX2020 MX2010 and MX960",2021-12-21,,tgz,2999049691,a0209a6c70256d808a3864e1be8b11a1,c00f4fa880fac213c176db763b99eb4a62f9278e,4f357895940bfbb0ae26d022ec7018b80cbaf2666c5341007f709e671aac9029,ea580d8f59dfe67794dae0e27c2eb360a9ca1b2a4f90800e9765c27ece8af7e9aca5fde630d5046f15341e655e59d34f10063155e2e4539685f02dc6dc3268d1
"Junos Node Slicing - Guest Network Function",21.4R2,"GNF for MX2020 MX2010 and MX960",2022-05-27,,tgz,2839721164,6a7a1ae8ea7e3e92d032532aab9e6ad1,47b2b868a3afc0a529ab5b5bc652626319fda109,e674800f9e82a2d0fc6859aa4dd2df19fae9fa6a0ffa00a092863c634685fd5b,238c9e768fb1ff9fba481138957f183efa432a8c656dfc061db843cd0d6a63b344dbc6ff125563718d2183da1b17ff43c90171053d65803d8085c4abce059ff7
"Junos Node Slicing - Guest Network Function",21.4R3,"GNF for MX2020 MX2010 and MX960",2022-09-09,,tgz,2847205726,83514f30857f261727c7d53427460b2e,56e64902983cd44e283dd16672a03a9c312ebadf,00899bb7a7142996fc07de234996599ef2d8c60f714c9983d6d20d66e2fbf314,25d03e32cbbe1c31d83730ad0d38736186daa3deb47a17215e9e84e3541cd886b582e610df9a3b51f9528be2c08eeacf2a30265420166e33e41b4736a5f518bb
"Junos Node Slicing - Guest Network Function",22.1R1,"GNF for MX2020 MX2010 and MX960",2022-03-25,,tgz,3183730182,b4a04948c41e5eb806534fdabe8e0a26,3f919432410a1a6e8bfbf18b7020611dd2d8c337,197c34ccfe484070b85f42de2a309e37c158dc826352d91ad4e833acadf66840,5a9f6abf35a2370923771336034e367b604f91e06f5aff302b3fd7742d695ac28924930dfaeb1e4c12b1e00078a71bdab5861c9fc879e29598bc3c1da0f972f0
"Junos Node Slicing - Guest Network Function",22.1R2,"GNF for MX2020 MX2010 and MX960",2022-08-16,,tgz,3195103774,4f8d309d30ecfeea47259e07e26eb8a8,baa7c5e840f70071f38400e4ff3397298ef42e6e,64c2db2f5d7dd90d6ab9e968f6bea8cf993eb8cd183b8174b4e4174e43a53dd0,b80ea2822fdb5f664e5cc57c0ed5f5a4e21a2945a50a4c3c446ee8ff480a3ade299007f725c76596a0e57565bb7539e7af1a07fe8d50128618ee37f562587a52
"Junos Node Slicing - Guest Network Function",22.1R3,"GNF for MX2020 MX2010 and MX960",2022-12-03,,tgz,3186485267,0dd2f54757c2d698555844216cd18d7d,2d52d119c431da767a81305290fcb36694c7da94,0ae219d68fed394c7ec49a5af53d4af70a378f95cd7c473b97f1ff2232dca9b0,f6cf5813ecb447b54a8988466fe53c6b47eb582c78e4d6323f31cc1dd0aff93217f35fae584b28d772d57bf4539598808eefe8cddc6ef0b276a4a6bd405aa5ee
"Junos Node Slicing - Guest Network Function",22.2R1,"GNF for MX2020 MX2010 and MX960",2022-06-24,,tgz,2176522569,9a4dd75f98cf746511e96f08a7c8dc91,4330b22b56906caf6e5d7f3d80016e1bb3f48cf5,af73695a8d381e47b55fcbfa822788e8967e87cec8e70aade3f17940a7532136,dc21492604e40e0939a79674c948c9ed84cce909d4200db64cd48d1148fdeda22f2236a99e0c80f5e8dce8793063f34a7eb04011cb54df5719d86d04c937db24
"Junos Node Slicing - Guest Network Function",22.2R2,"GNF for MX2020 MX2010 and MX960",2022-11-09,,tgz,3198877801,93c9d28a0dd756970de1a22e8968b70e,1627f8db1928b6108953010d7af05e512bb092d9,7ff8f158f21e3e31673e7d5f2602ee53f821d659fa3a34e5ae6a4fe1373121de,0670075a4aeb9c8efa01a838968b2ecaf4996f470f9db67f38f9557cbf097a5e72040e975ecf90e792dca9471206296ce70b7749efb023f0ce13c82945bfe992
"Junos Node Slicing - Guest Network Function",22.2R3,"GNF for MX2020 MX2010 and MX960",2023-03-29,,tgz,3278785210,9d9748493133895f3811f521f35aa91f,1de8252b10f1eb21ff105a495f7ba0f8ef5e23e4,badc32e32804f1523e9817c8033e7679f4198b039164a35a4d3a8e9756aa544d,00f88d6107bceb5dda6f9774a29de6ca80725a35c6db850130a49c9fd9961e8bee7e821f510b9a10f55d9f05edc71774f7218a8b07eb28d28c63e40f82a5d115
"Junos Node Slicing - Guest Network Function",22.3R1,"GNF for MX2020 MX2010 and MX960",2022-09-27,,tgz,3279516195,c2cfb4fa56b60e81cafb70d8c4e393f4,7ea93e2ea6a25731e515ab41312290a14a17b2e6,d383f5ee60afb7a64791d2b296069be7a4d54a0ae1f2924cce40b75c6ed33bfb,9eee409cb5765ca31fab628d016b5e9a8b725de50d2dd1c4c4b6ff80ec9445e53facca60ec64ca67f69ae3ea1016e7ebfa6e41aaacbb5aedf545b966ab72a7da
"Junos Node Slicing - Guest Network Function",22.3R2,"GNF for MX2020 MX2010 and MX960",2023-03-02,,tgz,3357600466,4caeb46a9f7b57cfe2539ea0ccddb1a3,40f727fdc525eaf4cdb6ed99596c3d135d75db99,503be8a61b40a455441c590f441a3222d0eb0b23c519c635cdd9ac61520facf4,a02147dd66d2e4ef471973b538b599a3a2836eaf6dc88a96d85b34d40082cf53c4eaa3d1ba60b0eb98ab48cb4e5ccf2100c71fe3fbd23ea98a12539fa8d2bec9
"Junos Node Slicing - Guest Network Function",22.3R3,"GNF for MX2020 MX2010 and MX960",2023-06-16,,tgz,3372067812,1ea63b6fcf0501a6c469aa99b5f38b5d,2244a80d7d00e5a43ca0b6b3b2b0a1ec7b06c7f2,d1cf9026fa44f8008e5f0f161891c4fee4bc6cdc1488c861d1f69c35e3b3514e,939e9c9bb8f4f4ed3228dabf6f567c8d17fb56d0a99501cbf7073c95169d80d80eadf565724cbdc3b054cd60cc1c284694382d8a99f0966210e95b775d7caf32
"Junos Node Slicing - Guest Network Function",22.4R1,"GNF for MX2020 MX2010 and MX960",2022-12-22,,tgz,3008708707,2a3f79fb5714c9fe2fbfa40f7297da2e,1c5b323afdb5db48ec6cc2b951f857f3a538ec41,a30609cbddf7cfa9d56f609d392340cea03e02971649a17a632435637e711107,8ada88b7a6a968fb6702aaae7f52784732bfed4f4a16dda635bd4bf75c14911d17ee2e78d5422d6962d0843482060c5a177c130ba4c176f7580744871790f359
"Junos Node Slicing - Guest Network Function",22.4R2,"GNF for MX2020 MX2010 and MX960",2023-06-09,,tgz,3024653884,8e8ff139c380f67cc2e618b18ae97185,a51f498f84d1fc66354deae7a8fff0f3ec28bad9,d410d7c9a43c60c3c7d4f2b114a8018aebaecefe70a6c34b2baa8f9d2d23f474,d650c718658941b9a3132ded39f353ea8ea2910f357897447cf6771ee098d8ae4c55135c823a4eae5994af327771e2a5d528b6c8396ddf5f2d0cdf216798dab1
"Junos Node Slicing - Guest Network Function",22.4R3,"GNF for MX2020 MX2010 and MX960",2024-02-13,,tgz,3033258818,3359b2704c6d1f4e6221a2fbf7618396,0da2b2686fa134bcb2c7417af80a034e05ad6c63,1fab62e362439a16029c2a576bf39419b56c56a5806a317c3dcb63cc773a7414,32584b4df9f9a4907f00aab83549ffdeb21decffd9973f5c6f392853b460d29012cd38bd9a0a98159b3c304e3fc79aca172d232bf7ea96a005ddfb5e3b4d37da
"Junos Node Slicing - Guest Network Function",23.2R1,"GNF for MX2020 MX2010 and MX960",2023-06-23,,tgz,3024099002,48554601ebdff1ed1e10879f6654651e,fc8b8ec4d78259278c6d3808f2a2e67c5f2a9d28,eb4a8d19ff9978b59ed97cd80b664c8035765460a05e536e27aa1f16343aa0c4,9da4adb8fd498a84e07d67b83b00f7848f2a3cc439efd2448414be20565ce44941569d784dbf96dec65a6af4cae003b7bb2d0ac096ca26f0c5fbc23c3ba3ba82
"Junos Node Slicing - Guest Network Function",23.2R2,"GNF for MX2020 MX2010 and MX960",2024-03-29,,tgz,2968657219,7ae2fa53a025b6f2851fb9539899e123,a8f4c7b8e4541bee2db34fa007c0e0d258ce4a30,457125138a12702b422538967bb5729ff12ca598dd6a24db919f666615eb92d2,bab6e34790b6972487455e963f5137760b9235bd724603c7b54bbfe88e46ac338e666b8f1dfa41e04ee377474799cc0a26fcc995c555e76ad33e3ea511aa6771
"Junos Node Slicing - Guest Network Function",23.4R1,"GNF for MX2020 MX2010 and MX960",2023-12-25,,tgz,3111344444,8fddb8db5d87e6710077be9eccd85cc2,e8dc61bbebd12dafac4cb8f248e358222d42ce5c,0643ed44499e82eb7e42e388071486f019f266474e33e575b2b98feebaac75b5,3e0afb69a2715ff59baf9145d247dbe15d539a75b9ba25d0a20e3f14400d3754625ad93c10a7933d6b3d10187b16a86511b65edaed3e62f0649dbd3d7ed5058c
