OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos Node Slicing - Junos Device Manager",21.2R1,"JDM for Redhat",2021-06-29,,rpm,241069913,983f048640c0c6319d810fb8e6a29f4c,0aaa30923312b9b9b3250cb8055369254fe18092,99e2be0d78c0dcc68e2c1ac085f9d42156ab809b9aeefc9714ed3f95c74393b6,a5ff4c11a1073a1ced2376d287130f3b70bdbe1cf0383666c1916aa81ca3fff45d053a49f104cdc9b8b57d4ddc19994f2754f7e417ca8ef0ef3c64d5251a7b7b
"Junos Node Slicing - Junos Device Manager",21.2R1,"JDM for Ubunto",2021-06-29,,deb,239851892,85082783801230f064d6e30ae7af5da5,44665a9b36f4438993f19c5957cdbef906c09f79,1ffa625f983888fd916354fb4e0d5653db9a03fc1749e4c72f76df37589c2a30,4765175d95adce18b75da04e31d05dc8cda86f6b14f08fde1032d0acaf79270015a27943263f0bfd2d5e34bab9f11ae67a236a62d49a8a3ef930d6b2a83e21db
"Junos Node Slicing - Junos Device Manager",21.2R1,"JDM for VMHOST",2021-06-29,,rpm,237718942,0deb293bbd912d0dd6e385a17f27f5aa,e6f753f9bb52ac26d5a8f53beba1be25c1d7e783,77a194f697d50d6b2c6ace7049c69e96427a95288adf294201323afe4b3e24fd,ef24afb05a1d11e1b8c837cfeb7da6dfc869f917e7bde887c24265fc3b8d69eb9deafdafc6e14868199c4a39f42bae1b1551a34fe853c7133e53424aedae7800
"Junos Node Slicing - Junos Device Manager",21.2R2,"JDM for Redhat",2021-11-16,,rpm,240506264,d78fe4db2542790bfc37308c933de555,0d1e23b7f6409e58f14a4038660a3ca10369174f,3db32bc4c97a1bf77e7e8e6ff717f43b528589e07cb286e002474906e308d925,23caf97efc23822b96f4e71954d2ca9921e4a3ddc231a3e23fcf772c59578e86282f1f9686ef80e088ab706fa7a04274fbbe4cbd66cea75e72c2a373d1bdc582
"Junos Node Slicing - Junos Device Manager",21.2R2,"JDM for Ubunto",2021-11-16,,deb,239289304,c7a9a16a05c74afb6ffd71ba45de0e11,5e56705737fbe45c1101d744823e36dacd70893a,dad2cee8e82082314e9593de2d772c5603822029a201019093fe4ee8c03a4bc7,58fdf106c71c406c8b7d6d45662d57cbf0f7db6e45cf3de9c5995487cbb05e19c7d0f2e7b7a9d45e8c304edbddc07ca759b59e702a40bce672ac55bb69edf4a2
"Junos Node Slicing - Junos Device Manager",21.2R2,"JDM for VMHOST",2021-11-16,,rpm,237125920,239ab9d40d94eea1d3d28a10f31c645c,d94018da8cba3e82d1f3717c133e8af6f0495a8b,c49339933f6ea258860eca9ae92e1b25baeed3dbac041b03146afc439a8e95e4,f930e0b221a5547a20fc124fa53c70daa513302908c07205d2fa609b4c4ad444c3698d719fadcbe7bfd5399e26a690402a17fdf1b7b3a2c35c935cec91bc1d7d
"Junos Node Slicing - Junos Device Manager",21.2R3,"JDM for Redhat",2022-03-29,,rpm,240579626,57e5236548ff20c40062c908979e58c0,a8620dd99fec5baa2c3dd3aaf625dc50bd3086e3,6ba337b3b06060c2478c06bae33a33f3b7f746dbcb9caa018efb7f821fcb3448,5c77e49bd0c292e18e60fdf2d5270f59ed1acb7ae0fbb12638cf3807518dc255c8847ad544970dce9ea25308e9b580d20bd9763fffdcd2a247a29508c72004e6
"Junos Node Slicing - Junos Device Manager",21.2R3,"JDM for Ubunto",2022-03-29,,deb,239370032,926c106b56d83f58dc9d771b2ac0cb8c,c1876289ab6c1b14d8ac150b9cd1a2c0308eaa60,3e1f00a1077f930c5ff9c43d83b0848ee5d0f268a9d1d097fef7358e923bd604,403f1d86a76aae7f0474c51e41139c953b3f1be83f71288b7743a45ff71c445a0a62de0076f49e2f4d0454c0369381fcb0bdb2d32bbfc2e81e5a0b1cef43073b
"Junos Node Slicing - Junos Device Manager",21.2R3,"JDM for VMHOST",2022-03-29,,rpm,237117720,0ab94678fc2f551465becdbad9c1cddb,669c8829002b2506a7e88f3f01bf9f3675024ba2,a8a4259a92793af4c61bbe33764073c48f34fbf9ef81286a14b51100b776ef76,0ae4b87c05bea3989918eff80261995eb42d318e18299c5e3f3d7d4465f3fc80358d642237b0812d2b6f7e6a7db210c38550ff265ad89564cc29191f9582c060
"Junos Node Slicing - Junos Device Manager",21.4R1,"JDM for Redhat",2021-12-21,,rpm,240630753,4446d66f5b1ca6d0ea3908caec9af895,4c14e4d628579dba541978c2a6bf2c963efb957d,7d8a3497e5ecddb75daf4bec8ad6229baf619e89f328d2f7a123b183012208e4,b9a8ba403e806b920fe8090055831a020f797fa2eba9c24fb0467b3b7b4b652ddc1a454bb7cfd77104e6d73c2bfb824bae5141f84795388f6bc69917afa94329
