OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos SR",12.3R12-S10,"EX2200 Series",2018-08-03,,tgz,100210885,3a694e1097da819a074e436a55bb3ea0,5b6ae380a1abe772e4922a933ac3f725b2d5208a,70e121475d5172c09a615662e50c8928e6e3538277340fe4877b0ce257e31f8f,ef0a111fc6c0b2b39f75714323d096f0aa156154001449c46dba05a4d56342098a089546ddc9b13927a220382e967501861e588fee5292631b36ceff692d16b9
"Junos SR",12.3R12-S10,EX3200,2018-08-03,,tgz,112549745,0039a5b23a695471b453a8bb2e3b59ff,73708b2f052e5ec80bc8ea6fb81a5c824959145d,9602700b0545e3f094f0f661f19169f585e86b55be7833348125db1b52971fb5,69ed8d77dd8558f656f0dc2b66563893a07125f0741884460d04e2154e3936675f9c97899ea9f1ffd7cf5ef9cf79a44bae43aa58ef0c5afa4f3db2efca85bb6d
"Junos SR",12.3R12-S10,EX3300,2018-08-03,jinstall-ex-3300-12.3r12-s10-domestic-signed.tgz,tgz,100335943,0504a29bbdb7dd4368018aa6a9866e7e,d476932e964bdb27c973ca0cd2deb2dd3fbc3dea,f57b5c121336b780266dca125a81273d31339bffd4be29a8acec747913e9baea,53085049802689a639a908af315bc52f17dc70f5b45de78b9e1ab62afddb85b67509a22734b65dbd89a0c4cb3dea1c41817ec5bc36fc0ae0e859f280748da046
"Junos SR",12.3R12-S10,EX4200,2018-08-03,,tgz,112549555,bfee96de3b06dc5cc1f3cf14ca58ec1f,060e2915760a773bc726f5584322085423dc942a,8ca921cf47c8150409a225626adaa2c8d4d6de22f5e528dcef41b6d93319778c,0589a1c06cf101882a34075e0403f03b636c8d1c5f0355831e391815730c8d0eeca3c7c4d83ce519f1a2412b2f22ec775af98c4488c16b4fc50a9c2f53176ae4
"Junos SR",12.3R12-S10,"EX4500 Series",2018-08-03,,tgz,112871747,42731f9ddd9a6d67707cd40ed78b31fb,11112d622815d4454be4022f0fb0dda2ff97af0a,45ed9e6ff52468ee1760f6ede06de7110306058f0914b3d56445a9b4120bc67e,ef82c2065a0f2eb94a8415fa8df240f75a316f8cd2bf75f75341622dbec1ec7b583a14191817be73c318870776b7262d18cd6e6d7ddf10e6c1270e09ed50ba06
"Junos SR",12.3R12-S10,"EX6200 Series",2018-08-03,,tgz,136302956,0630cc34e10b05ce15385bab315d057b,050a9b4abb44b0c597440a83311ab78a0210e3c9,4f8c353f60f5658595a1f7e669a359f6772f94a5330f62189903e5b128925ccf,0feb50af5f970ba206fd2f00d6e1d6f945178d54130bbe1208e27b4e32d4a170d15d3c9efaf02e884c62bd6c3e8b0f7c5d5bffca99b3618301c42b3fe0f9c757
"Junos SR",12.3R12-S10,EX8200,2018-08-03,,tgz,130088815,dbe77ec26a87bba9280686c1f401f571,86aabd77d79435361a10b3353e902b69ab1179b6,0197927e33c37ba2e2e49b5c0ce3c968858b195ef6d1babcfe9fe98b13cf2bac,3005bec46be72c44e6d5ec5f5729f4396d71579d3e68eb907f0e9b30c504fa6423ec99b2960560ec2ffbeac34ca9f7bcaac970e7a8488689530fbf6f5ad6f28d
"Junos SR",12.3R12-S10,"Enterprise MIBs EX package",2018-08-03,,tgz,1058075,013b4c6753393b39daaa51f53ab51008,3434c5c626163ccbe5a57ec20c7353be385d1325,792ca8e2387da0392ca6fa5532c4f3ee31a392e185a24817719c180633dc21e7,762976345749d25d19e23314d27953af53ca21f2e8c6cfc8b55ddeb9dc5b497e2e2d8eadefcc6bcca6c42f8b1d07a5561ebf615bc1d2ff4dc58f91e2dd3d779e
"Junos SR",12.3R12-S10,"Error Messages EX Package",2018-08-03,,tgz,210621,3e89a24a6f90402d780bdacf867b92ab,a57a990258d95c2b91c5998db5bdff4029145469,8111ca1468b82e9f899c79bfe2da1743649e9781169ec1704c878cefc3daa0aa,179e2c16a4cb92f1e05050da09fc63abe825760e86870f51633b175d537cdf60187501a386225143e45fb8637fcae2c697ab9f57aae66e167cb10384ce817adb
"Junos SR",12.3R12-S10,"J-Web User Interface EX Package",2018-08-03,,tgz,10447607,3e3a0a55c7b594e75158ed051b7c94d4,388229c9f52b1b17df5246fb1b47f9bfc585b7c4,b7798177e1e96d3ab31de2d2aa46353412a1b84a45a62e776618697281519269,72b17546c477da4f3e10c56d0b93875e5043477fa91023b3d265dc70fedf2164aa05dcd3c4989382308c87bdf90472778e00b65ee2f725457c29da557992a969
"Junos SR",12.3R12-S10,"USB for XRE200",2018-08-03,,tgz,300970387,ae8f6500d772c9775669286962bd1de1,94d25067b2b3f7d7b71d559a3123a3e4d7e3c6d0,14220e85b2593db4cd15c32e4c18630d950866ec743d643b5ad8841921e73154,66cfac5a964bb8893d3ca0b10fcff5c13c4045d706e8e0711b0a688f407bd80f07840fb74bd606eaef513bb1787c60293e5bc2911aa59378b4c8fc448e7d836d
"Junos SR",12.3R12-S11,"EX2200 Series",2018-10-03,,tgz,100211952,62eeb48de297aad11a271d7dac4b1dce,d40739864caef07279fc19d15085d1af0098cb12,de3b0db1d8c7804f0e327c1a794e2552045082bd10f53864a73667a56c10fdea,c761353bb680e64dd6ed32d928f1c4e25bcbf263ee4598550421a75467286b7aa6036acc806f58c7316b8b236c448783d75398403d93a7547791fbe5e5d8f508
"Junos SR",12.3R12-S11,EX3200,2018-10-03,,tgz,112545187,49be9dd324cceca635a7ad02604ceeec,abd0895caa539465b5677bd0638aafddeedbf55e,899a6049fad30545ac6a4ec6865fddf2bfafeddae412cf3f0ce89199d9817c31,f9f8dc26e1fb1efcca02e5f6dc910ac8d7a00fd65645ee0ac314e7e09741ce04925314db58c640af6eb81b56bef8320d4fc952103227986bbda33add306eaff9
"Junos SR",12.3R12-S11,EX3300,2018-10-03,,tgz,100335382,60c17ac4906a3d48626ef465a1ccf647,0a0cc261df1f6c12f77cf9b43c8bfd122a326473,2e30f1ee49391edb7dc3a8d44e6247b4dcf74d2ebd100c192d66f9dd7479642c,97b3e08d331c397e68cd20d1f6cbeddc08ae2cc07b1adcd339d95718477c04f05621cf27505263d3bf97d84758ec48e1d0edffcbf92db34fdad8d310fd38caa1
