OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos Space",1.0R1,"Image for Virtual Appliance",2009-10-28,,gz,630009907,b734c0b6b806aff6fd1d34c7fb6a1ea7,0ee777a51ca799c82a03362ce7e33fbdf59fa147,,
"Junos Space",1.1R1,"Image for Virtual Appliance",2009-12-15,,gz,632384450,0a8bff5988d97287815c8d5587f99198,da941c133cfc5f61c5e49eff34dcfc16dc0977dc,,
"Junos Space",1.1R1,"Junos Space Upgrade",2010-04-09,,img,76375277,870d427d25fa321b5b81236614db401b,9984272a4edd997fbf3cc2e09d03c42c2806ec4c,,
"Junos Space",1.2R1,"Image for Virtual Appliance",2010-04-09,,gz,703226630,e1dc71f3813223a00c40f56e4b62561f,44241f5f7699fee1da781b95fc9219ed94da1157,,
"Junos Space",1.2R1,"Junos Space Upgrade",2010-04-09,,img,149336751,9a11ac90fa94fe42b072a0539be7190f,ccc0a944a28c8c48b5c2d297a2242a69025cedca,,
"Junos Space",1.3R1,"Image for Virtual Appliance",2010-06-10,,gz,788521232,b37d8d8bcec221d63b7594b809c68cfa,0bf722ccfd10527c5613e2c00b793cd953b61ae8,,
"Junos Space",1.3R1,"Junos Space Upgrade",2010-06-10,,img,233309560,634bb0bdfd6f92097090540fff80e152,f0a507474c86c179de3c213c9083c8b240e57485,,
"Junos Space",1.3R1,"Security Design",2010-11-15,,img,108207621,547762e7bc58b529121d55130b34013b,3ff4ba3ba6f63a2ac54fc8c1ae82af7d8595e84b,,
"Junos Space",1.4R1,"Ethernet Design",2010-08-19,,img,7494171,97ffbd6aefd9147c20514c3b8fc4ad06,d8f0e67a55449920c1ed91fc905d7b5408dfab3c,,
"Junos Space",1.4R1,"Image for Virtual Appliance",2010-08-19,,gz,765903957,67c0d9b1981589b20d63aa1e8869e207,800e2a3450ba1b51333f979f3d5eea119e781eba,,
"Junos Space",1.4R1,"Junos Space Upgrade",2010-08-19,,img,212400394,df9a4cf1787f3e65f7fca5cce99b40de,cd3b6eb4f40fa2a91b60233660f086c462d4d75f,,
"Junos Space",1.4R1,"Network Activate",2010-08-19,,img,11745141,1aa3bc1a921861643b1ac317a9eedef6,57cf5442ae21dd5082ccece13db7d1cc8bca1fb1,,
"Junos Space",1.4R1,"Security Design",2010-11-15,,img,109200516,ed31025409107194480e9d50ed599251,b6a27c1fd4da8460bbab6eed49de37971022b47b,,
"Junos Space",1.4R1,"Virtual Control",2010-09-28,,img,17815470,9ee70c54c18837e9248b23c26641146e,a10b6dec74abff5dd64742172e5468cb0119b358,,
"Junos Space",11.1,"Junos Space Bash Security Update",2014-10-02,,zip,1865092,f77224e329712e4c37dc68a97ef67ed3,e9f8d35724aca8728606d661ae51781dc41408fa,,
"Junos Space",11.1R1,"Ethernet Design",2011-02-15,,img,12485418,a93ec07b7724c5cd4508a59ce9d95195,237e6aea4cc2af7037b55c86fdf212aa4479aac7,,
"Junos Space",11.1R1,"Image for Virtual Appliance",2011-02-15,,gz,850039507,e0effa4c5d93d9cd731983c3fc743fc1,67029fad7431f205b405f827590d57fba27cb8cc,,
"Junos Space",11.1R1,"Image for hardware Appliance",2011-02-15,,img,1993342976,d735ad6a1a5967da7d7aa925e840f5da,4a258e73dee74b7f0ce46804638811fde1742e11,,
"Junos Space",11.1R1,"Junos Space Upgrade",2011-02-15,,img,248994677,1083af3243a923dbf62ed221ba622121,a9030b28d203cfb6ccd8b415473f8e735ac9589b,,
"Junos Space",11.1R1,"Network Activate",2011-02-15,,img,23861130,8a6aae0ec7ad7dac005372866441052c,68d5f3596c59d549887d2bb7eb7b1b2c7b4e2b78,,
"Junos Space",11.1R1,"QoS Design",2011-02-15,,img,11878037,366fc5127bfc2bf9407269d7470df7aa,3dc7b85d703e559e16b97ae9c721b8ae300b8ddd,,
"Junos Space",11.1R1,"Security Design",2011-02-15,,img,115291753,bc69734d86398345bc680868674da7e9,0c078186bb68ea3d17e8be78e5d41850924f7554,,
"Junos Space",11.1R1,"Service Now mibs",2011-03-14,,html,3556,b9acea75b149fdca2996786fe04e96f8,ff1ba5e6742c7016d453907d1cb370e248697ef7,,
"Junos Space",11.1R1,"Virtual Control",2011-02-15,,img,30707806,9b1eeedd32e9a75c75b81907ad74c976,07b8cb7b3db506f54cce27525139d15dd3cf3e4a,,
