OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos XML API",14.1R1,"Operational Response DTDs",2014-06-07,,gz,240680,827f4826606b875f90aa1346ced12dbe,7d829e626d778646bc6b81423dc00028e63c7ab5,,
"Junos XML API",14.1R1,"XML Schema for Configuration Data",2014-06-07,,gz,3119813,7eeff80ecba0ee23bba4f20fceacfbd0,1fb12a6c459a8b9bf14b39f23a7c1f62e61d7e87,,
"Junos XML API",14.1R1,"XML Schema for Operational Data",2014-06-07,,gz,617871,7030e25e31447d9d1f83f58b29807808,ca14c014355365fd6a01372834e0dc70a6a3084d,,
"Junos XML API",14.1R2,"Operational Response DTDs",2014-08-06,,gz,241542,41ad30567812a6fcf97491413485d604,786d85167355d98182da39406c911d1debf52654,,
"Junos XML API",14.1R2,"XML Schema for Configuration Data",2014-08-06,,gz,3128896,e700470b61ba44422e3bf4bf64f6cfc5,c5884099431392d229c318b0e66d3f1f941c46d6,,
"Junos XML API",14.1R2,"XML Schema for Operational Data",2014-08-06,,gz,620432,75ee0fdc89f34508f16da4a134453654,96fe5b72cd8c394c51ef1e65bebfc71358d20a90,,
"Junos XML API",16.2B1,"Operational Response DTDs",2016-10-06,,gz,331933,c8bfbc4795b46d7f87ea6971c77a5daa,e8c8a24a73e627b8613776b506969752938b8a14,,
"Junos XML API",21.2R1,"Operational Response DTDs XML API",2021-06-29,,gz,567479,a3fc225f1ed4bec061ccfeb9bdc0a55a,28f0a374815477fd1117ce333bc137af775ab673,03427c6968d338d1ce14b9815bcff7f3b01fc6e67ac1c0ef2163f1907edb3929,77519eed3c01f2e07eef70978a23fb9870824073eab7e8f89f1f92d49e325c490f53fbfb8b5d97fa6d7358117c7d4dad74bc085092eaf27a802d16c6777b6f14
"Junos XML API",21.2R1,"XML Schema for Configurator Data",2021-06-29,,gz,8961073,155677f150c8968ee12b821ec124a144,882f2f9c79149b72e3244365d264e138968a8208,416f17b5e01354bd025c2aa594a7f8db27ba89412afa3bbacc3d4edc2bd547f1,6a5edc48c2c11d05d30a77982ea9ece95758ee11fe2160f91d8533a32285d845f994a545578777dd11de34f55c9ee7eae402678ff01992d98535bea0dccf64ca
"Junos XML API",21.2R1,"XML Schema for Operational Data",2021-06-29,,gz,1668024,0ce0b7b68677465c5b73b705862c7497,07b00246cdda87ebd119cc0721e8cc019ed18d41,f0192e76ff0f5e5ffc55125bcf8498269a9d013ed0165e5d0b0a50a53a1a7c7a,fd420ca1af38dd496c461c0f8ca240ab8b4872f9f11851f877ea9387a54f27cfc4ebdd080d0028b33058cd99232fd1a709c9ccf1281893aa0a30c474fd67b588
"Junos XML API",21.2R2,"Operational Response DTDs XML API",2021-11-16,,gz,569280,16a1001d21a4b2a36be6e6b2be0510a4,c9303ecf700ce9523c21a8f93ac2a1d8e353f1ea,318008a2ad7a6bdde8a3e744d48aa6321540dbf4089db603323b00a885aee200,4f3876aaf58f133edb5d61ac378712cbbced0561bd524fde5f94655bac0d634a905db599218157568701d8d28631fc38aa6604c97aa686b78fb03202cccdb7f1
"Junos XML API",21.2R2,"XML Schema for Configurator Data",2021-11-16,,gz,8965438,27e04d03be4c02e0f4ff3417e40f04ca,51a3106f7070637170299a251bf68563a1cb1b20,ab05b8d8fb6f7c190e3a5b663a57a7db38e81db48d1f6ff47bae624b85af9ff9,18514fa5e5d2c0bf280d8e202b0260ce4de117388b39615a170ac8a831509f5796048867a0c140cde264344b1ad0adf9fc1dcc71f5cba1c20ef0f84982c1ea42
"Junos XML API",21.2R2,"XML Schema for Operational Data",2021-11-16,,gz,1669860,c260fcc6f20fcb3de1f0be84c952472c,966a254b22ca75a05f0f7aafe1d2a825e77744ba,920ddd81a5510a2f2178bff04a99ae2fcb9f5cef50074178065963062c673d99,b0c553b053860f5a4f3c648c974ebc4bceefb6e731c491579db9e8b5f313c302cb9e203fae4078e99efb9ece76acb59407a64cf26c7816ac211773f870d3c9fb
"Junos XML API",21.2R3,"Operational Response DTDs XML API",2022-03-29,,gz,568183,cc588c906a646166ed418849a39360a4,936f09257c7d2ebefdf307426a6f9abee554ad87,ddde413144412121b6d116da44b9de57d610e8b0ad469dcd420ca2751949a0fe,cd9e9dd4d1877527e4cd32c9a2417b2669c91edae0c5e7a6c530407900de416826754fc3d225a8408d85eae4806a262ff17977df4aa0f393d39343bb6284060c
"Junos XML API",21.2R3,"XML Schema for Configurator Data",2022-03-29,,gz,8965064,70ba7b46a937a28f28d0c3bd0031aa19,f7408f645d63a5cd42389b0163079c1a5dfa0434,3e48ca31477036252b98d47abbec34d791819cb0fe9dc3cb6e334e08e3b3e2be,249dbb87a4f5ec760b8e22c492d1c3f2d4e76a4693dd96c169d8387941aefbe7b1a57889001c451731501ef11f939a976f036000f5b8a4bf059e229208900b1c
