OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos XML Management Protocol (Junoscript)",14.1R1,"Junos XML protocol Perl client.   Packages supporting ssl, ssh, clear-text & telnet",2014-06-07,,gz,134092,084e351676ad40d28e7958777ced9fd6,a40a64e86d2edc9b28d14128fb2a449fbc4fa853,,
"Junos XML Management Protocol (Junoscript)",14.1R2,"Junos XML protocol Perl client.   Packages supporting ssl, ssh, clear-text & telnet",2014-08-06,,gz,133819,711782a83d4516a24eb3d5ff6d79956c,d872b0d525066d0daee706b53e008668749c110e,,
"Junos XML Management Protocol (Junoscript)",15.1F3,"Junos XML protocol Perl client prerequisites. Packages supporting ssl ssh clear-text & telnet Feature Velocity",2015-10-29,,gz,13713841,8ba2be10064d2b823cc1889735230bc4,7ced2450acedaae29949fbe1d8fba7b9c94b87fc,,
"Junos XML Management Protocol (Junoscript)",15.1F3,"Junos XML protocol Perl client. Packages supporting ssl ssh clear-text & telnet Feature Velocity",2015-10-29,,gz,138819,02e6ef89b60bfb3ba5db38fd6b372d1a,dd4ac55d14d7abae266f80a8a9abfb2dff3add76,,
"Junos XML Management Protocol (Junoscript)",15.1R7.9,"Junos XML protocol Perl client Packages supporting Clear-Text & Telnet Only",2018-10-05,,gz,130695,8a4c2c385eb4be178ebb924fb12aaa7d,23a36d4bdaa0a28364420668be2d22447eb1cb1c,3546bef86bb9e8fd70171d842f02b6aa8d10d0facdd0a0ac99ba365c51b86a18,9d88eca1388310b40e53790c507e787e82f22888ea974ac51da5fa4ff174a532ab7cd4543cea2acb855625fcf769947a631736d6f73148767038ff43c4e34357
"Junos XML Management Protocol (Junoscript)",15.1R7.9,"Junos XML protocol Perl client Packages supporting ssl ssh Clear-Text & Telnet",2018-10-05,,gz,136545,dd1dbca6eebe240207101e14d5ebdc60,fd960be10ee6bc607e128b42cf6792bb602521f7,2029aa132f8e008740f87d626585ec8e13bc2d3528691d10b56663b6c8167d46,de88da286ca623e5647dd344e0be3752da0088982e16453e2535cc70293e188ab232f35a0631528d9c43562b147a2634d2d649a98a2e5cac44632fbaff353a55
"Junos XML Management Protocol (Junoscript)",15.1R7.9,"Junos XML protocol Perl client prerequisites Packages supporting Clear-Text & Telnet Only",2018-10-05,,gz,7009531,b197c4941fdc9e941bedb6486eb4f132,8727f96657a1f46343c3b3ac64babec1cccb865d,17bc239ae2bd14ccfda9eebf4d8f15ac0ca60b2edc3e5f5b95ff13165d5fa1f6,aa1fb46befe2e35e9b650e3bd0ac94489a8a51629aafa5a7744fae69b5c833c79937cfb173a4ad8e6cc00f77fe5d3ae9c87cc9bbbaf24553f73787f6c45163c7
"Junos XML Management Protocol (Junoscript)",15.1R7.9,"Junos XML protocol Perl client prerequisites Packages supporting ssl ssh Clear-Text & Telnet",2018-10-05,,gz,13713859,359156d81d7fb919487906350707b8d3,9a29b33841460bb568e60d70a8d0a88c9cd9c04c,8b98a4eafe4f06251349e994696ba95613a0acf70d0b43f3911714bda80f49d5,f2fe42c1740046f341e07816eb64590637efd55174e07296f8bff68f04bccd19f5697d3bde047ef608eacdf7c4fa56fdb6997bc50116c6394323a6904583e3a6
"Junos XML Management Protocol (Junoscript)",21.2R1,"JUNOS XML protocol Perl client Packages supporting clear-text telnet only",2021-06-29,,gz,197857,76be8e8d3061706a1f291595b36c212f,f3a942ed50f3703b9ece0502247ef29db421c53e,2613eff4c52cb8fb0f5ff46d6f5d921fd8f9da8d327b5685717134dd86e1ea1a,203e0218efccd587b5abb8716c3bfe4be6d6a820c23918bd643b9382934d84b04b3aa1018b7b4079c30c5f69c3484e5af1e182a12a85e5cbc491e535d3f558fc
"Junos XML Management Protocol (Junoscript)",21.2R1,"JUNOS XML protocol Perl client prerequisites Packages supporting clear-texttelnet only",2021-06-29,,gz,5286957,b0018851b50d6dd75b05fce2dec504af,97b6f85cd0b71ed817b2c65d6fbbcbff335eb3df,5df0e77885178da69db4adef3f567981460f325fd94e4b8ed447ccb682d6cb4a,bc10c1960791ab28c1d5a15e89e5ed2da5e5a4755b9acddb965226d745fd07f90ba8e0e591f7d354a4efad382d211cedc9bdce868448c00d40639c6fc0689b27
"Junos XML Management Protocol (Junoscript)",21.2R2,"JUNOS XML protocol Perl client Packages supporting clear-text telnet only",2021-11-16,,gz,198766,b5352de8d92476738897b81fde9b9f48,e968feb37ba2b12240e0284caf483ab9ddb25910,ee22b31cf446ee2873b3b86b10da5520a9e9f9112acc93502416ca2861b04530,25d5a1ff92e5d23e598cf32686b3bfe43f15ea6b3d48a4e3eb1eb793c86c3dec59186b81c8c5f3e9b158fa54d0b8eab50fc6c6774160afa97823b402814dd914
"Junos XML Management Protocol (Junoscript)",21.2R2,"JUNOS XML protocol Perl client prerequisites Packages supporting clear-texttelnet only",2021-11-16,,gz,5286955,b57a71f48e25e3354a1f178903a82f9b,0c6440d4fdb8d4a4ad25de981c7d87eaf96e804a,c36f426907269cdd2f7905a87ff5163bae829446adab4c89cee98fd5e811b92f,2ac003ad0c02ac1a6cadece078040d6178d1680072b2f16c385e9d65e46ee10863d90e707030db60a351268a812e7182dba8fadc8f0866d202ff74ea18de4a6e
"Junos XML Management Protocol (Junoscript)",21.2R3,"JUNOS XML protocol Perl client Packages supporting clear-text telnet only",2022-03-29,,gz,200811,d807b5e4a7de9c6ab3cd18c9821e442a,570f1aa7f08694f794b46f4743de5a7d9a3e4b96,3b6f9d3530df72eb3d83bd7e26b0c6f6080792fd8de4afadbe766398bf73e4b0,19c440aaad37419887e7e606f6c78cf86cc9e98ef9a55bf62767ca0a1a8ec1b9aa198a00b5cef4617987bd4f01c599f55e0bfd922df7ed81e408d9d0e3b4ff7d
"Junos XML Management Protocol (Junoscript)",21.2R3,"JUNOS XML protocol Perl client prerequisites Packages supporting clear-texttelnet only",2022-03-29,,gz,5286955,b842797a78f2706d7815cf080902ed91,9b835508a7481bba6ca731c5c64e50cb96dda93d,29af895c2793aa3437504887c2fb46b4fd2207106694f3a9ef162e38c73cedca,b0ea6b99f57177c4877c01e8d3b8df557f6158031a6ecc22cac4f25b35e1f134246730fae8bcbbe08d34ce4a27142e77fdc8e42ba384382bf0fb0f0199350a8d
"Junos XML Management Protocol (Junoscript)",21.4R1,"JUNOS XML protocol Perl client Packages supporting clear-text telnet only",2021-12-20,,gz,222068,cc7cf5bd75137f9175262debdcb99a3c,05cf7fab9a714f9be291866575d4a40423035998,d1e93407f01341dbd2880ae04251d20eb5951769df95db0b2b868ce957f52c0d,c68607a905d7f45e27ea6f5b7466da444bb85f2560dd11f893e25a1c7b99bbf7f13c348231dc56e24b1fdfa0a046442887f58772ec60a2ebc370f710a5f0bad4
"Junos XML Management Protocol (Junoscript)",21.4R1,"JUNOS XML protocol Perl client prerequisites Packages supporting clear-texttelnet only",2021-12-20,,gz,5286954,6226ecb4af2bbe7dd29b4a337a2cc738,045d202930e1f24b338b0a3ede84ac814ccd6c76,631655c898cd3bd6b6a84b48970f0a156137023bc4e27ab7295e57018457a13e,2943ad3acb9437441058bac464ed4512bf16b15ce717b8d525331d55e703f46e64f8779cca9706759d8b0134f50e6a38c06a471b721f7a38ee05dfbb555a89b9
"Junos XML Management Protocol (Junoscript)",21.4R2,"JUNOS XML protocol Perl client Packages supporting clear-text telnet only",2022-05-27,,gz,223189,668684c93a0472247d30fda8c8f4b5a7,f3187c267241fff2ae59d0421209b87a5952f077,eee250f71e2414a0b19735d08358fe861cff670e7eeee6b394e7fa0dd11e1d02,87361ca5fbc43f85005bd65bce8c0766aad7106634c01de8c91eb7cb080da7d44750c571a75969629071cb4542f29615cc468eeb8cab70d40ea5806caca95886
"Junos XML Management Protocol (Junoscript)",21.4R2,"JUNOS XML protocol Perl client prerequisites Packages supporting clear-texttelnet only",2022-05-27,,gz,5286957,8bead1b8b31981bacf3e38671db6f1ad,2b76973357be0fe3f88636eb108d64f417e5fe2d,2c673c8a7c6c1b1368a27ea4dd7adb73f1b2e2248de990bc044a4a88cb7b42c2,2d76c8a05742ff51b1452ca33b31dcc56b3b59892b58223dc0ac597a7e1950de6e11f3288394719b139970eb935e166c6e6c5b10c3a827a410c81168a55b00f8
"Junos XML Management Protocol (Junoscript)",21.4R3,"JUNOS XML protocol Perl client Packages supporting clear-text telnet only",2022-09-08,,gz,220597,baa0976e30e9cfe15eb1c3e24e62186f,0a137a64426fdd143bf7cf7ff96ccff0c3a0f24b,43f84d32c207096262790cd32c3095b815bc294e8bfe309d020631932f38f5a0,a9fb0ebf59ad8e7f7e985b79759debf52d4185133b607853d36af12be49727a8699be6ebbbc6930fc4c6261c4ee49bdcbbe54a5e92a2a413b88060b62cc8e8b4
"Junos XML Management Protocol (Junoscript)",21.4R3,"JUNOS XML protocol Perl client prerequisites Packages supporting clear-texttelnet only",2022-09-08,,gz,5286953,51c7b85c563e0407206e5ee10698a71c,4d3b1b0f0c44fef48902ea7351ddd894fd9c7a23,72185f4db90d851fa0b608a52f2926bef8a5309195c8651efc5030e20907290f,2e379530be3bec9ad12004d32a39010aa83b6796610b0f01197735b0bb3c7db4d225e252c4866881fdb16a5749e6560c3f69cca4dd7cd889ab37e200e4e53a32
