OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Junos on White Box",21.2R1,"Class II Installer ONIE - Signed",2021-06-29,,bin,1406895268,8c15900743c03d15d261fbc6e8ec401e,5753b30741c643f6a848e0f1721960f53f2d9d23,4c1bc4459d7c4dba2daee284baccbb3056038a23533b48854ff143a54a4a4c24,c3f706eff294e15056e95bfc5b652cad8ed13f4dd9a9176da3360cf224d912e294d1484d419883e062c8b9cc40df62df0d286c2084c6a5551f99d85b9ad3eeb7
"Junos on White Box",21.2R2,"Class II Installer ONIE - Signed",2021-11-16,,bin,1408113828,a945f3e9f7a0a6501e80b2f63f6b8f32,4fa1cb727f0f3d2212eb84a9299b462db16541a6,51e87f714be89a19793cd348236cfba8a4d28b155eca33d55e65a316031f0abf,ea9abb7ef39f8cef50bbb6a75394d82b3cebfb47b87fd7d90f962271227798c9ea4ba696dd6f121b07d01f0cb6bcdb1bf631f8901a7a0a58f6b9581af1a09fd5
"Junos on White Box",21.2R3,"Class II Installer ONIE - Signed",2022-03-29,,bin,1410069668,8a67136ae09ba106d398568048ffa51b,82ce9b94f39279f22f352c87347d2071fad7d4d1,7b73792e6d7b1b3d194fbd3a5435a1783df2ff1593aa7619150b6dc57dad2070,97e16bbdc3d562ba803b5d6fc9751a18a4032563bf2b9e86bb6b774dd138c862ca4973794d1522385c83db4c36eb2902871a3d9796f999c480145e24e7ff33c7
"Junos on White Box",21.4R1,"Class II Installer ONIE - Signed",2021-12-20,,bin,1431594148,886116d5170e422fca403b88bbd1c8ee,b6b618047595215cbc6504b141c47f54fdff4a11,1bbb6c23941c7ff2587e7692e876e066b0a406c75075a325be319b4c2e4d6785,022eb2ee040a13ca79794c762f450c94e17df095acda0fc931b80a897afea758101586f7601eaa3e9506a3c9dcb458f4d9309e26350203f8c6d4bc35bdd34e93
"Junos on White Box",21.4R2,"Class II Installer ONIE - Signed",2022-05-27,,bin,1452729508,3a7a0816c56a52991c15881b4decbfa1,e417bf907b11277191efebd812c45d5f3f71048b,ca42cf29ad7e7cb9d3276a61603d5a1b3eae15fd67477373a9988f557df63eb3,9652a0eb9b87e462fb49af8984c58c0d9c964e40aafb149d4f4664b230ed0a0db6295c205318972e5a72cfd8b4fcae53307796cff14cb4ddf4daa5a03a0d1289
"Junos on White Box",21.4R3,"Class II Installer ONIE - Signed",2022-09-08,,bin,1453169828,6611d6173094adaa0ff6f0cc496cb880,2f018ca08f37adb8eeae62c2f5d2cce20de2e9f3,31ab4c2fba74049cb1b8a02a9e424ae6a834d62d381774120c7db34f6be5c527,ec49cf392813973b1eb3d49267da2c20d417b1c66d44b8b5cd9e0c5d7a753d5332b6926b0c657c35c2bdc73bf6a7601aa4f084d37c2837fbb9653d7307ad5304
"Junos on White Box",22.1R1,"Class II Installer ONIE - Signed",2022-03-24,,bin,1468120228,97859a85b708b8d006e7d91948f9b220,4e280865b5a5f0c3b441b6a9d1bb86661148b180,4ef8ce0ddf304961519842cff03426bf14da48a41bfc648cd3b2ea5777385b7e,db8ec23360b480dd250178067cd7c99ae95d3d1fbd77a0e7cbfa351b9179c783aca536305af36deb897987b101a6fdb24b0078a7e2fda754bbd5536e7ece6487
"Junos on White Box",22.1R2,"Class II Installer ONIE - Signed",2022-08-16,,bin,1474479268,40b557a417882ab054a45e9f5486275e,ee2a001f623585fe39555a8378b6f1ad5eb7ed19,8c67a1e1a74f32348e62a66af06a26cd10e3eb46a84355a8a3f975568689813e,95b72c161c7ecba8e597ac74390d7c8c39c06a2a23bc8abcc45a4b22705bfeeeed9b081493d313269dd95c911dc9be0f1ae66a59ffeb3486f40e4dcfbad4ceca
"Junos on White Box",22.1R3,"Class II Installer ONIE - Signed",2022-12-02,,bin,1477459108,50528d77b46ab7b397bfdb4e2f7b7168,201d23bb9814d34fa008e15b381cf730ab20ad37,82ddc411bc73372d97ff23c7341853ebfb3bba940f11855ead6663717f0355a1,d4d06d0c19e5c08afc4761f738b5d353a533f5191de952518fff0f3c3900b8412639da10660e246f4521c1ff51bc62de7c5953bdd8f69a2f29022c7991d79b4e
"Junos on White Box",22.2R1,"Class II Installer ONIE - Signed",2022-06-23,,bin,1499802788,6e9048cf916332b59ac1a0e2eb815f6e,83ae5e7c77c2d7cc0a57b26f0020a08b243cf863,9e2aaabe42ba9a52e38181243cb0fbdd09058ce96e795e3b3220a5451bc395ae,1eac587165312d4a606a15d09628db67ee2cdcc9b50fc2ef80d719520909f33508730baffce36034b5618eb9a6a0980c6a35c25cd3db83d239b7b54f25b82bd7
"Junos on White Box",22.2R2,"Class II Installer ONIE - Signed",2022-11-09,,bin,1525187748,78b52cf61ae0feb61a9c549c020afd32,be33a1d498a1c8bfe00624cc39c163d4fdad2094,43b1fb82181d83a0e3205f709faab93c592266eed8afdc29e407141826f7bfd0,5bf76c457e58f9a078c4c172d59091d5778dd58775c22a4896dced1c37e3fe77d20fdb1f5a9d62875ad3096c810afd2fdb2a22af0e9db2691d6783a8dae12cbd
"Junos on White Box",22.2R3,"Class II Installer ONIE - Signed",2023-03-28,,bin,1615975588,62acfc42ef6e83118091f8cef951358e,6e01b04ea6353fa85519d1c7d28b64c93b9131d9,7923896246bb8a35b1a4370419f53a4dedd62856b5e2af4a4c8f223a9d0effcf,68f37bf7fcced60da1828aff9b6dbf8d61cbf97b0242af4d9183b37d3e3f3b4940646e689075daed4cf82957363dcd07945eed371560eca322df236495728375
"Junos on White Box",22.3R1,"Class II Installer ONIE - Signed",2022-09-27,,bin,1512397988,da7f08f0f80843d281c52038470050b1,373cb7538fbeb22e459340025aa9649c14a62d54,3581a538a2839026443bde50f828bb3e400d25a4338711d4348052bd5983e136,c21c6c241288feb3723ed85278d81521aeb8469319fe2fad51b0f98690c1f455e6be737449be12f724753c98c98bfbf9e653dfe7220593f3d986736f5429e642
"Junos on White Box",22.3R2,"Class II Installer ONIE - Signed",2023-03-02,,bin,1595526308,3a6c993800a1ed7c95a07e8e866c61a0,563068afb8a0535b66ac654b4edc770d8d6acf90,96b395d97e6be7b7a9852a6930a095f76fe79d56cbb4c2ad733d8c6066019881,460e1e0f8a5bada0442fe677f66cfbf89b0468b7216be96f2fea20e988e7d15a924f2df756b1cec0b3ebb83fe5a480063f011e38ddac80721381b01b70484e55
"Junos on White Box",22.3R3,"Class II Installer ONIE - Signed",2023-06-15,,bin,1608746148,468e99af60732855a8c1bca73b51a68f,d081350f79fda60cc948dd0fe3e2778fa988b6f2,067436ab4c611c962c42c003707d5f2a64c4520304a88420ba8a61c1fd1b437c,36ca6c442f0718b8d45beb4536fc8e2fc76dcbbe2a7eeb818c98fe378f9213307094f5605cdf7be246398ef20363c471463f4d5fca7c577bb571900b2ae73eec
"Junos on White Box",22.4R1,"Class II Installer ONIE - Signed",2022-12-22,,bin,1636895908,f59d864e922a901ad52990b412b503d6,7a70a3bfbe8dc671cfc80e1b0ba32c8df5ff2075,acce5101d1404c4eb35bb6fafe679f973d164e4da6bdef2f25bd27d4aa9ffd13,a10f4d7c4205db81957efcc58de8607c74f715a3cfcb8c45daecc4b0406daec5ec8795a156194e6e009203086a436d86d4479b67d553185a3420ddee0462aabe
"Junos on White Box",22.4R2,"Class II Installer ONIE - Signed",2023-06-09,,bin,1651651748,fc249cabd13bb45923545f8cb3c77da1,6c8495c079cd974596b3340f42285d518ce2d84d,aaafcae2595792d92fcf92f9eb3034506e369353dd789ae1ef356d091941805c,788bd5dd575a6708073c95fea147c6605f2fe1ebff2aa150066beeda0ea67dc86889ab2ce931d89ed587d421d296e8bac19d27546c68f077505134b88834dd76
"Junos on White Box",22.4R3,"Class II Installer ONIE - Signed",2024-02-13,,bin,1659966628,8b4a39d55b67931ef3d4c29b842d0651,f8a966f90c3ffbba1deecf5a1cc808dab62ba772,60450b08b4a0866fa0d3200c8e5933c7eaa852b0608ab7135f3f8de4316bdbe2,f3d0854472953f672124a619035b1ea5eb18b2696842e3e616c763f2c6880362548b3f6f8dccdd377c467a338585e454c9da4ed8c3988bd1313799717e24d6ab
"Junos on White Box",23.2R1,"Class II Installer ONIE - Signed",2023-06-23,,bin,1665967268,416f70c5c69cbfc417894a1e9e8f6ec3,ba7da107db62f4193ad84837b690219c51fc6031,60266e72b3b3ff4fb4acd11772eb2a11fad8ca2fb1bacd40b9bdbbcc5d92acd4,881227e24af01338a838c762d3c10346a25912ec22ef483908f7ae97b5228c1d6c1c2d5919e8140a376fad612dd5df709619a9632386b791ae09c4558384617a
"Junos on White Box",23.2R2,"Class II Installer ONIE - Signed",2024-03-29,,bin,1623891108,62f2643284342c44a690019f998a4976,f13c6a735bcbf197c6bb4432ab2fe40f14341fbe,f039cb50d1bdef1368d6da98476c81951609d2840fedf7101b01e8d585338160,bd0f88d8d2e50a3ecc3e644e8e7bbfb7dbff482c1e5d9af3140802391cbcf3597dd1dd28d9952852b0c09236fd07b013724138adfdfcf31cb3e889a448743d89
"Junos on White Box",23.4R1,"Class II Installer ONIE - Signed",2023-12-25,,bin,1743371428,0b7b2a6fbe7de1e5d5c801239945ada3,766ecf48b82b78b6a469acfc812ba3634e609aba,e5d0cbf20273b5253d9f38b36c69ad1b48dd93efdf47cab632696bf92779333d,d8f724a0810926dca275065dd7329c5010ad71564a18b89a82e3648d75ac9b0d5bed3bbee3b7ed3b242ff8bf54871dc66501766827e71d5d0a47506666beaebe
"Junos on White Box",23.4R2,"Class II Installer ONIE - Signed",2024-07-10,,bin,1687082148,31d212b1ef8218ca6cd5e41a9fe68810,c7a2d7c1266679d71c8002bd0d67da9236f09f96,836b3be0402a3b85f5c4cd189b117b15f75fff2d13bb0b55f99b986ebacdcd65,75d26ce544d32e8ba89819a40af07a2dfb34bfc1ad9d54e9e31247d88713e76a26f9f72296b7f36f7e340d6bb1865e91e6773fb0f8b67fd23bacebf4522f3b2a
"Junos on White Box",24.2R1,"Class II Installer ONIE - Signed",2024-07-19,,bin,1654088868,bfba3152e1e4df0c66f58f064f6b7473,0afba1796dfac943cd4144c48960bb7acdcc6fb2,48b59837e96770349789378762d130c71350e145ca4371997546ea3d6a08423e,f490e4c3a97ae13ee8bb617a2c9dc2063196054550e4d8f5f9d030e1ebbd5f31f52ac814314211b9c83b6dc809f0c4050728dc2b3a858b50c13d92de97030609
"Junos on White Box",24.2R2,"Class II Installer ONIE - Signed",2025-03-01,,bin,1650607268,c79248c76b1f4ebc2fc52046d73ed207,d3409ee883034323eb32658e401ede68af0a3eee,23defe97c999fdc284aae5400d992aac28479f1adf01d89671f4c399c24ba68b,52456473b5faaacea843e194a74053a720fb27067580ba322d260588bc71ccdebaf559e2ec5d2a867b9260601e6ef4869f09a5b4abab023f93671b0bb850addc
"Junos on White Box",24.4R1,"Class II Installer ONIE - Signed",2024-12-29,,bin,1694250148,5e6b7a789aa4d253f13fabe20b2eba86,2118028b625b76d567e7b2b3034086eea593f377,96ddf5ee544a353e87e49632905d06c307ec94503b885e9132dbcce98ac17697,560be40f0b68cab0612671ff063b4f646014b682f51978ca9d10c7eb56768a30f305aac61eae9b02010720856651545c1395505c6e04a52adf8bb864aa4017fe
