OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
Junos,1.33,"Firmware for QFX",2018-07-13,,firm,279824,15f588874381dc236456b3e4f509ab9b,2ffc41724a951f727f699bd5a29a9b8fdcb3264f,982a3be86785788cfb0a6b1eed16f8baeb8f076e7abe510fd1da1d5300497119,2db880530f2edd6b2f2f12dbdf6836c29de1c20b0522986f12cfc99552943796a9ee1634cbcd6eeddfe8b097bab30b67ab9a861d309a87f71cb61d6539dcd56f
Junos,12.1X44-D10,"Branch SRX Series",2013-01-15,,tgz,146666451,a0498a83c2676f6946ad24ff67f326fc,9820de9de6296092899d28188a8ea0bf69618ddc,,
Junos,12.1X44-D10,"J Series",2013-01-17,,tgz,210704351,10ccdbd8fc22f29a3179badae96af311,38a57ca2dfb13d0e3e8a2f7cd30cf29d885ea33e,,
Junos,12.1X44-D10,LN1000-V,2013-01-15,,tgz,126678476,4249d72e2238b2ca613e1cc4bb955701,13cba5d886b107ab23c1ecfedddd45b0b14c7cc0,,
Junos,12.1X44-D10,"SRX 1000/3000 Series",2013-01-15,,tgz,267479100,3e017b44f5d55dfbae1c091b8fc61e02,dd3eda957110a1822dd3866b29e17ec1af3fab34,,
Junos,12.1X44-D10,"SRX 1000/3000 Series",2013-01-15,,,294590464,9a347bb92c8df569f01081795ff56679,8b9b77aea6b326c57038db6b70096a54dc6d21e8,,
Junos,12.1X44-D10,"SRX5000 Series",2013-01-15,,tgz,366049675,eb0d181037dc3bbccde26ccdb6ef7c13,bcd1bfc79310244eb045d406872e55a3b7c302d8,,
Junos,12.1X44-D10,"SRX5000 Series",2013-01-15,,,392603648,071840c945c41781a411341b4fcc8c72,b76fa3c87cc854cebec4356ef0e7da745818a61d,,
Junos,12.1X44-D10,"Worldwide - J Series",2013-01-15,,tgz,210599816,90246c8bf18f25983919123bd016f6c6,7de5d598c33db9c308df67d837eaddb936e822ea,,
Junos,12.1X46-D10,"Branch SRX Series",2013-12-19,,tgz,154901579,10cb8be8ad9fcf322f7b8cfe16dd1ff1,39efe02d49873200f39d632d1eaeb276aa9cb55b,,
