OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Mobility Exchange",7.0.14.1,"MSS Version 7.0 (MR10) for MIBS",2011-05-12,mx070141.mibs.zip,zip,101290,23a825be1ddaa03d7e161d2e4e264ba2,7c32b3503fd8e2f2ed3c08e632612ac2f8511cb5,,
"Mobility Exchange",7.0.14.1,"MSS Version 7.0 (MR10) for MX-20",2011-05-12,mx070141.020.zip,zip,9640230,777cd40d7e76b84323a93358198cec72,dde425ee5403a5ad3deb30298116573f9f147579,,
"Mobility Exchange",7.0.14.1,"MSS Version 7.0 (MR10) for MX-200",2011-05-12,mx070141.200.zip,zip,10199281,65c4e62fc2edbc61ece4ccb1f5c1ec8e,9aca8019d3b643bdfa8f4a46d4f5be1ed22f11df,,
"Mobility Exchange",7.0.14.1,"MSS Version 7.0 (MR10) for MX-216",2011-05-12,mx070141.216.zip,zip,10199281,7b391454ab1f28621f944fc45965c9c0,9d412218e2ef4f140b5fb54cb01e06097e84404b,,
"Mobility Exchange",7.0.14.1,"MSS Version 7.0 (MR10) for MX-2800",2011-05-12,mx070141.280.zip,zip,15869510,365f0da97a01d11cbf60b26da057d970,67ef8330e93b2ce9d652c5ee9632e49f8ac13232,,
"Mobility Exchange",7.0.14.1,"MSS Version 7.0 (MR10) for MX-400",2011-05-12,mx070141.04c.zip,zip,9626602,5a81978e6173020b67145ef23989d0eb,b40c39eae806c990d07da4c0fa7eeef2ad0db6e5,,
"Mobility Exchange",7.0.14.1,"MSS Version 7.0 (MR10) for MX-8",2011-05-12,mx070141.008.zip,zip,11083520,96f28ae96adfb5af52d9ce801767213e,840aba1fb76d7b539cb78c6468e5ccadac245a20,,
"Mobility Exchange",7.0.14.1,"MSS Version 7.0 (MR10) for MXR-2",2011-05-12,mx070141.002.zip,zip,10002174,f15a864f167919a73eb7c5cbb6be90c5,34335e6a1d1f5b2b5cd91640ae1433570bf5e6d3,,
"Mobility Exchange",7.1.5.4,"MSS Version 7.1 (MR1) for MIBS",2011-05-12,mx07154.mibs.zip,zip,152295,26992e3fc8fb61a550a1a58ba124aa00,44c39ee9abe7c038ed37731bb173c6a4bf1c0910,,
"Mobility Exchange",7.1.5.4,"MSS Version 7.1 (MR1) for MX-200",2011-05-12,mx07154.200.zip,zip,11172466,146c256e1e2ef17c26e70cdc4b7797e6,8de3073cf2c51c20a12e910a347f6dfcfb04f85a,,
"Mobility Exchange",7.1.5.4,"MSS Version 7.1 (MR1) for MX-216",2011-05-12,mx07154.216.zip,zip,11172318,4fbb40da7a3163c5257fac048c3edabc,036ecb61998bb5bdebdd73290cbdd85ff3757cc2,,
"Mobility Exchange",7.1.5.4,"MSS Version 7.1 (MR1) for MX-2800",2011-05-12,mx07154.280.zip,zip,18587825,3da9cf32a3c7000fadd2944c79ae214a,7825ca8caa44c3b00a476a38446a670822983481,,
"Mobility Exchange",7.1.5.4,"MSS Version 7.1 (MR1) for MX-400",2011-05-12,mx07154.04c.zip,zip,10266177,ecb021f9d567f6c132ba31db43b8205b,4661b23e506c7fed027939842ba6e52b7e8d28b6,,
"Mobility Exchange",7.1.5.4,"MSS Version 7.1 (MR1) for MX-8",2011-05-12,mx07154.008.zip,zip,11837914,1594ea471b64f79f68a4771c67c649e7,f56ebea7a438a22f7ec1b2d50e35284442808f86,,
"Mobility Exchange",7.1.5.4,"MSS Version 7.1 (MR1) for MXR-2",2011-05-12,mx07154.002.zip,zip,10685181,30c5e35592f8f250b35e13cf96e67be8,cc48925ef7c5f8f45a166a3cd1e536d0675589f0,,
"Mobility Exchange",7.1.6.3,"MSS Version 7.1 (MR3) for MIBS",2011-05-12,mx07163.mibs.zip,zip,152295,9599fadcc86575b874a35acfaecd6ef2,568dd2a50f3094fab9544b0c21a5b92a09564173,,
"Mobility Exchange",7.1.6.3,"MSS Version 7.1 (MR3) for MX-200",2011-05-12,mx07163.200.zip,zip,11359291,0ee814a13810941f196fbafa40c699da,4eb9424b1ad11e81d1cdb32202781a0182c6cf08,,
"Mobility Exchange",7.1.6.3,"MSS Version 7.1 (MR3) for MX-216",2011-05-12,mx07163.216.zip,zip,11359469,0a64b9dd458e41aaf60b0e6a5dec4781,867b6d8b50906e6e86b3814c64ad3f1a695f56f6,,
"Mobility Exchange",7.1.6.3,"MSS Version 7.1 (MR3) for MX-2800",2011-05-12,mx07163.280.zip,zip,18794926,d45f92e7851f98e50e5580ea282d3744,7829dda2e36a12cc35f648ccfb6e16490abe4d26,,
"Mobility Exchange",7.1.6.3,"MSS Version 7.1 (MR3) for MX-400",2011-05-12,mx07163.04c.zip,zip,10446715,7492baaf731107debdecba45fbd8e701,70fb3734edfe0cf74be38b40d73377a758198e97,,
"Mobility Exchange",7.1.6.3,"MSS Version 7.1 (MR3) for MX-8",2011-05-12,mx07163.008.zip,zip,12026728,f11a0e77c470b8c5873a5c0e17eadfd5,dd101744d569ac14021ee9a6adfaac8db88b8e2b,,
"Mobility Exchange",7.1.6.3,"MSS Version 7.1 (MR3) for MXR-2",2011-05-12,mx07163.002.zip,zip,10866605,38551acdacd8c040686e32627be3fe8c,e82c26bb7b801f841b6d8e7f1dad18bfebc24468,,
"Mobility Exchange",7.1.7.2,"MSS Version 7.1 (MR4) MIBS",2011-05-11,mx07172.mibs.zip,zip,74932,043d99f8dddd941a71181336a56b5591,7e5499d088e5966632f5fba10d4761afe2613a04,,
