OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Network Director",1.0R1,"Network Director",2013-03-27,,img,54866160,a22c5c206b1bd5b7a15e73385ba9a22b,8f3e5f4afbfc7068f999a8d87429b3245b3813d1,,
"Network Director",1.1R1,"Network Director",2013-07-25,,img,56032186,03d600aa8caee0e8015f3c8e4fbf9209,22166c3ef51a3b87e80ca8e0e84d2a4525fec388,,
"Network Director",1.5R1,"Network Director",2013-10-15,,img,92777123,fe44f28d42353212612d47a9be750094,434e21f24c6e2dc35076dd8ad3e1b82bd8322fa5,,
"Network Director",1.5R1,"Network Director API",2013-10-17,,img,13222376,9c3abbe92508ae8a7e091f96791f1e31,6d4d30125ddb1e681fd1eec8419b62fa9ada4c9b,,
"Network Director",1.5R1,"Network Director API Reference",2013-10-17,,zip,159978,aa0e3391bb55e1f57a8cd589618595a3,4b0a42987e930d07b4f43579c04c71d9e54aefc3,,
"Network Director",1.5R1,"Network Director API Sample Scripts",2013-10-17,,zip,37829,adcedd22f0c9009867d719fc3e44d1ee,9e67a6563b55a16cd684bae62c9cd0c81d90d295,,
"Network Director",1.5R1,"Virtual Control Cleanup Script for Network Director",2013-10-14,,tgz,964,93764448f71563180e5f3d4af6694df2,1a4f03fc24cf4471fa3ac38679993c98f07004ac,,
"Network Director",1.6R1,"Analytics Engine",2014-06-30,,rpm,98074227,decf6adf85e400266de2a1ffce56bd4e,26b6abe2f1d2d45d9e1b112d4abf46a3ad8528bd,,
"Network Director",1.6R1,"MSS Schema Files",2014-06-27,,tgz,849860,3e77e1b9f32ce9b55c403c78ffab17ec,147bc35528c0a42ee5e6f7a58994f6eae2fe08ad,,
"Network Director",1.6R1,"Network Director and API",2014-06-27,,img,207355813,0b6a344ebbeb0a503cd15c47e1225685,9d02b19d5b4b68f658aba32d39486c850ece0f3b,,
"Network Director",1.6R2,"Analytics Engine",2014-09-22,,rpm,105157802,bf171607419e428b984befc9b264d891,4a62763567b52e471539467c473cb167b5b88fa8,,
"Network Director",1.6R2,"MSS Schema Files",2014-09-22,,tgz,849864,27588363a72e25e54d89977588c6265a,27a3d7a80e5c348a255e396dd83b412c52d77e37,,
"Network Director",1.6R2,"Network Director and API",2014-09-21,,img,217618732,c946a61b345f2734a511101c874d44f2,ddd37f3117397763528663794b0a0485bc61fe47,,
