OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Network and Security Manager",1.0.0,schema-repo-r310,2015-01-12,,tgz,82044129,,,,
"Network and Security Manager",1.0.0,schema-repo-r312,2015-02-10,,tgz,82961915,,,,
"Network and Security Manager",1.0.0,schema-repo-r314,2015-03-04,,tgz,84039613,,,,
"Network and Security Manager",1.0.0,schema-repo-r315,2015-04-09,,tgz,85956324,,,,
"Network and Security Manager",1.0.0,schema-repo-r316,2015-04-13,,tgz,86226301,,,,
"Network and Security Manager",1.0.0,schema-repo-r317,2015-06-08,,tgz,85902942,,,,
"Network and Security Manager",1.0.0,schema-repo-r319,2015-08-18,,tgz,87639815,,,,
"Network and Security Manager",1.0.0,schema-repo-r320,2015-09-01,,tgz,88296211,,,,
"Network and Security Manager",1.0.0,schema-repo-r321,2015-10-05,,tgz,88869695,,,,
"Network and Security Manager",1.0.0,schema-repo-r323,2015-10-05,,tgz,88931239,,,,
"Network and Security Manager",1.0.0,schema-repo-r324,2015-11-10,,tgz,90984082,,,,
"Network and Security Manager",1.0.0,schema-repo-r326,2016-02-23,,tgz,93345699,,,,
"Network and Security Manager",1.0.0,schema-repo-r327,2016-02-22,,tgz,93581001,,,,
"Network and Security Manager",1.0.0,schema-repo-r328,2016-03-08,,tgz,95640020,,,,
"Network and Security Manager",1.0.0,schema-repo-r329,2016-03-18,,tgz,97868935,,,,
"Network and Security Manager",1.0.0,schema-repo-r330,2016-05-12,,tgz,99414337,,,,
"Network and Security Manager",1.0.0,schema-repo-r331,2016-06-10,,tgz,100523290,,,,
"Network and Security Manager",1.0.0,schema-repo-r336,2016-08-10,,tgz,103283252,,,,
"Network and Security Manager",1.0.0,schema-repo-r338,2016-09-06,,tgz,103683295,,,,
"Network and Security Manager",1.0.0,schema-repo-r339,2016-09-20,,tgz,104302699,,,,
"Network and Security Manager",1.0.0,schema-repo-r340,2016-09-21,,tgz,103925277,,,,
"Network and Security Manager",1.0.0,schema-repo-r344,2016-12-21,,tgz,109190794,,,,
"Network and Security Manager",1.0.0,schema-repo-r345,2017-02-16,,tgz,110890862,,,,
"Network and Security Manager",1.0.0,schema-repo-r346,2017-03-13,,tgz,112469619,,,,
"Network and Security Manager",1.0.0,schema-repo-r347,2017-11-03,,tgz,117855933,7bcc3c3a648018920787ded3bbef46ec,2ba27481ad712c2ea852904bb66cdbb8c0e261db,,
"Network and Security Manager",1.0.0,schema-repo-r350,2017-11-03,,tgz,124149567,542ff6e0a1467048ab2c0ef0e3bf4339,8bd03ad476ed2cf0ffce30f82c1e80a7e3336dcd,,
"Network and Security Manager",1.0.0,schema-repo-r352,2018-03-21,,tgz,126304178,5e4c90e5199dca50fb53c3e9a7dfdbd3,86e07573dca0f3a385c9eabde549cb45c904d87c,ccc9887e21a98c9891ba89635074345708c5bdd232a220feaec93586414cbaf4,1deb8f9a98e34695b48cc4bfecdc6e153af550ba6e054063020ef60f835d147c7fbbd4bc8d2ce03cb42b9d38c1f6bf9de6426aa93508a2298ae1b350228e6e37
"Network and Security Manager",1.0.0,schema-repo-r353,2018-03-21,,tgz,128453541,a41bc51dd4ae9afc935663ad6899e24f,d9a4a41319ae24c192ac83c4646f758279237bc3,af27a6f159334e214dd401e1c27b1ff4ffcf173809956da36e18825ba9e91d90,a6151fdfba730455f407b5e045ce93c8d39173087858cebeb4543891b48561bf16190c9acc892afc967540dfcc7614812e5a0ffb7d0092b3c52e63fbe52338a9
"Network and Security Manager",1.0.0,schema-repo-r354,2018-03-21,,tgz,128453350,8649c41774083cc0418896eb4e192624,c999e7ca841f9b9caf4e7e30c00a99765c6dd837,280386e0cdcc211e93638f7a0e5e88b0602b76f7a060b6d3faee1fb0fd68633f,493607d3bc414a7de35e0b63b0c7ef80603322c4d4bfcc7352b5f104bb8f4ca84f130ee554e4ace6d21b650c380214a17664a71dfe4e3039713ccaed7da050d2
"Network and Security Manager",2012.2,"CentOS Upgrade and Update Recovery Partition Script_v1",2013-05-28,,sh,7093,fef61f87b509a098d5f4f4d5a43404cd,,,
"Network and Security Manager",2012.2,"License Patch for NSM 4000",2014-10-20,,jar,2747,3aaa845857eb133eb8f56230627db2c3,46cc7fbcb45ed1d339f37273478b49df8dcef113,,
"Network and Security Manager",2012.2,"NSM Appliance Generic Offline Upgrade Package_v1 - CentOS 4.x",2013-07-08,,zip,511670546,f41e8d129c2c96bd593dea10baceec3b,08fa5998d7f8c24de2dba047a6b57d04a9f9d621,,
"Network and Security Manager",2012.2,"NSM Appliance Generic Offline Upgrade Package_v1 - CentOS 5.x",2013-07-08,,zip,570126288,e92ada379905cb99bd4f18068306e31c,e321455e2ee256a7a32e3d93dc4acd3c3f8930fb,,
"Network and Security Manager",2012.2,"NSM Appliance Generic Offline Upgrade Package_v1 - CentOS 6.x",2016-02-11,,zip,474675090,d0ce469327e21da563f7e54f6a5f4e05,32ddadc25f0536c467fa607a96827bcb841f593b,,
"Network and Security Manager",2012.2,"NSM Appliance Generic Offline Upgrade Package_v2 - CentOS 4.x",2013-11-18,,zip,528284656,8feaa3d7ad8147b0672c887c334d2b6f,7bf514cba07d46c21167cf701c4231542be9640b,,
"Network and Security Manager",2012.2,"NSM Appliance Generic Offline Upgrade Package_v2 - CentOS 5.x",2013-11-18,,zip,587769698,f9a5790d21f84333d06952da2207e730,d113bb5d87b5ba9ee7ce717455eac1b934ec9c01,,
"Network and Security Manager",2012.2,"NSM Appliance Generic Offline Upgrade Package_v2 - CentOS 6.x",2016-02-15,,zip,544270305,94e434cec7fccc603e01d8c883f51ea1,1ef92f049205ef2da19573b8de10dba09492fb3b,,
"Network and Security Manager",2012.2,"NSM Appliance Generic Offline Upgrade Package_v3 - CentOS 5.x",2014-09-29,,zip,590550810,24e218906228611891793c35a0341155,344927f9b70306b459fa54496cf64faa50382a75,,
