OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Paragon Active Assurance",4.2.0,"Control Center",2023-07-31,,gz,646123181,20ff6a4c21c6b369de4124daf8a30844,6009c94052cc74f35ddcce70f378f9344baed172,22e5ace72169c6a3a4163409ab7ea02cd0cfe9eae8b0566b8e8f5083718eb63c,5a36ee12b10ded31fd0a00d1540eca5194424fd040053b6a1c0e25b6e8efb6704066d0f5def85e9d00f715ae2d45a28f4ef317a9d62510c747eeb51c7a35f1c4
"Paragon Active Assurance",4.2.0,"Netconf Yang API",2023-07-10,,gz,11022208,f9206900b23b610d8533d673b0381f67,fdcb60109f630215b7459552be3294c1e8a82e35,fb3e8baff6f3069188d78acda9333e73f1eeb50f56c888343f9c5c061b01c1e1,b3ea0b72d1b91dab3d649dd9b5a0d2cfeaf66da5e88e3f16ea1234db8eb9a4ebec3cb7fbe7982cb28d56b12eee0c9a17efb5e70d6cd76c477927c0a749979520
"Paragon Active Assurance",4.2.0,"Test Agent - Docker Tar ball (amd64)",2023-07-10,,gz,54073315,9ad6dffb8f3bfbc93a58b303d7d6e0a0,f1cfeeb57413875f8e9d431afcf09e63aba6c733,7433945fc093c521c4682c95615b6a28e1fa7bd4016a581d2efb2cf53ce53eb9,9e8a18375ee45772595bdd646af614cceaf171d28c415f1d5e434c7fddb04e8ae948127fa33b77e0d82794f6b4e4a513e31de51de779b61eb33f2093a2b924f9
"Paragon Active Assurance",4.2.0,"Test Agent - Docker Tar ball (arm64)",2023-07-10,,gz,48383763,f38d802477cce6a672085824e9866884,7113a4fe559977847a417406cb918aa53382f2e7,e6331bf8cb1ad18dcdca3e8df3a0578c50b952f6ff57f101dc0184bfbcb53b4f,fe258a70f0d7874b30e2dbcb70d7dee8f5ab49303a7858d914093cf90f2d8e78d243c71e3727fac8a9de18e777370c31ccdfee6644af110fcd4407da5a224562
"Paragon Active Assurance",4.2.0,"Test Agent - Docker Tar ball (armhf)",2023-07-10,,gz,44966132,45ef5ceaf6c6bbf78760be8bd165a482,fc3e731aaf7620d082256cf24af3d29ab3bde759,1819fe270df3a897b04739537340030875df6f97d49c13766a230c17ce6f17b2,e1ad9c828379d88134300f6cb5acf2d2e73e4f2336705ffea44a123c3d43f6624ebf8a58296c46e8f77636e8a8332d598657ed4724677b12cb72361ba0667e4b
"Paragon Active Assurance",4.2.0,"Test Agent Appliance",2023-07-10,,deb,1479614248,edd32cce76ccd19e263868546d0af434,c35c3c83c3dfe8fb48d4eb31afda94dab662a8c7,7d0e6cbaf4558f634c9cf99940c0992baa6545e0546e4b2aa979c7b42154b06f,610e474e5ac614b8e55ebf21de25f01b000478deeaf10c3525e69961201cad09d69a3841b75b2fd4c2cd581c5f3f983591548289f2b7cf3afc8a02a2c9b57f2c
"Paragon Active Assurance",4.2.0,"Test Agent Application",2023-07-10,,deb,152589940,52aaa6be844e746964d717c1224e4d86,367c3237028c566459d2afb4e968242196322c9e,fcb8d4865317f301c12f84ff12be57cee24e8dd6cba97213acd90ed5e18bfb48,30ad9c5daa1dc69931292f958424fca6beb76a73a5c95858fb8a8dd7c7ea55850cebf8eb49a67fe164d34dcd6e9509de8b0d794a29bd4042e2ecb836102993b9
"Paragon Active Assurance",4.2.0,"Test Agent Application (amd64)",2023-07-10,,gz,6573151,f8d6d2314f5ac522a8ea66b84cd946ee,83ab2cc68d95353eaa0f0e16c06c58889e5579ad,cd8b5166325bf95d2efdf1986f84458863b0a006d272943de82c790ab5cc9b1c,66b40790c7a146da1b6f594a1107b87ca1115c57423eb2698de515298802f0dd79ec09b68d779ac2c3b91996b2c80e0e9821b7e8b66d3559866182d07c2da413
"Paragon Active Assurance",4.2.0,"Test Agent Application (arm64)",2023-07-10,,gz,704083,151de0869c672c8bb3698c0597e5fa46,e388b3e790df59f2c15c3738d3fa4469e1cde2b9,9dccffd43c5c57b0e7e585b9da3f1c7013abed394fccd2d27483e59779f2fb5c,717697191c5fbee0d1a28fcba3633e427a99308d019c92499b054c1f47e6ae6b655a9d48ed582f6a9b5c42bd17ac197961dc5d0aa6552c0fad7fc4515ea6e066
"Paragon Active Assurance",4.2.0,"Test Agent Application (armhf)",2023-07-10,,gz,611193,7f0b2413051b674d9e45e0773820d253,a36984b4e82e2d409ddf6cfdfc14e7fb54433e3f,1fb37cfbc0bb015fbb4d4e3631d56e1c910fce1f8cf823a8b0d3d6cc5907dab9,9c080b1cae9505a8e0a8b8080b7d50a0aa6b478a0fb5bb50795155da1ebc9ae3f94792be2313dd34108ab5471c34f74f2750c24b73cb0925025a2c1ff5bb41cf
"Paragon Active Assurance",4.2.0,"Test Agent Plugins",2023-07-10,,deb,635088056,849f8becf982721331ce324b5c95a0f3,f45f0047fd3a6e458ef65e408c9f78bf0f99b13b,726c121210596b41cf564e537d303bbf323f0d365c13b0a2c43b7a488c7e05ec,d27a6f7f3e8c5bdd6fcc11bcb87bf90a86fd14b1f9e60fce36d8de5b5ae01ecdc660bd46d76aaea5b6f1ac45764948944dc464b5b0cc2cca9ab8afec57748771
"Paragon Active Assurance",4.2.1,"Control Center",2024-04-05,,gz,646155254,1d8f2fcc30a991d5b10b303e78765a3b,ad351ff5a87735e76fcfdd2c6d9627b498858cd1,1e24453104a7cfec1f57c957112573cb9021ab6fbc4e352081594f2d1c50679d,90161b0c285e4319d6ebf4ae1ba663fbc28856d0d47fd93299439445f3f785e17fa9e0ea5a7aaa3accc5d0854caecc25f06094dfeca0d67a3427fb3cea1b57cc
"Paragon Active Assurance",4.2.1,"Netconf Yang API",2024-04-05,,gz,11022293,82244d56e9cf5caea7cca92fb0bec75c,d2739518a667b0edb54f6fad0f42b272698c912e,5ca566aacb3bd98290dc7a5444779a687f0d88d4b29e622566261ef2568a8644,ddf660a67d9a72aad7aaeafe30794cd8963f37778eff4caade4d005db258d67dac01865ba3365a0cd63683ef254df5bfad590a1ee8e5db5cb1f6dd5c638ac548
"Paragon Active Assurance",4.2.1,"Test Agent - Docker Tar ball (amd64)",2023-11-21,,gz,54096874,40e976342b409f076810de5267b341d9,5112738dbd23d776791a6739f49761b678f82d5d,ab4126067c4053b060d352ed3f635dbddd43adb260852757df224a652c90c4b4,1b3af9d81edd3264bd9a31441567f38c0c1f332b47f0667f3e797417312559a6e39a67ee4c621548a6f8052237fd90be0bbc2744cc13b146f4fae87a3eb462a5
"Paragon Active Assurance",4.2.1,"Test Agent - Docker Tar ball (arm64)",2023-11-21,,gz,48411351,4cf059f2f44decb88052301c7c5b136e,1d0c8f69cac172c14d8a5ac41d5f098514204109,fa4453bf9d498c3f0e545e9dc58f328abbb50587a08ec5ec0c5bbacc672b3ec1,d24f87c038d910eeff3a595b7d2ddf678c0e690fae1fd7429e1384e715a2baf4d7a03304da429d131a8ae94c85d775cc6412d1653d90d9466988e75d806a04ef
"Paragon Active Assurance",4.2.1,"Test Agent - Docker Tar ball (armhf)",2023-11-21,,gz,45000709,c7ef348a38741196fd4ac5576ca66900,6cd2c09e59c761ade00b4203f2e92ff0a96006e2,7a3f79223008826c36db3c0517a18504a74400d2a65c0b847add5fd4f248cedc,a521ac30ebcea37a914bb90c18b0d75fbca39db259f37298989953999cdfd1c82bf7c1150c3e13dbe630ffca5d766c482b3519c4e90a18a554c2c8533f3026ea
"Paragon Active Assurance",4.2.1,"Test Agent Appliance",2023-11-21,,deb,1480611984,af6fb57691897d269e465b2ff5422294,f4d6d6d9e8bd8e2339133f9eba46a0ca3c6c8cc8,3e950202725f7ea4e7b5622e6775d74c7ec43ffac0ed554ef125cb8b9931ecc9,88d0da0dc8988ab4cce30c0c445847ee802a355997c42a5150be95fb4ae977de1ac5bb51c45ba59a13da6af435dce7d64c7cb1eea3451e0fb8ebf67a850548fe
"Paragon Active Assurance",4.2.1,"Test Agent Application",2023-11-21,,deb,152703776,aaec0387c57e59bc951ccdad04b608f1,25bf904a0abd3ff035494e9af4c06c63508d8e5c,cbc32df7db77f893aebd261114ee707205af7a9caf732e60564597dad713a5a6,e5466ae0053fbd4f555bbbe5eb4e2d9a2c05c8932c6192572cb30d001e07bbe3a743f5cb39237d7d0f20a8772466dbaaadc54a8bd1e3f2656686c5b7b956f76e
"Paragon Active Assurance",4.2.1,"Test Agent Application (amd64)",2023-11-21,,gz,6569413,512858c2c37404b965a55e5da36424ae,72b03a9733e4a7406ccfa7ce9626de9363b73650,667e557f75da9309d6ed75d56d7e5e6fd91e3abdb646b3df0177ef2dbed7deb4,4ebfb4b95b67f527ec143c3a30f8854d926f77b7d826a9dbcfdb6915cd9f8f22f0b095d4db567d54a0842b664647a7a2eb6682d78ad8a492355f5698338db3d5
"Paragon Active Assurance",4.2.1,"Test Agent Application (arm64)",2023-11-21,,gz,703784,99b0df7c51ab541944838db004514b70,45d42f505accc111f4c3064c925bf57151b3dd76,a176591ca520151ac8f0edcabe70c91a5be5373f6672e0bc68ce580a94546251,ff41a1b769237d6978f4ff4b4c3a92b65752a71370f4b6496782e6189c6805342ee9d0e4267f8f5efcece40dccf8201007e58026dd48b2e6d5720ba67d17a24d
"Paragon Active Assurance",4.2.1,"Test Agent Application (armhf)",2023-11-21,,gz,611240,0c8174a8db841b71bf9a24cb5c02075f,930b7c7fce19925127fbc4b8506c6bb1503abaac,3c3fb2e68ed46f54b0d775f890cc6d129d4633a91e22e8e38dfa7ef2174dacc9,90aeb46cb9067e629c0a1616e6271cc9049b39d4cc530f9433326db176e1521c2a4ea51d35bf5f0724d605f254ef45a7159cbc14f8ffa9ae4c3b24efb413b404
"Paragon Active Assurance",4.3.0,"Control Center",2023-12-05,,gz,646570473,3792dddd330e8e31a2f3dcb25ec4f651,3f7a6c68084ae331d3dea94a842b3aeff1f37d2e,bdff11b0aee9a9ec938f5b7a897a372d7902c81963becd8fbf0fbe1c550295a2,a1f269ca7f246474bfe17425579b166610814c8e9563747aab51116d8441b7e562b0626083f3e00bd8248abe6cb0436b7b306f9e653dbfb52d945a2902579188
"Paragon Active Assurance",4.3.0,"Netconf Yang API",2023-12-05,,gz,11023157,a901c9823b20d8a10546a722f2b6d8b6,0a6ff7de67eb33750e542e700d2958d358eb1be2,a0a11a3fab7c5392567713da9d76e9c9e70742d652da753621af2301edae2024,ca2badd130b2efeddcefa24d4701764ef1db09d2fe6c368b188d4d665b8b90fe5d2f42f54640d75d02b65c63be4a6ee2a0bc1ee03fb527d6a6946d579a9b41b7
