OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Paragon Automation",21.1.0,"Paragon Automation Setup",2021-06-23,,gz,10685642568,b149cbbc85e9a94a8d54981873cf78d2,2c3f20cc27e8cf101b48d4dbbddcffe68d739c13,7a8d79652f7a249ed33b7efbc1848bf3b887fd5edc9cfa59d8aa3bb59b0a6f7e,58199508ecd1d365163dddbbc9b41eafe31bbc4929afb8ab08a251e2a019cc7bee19092f0d8510063802825adfe5400daa23b94564bd26f15c1f5620a3765ac8
"Paragon Automation",21.1.0,"Paragon Automation Setup - ESIG",2021-06-23,,esig,271,71707f6fb591eb985f8c0b3b77548d75,5a0f06638f8e7782077ca089220b7e1f69ea0866,a1a7c4e42d5d62b7c3cb6b3e0736c6da6c3755acf8d1ffbb3d6bbf58e5d0a525,59eab1d68c6a52dbb413a34208a35f22e1bdc2900dacbc9344703566d40c868bb5fa8e876bd3ba5597244447a6515c6c6c3eca0a0b624e119eab11e63188a1b5
"Paragon Automation",21.2.0,"Paragon Automation Setup",2021-10-14,,gz,13814024446,5ca72519f05c63a8c2ddc5655e5ef79e,94fca311642c8f3fe929bdc67ac34a84cd68b5da,d063e5d2c335febddea9b00b7fa8150f5d895ee420b20323ef34f1c2da2bccd7,fdcae7f53ca187c5db6441c095eeb5ae06a0d1dd74ba11768b56ac15ffce594fbe23d07b42cada44bbdb8e353fa587df221cd0288001f84ce1bc5adc390ff26f
"Paragon Automation",21.2.0,"Paragon Automation Setup - ESIG",2021-10-14,,esig,271,df3c3c41a6d5a29f7e91b1ae335ca18f,b555e531f986974dee402f9b970d095c83a872d6,8ec7f43107c2cb14b7e5cb22ec9f3c8094f5be59423dd4799cea48ffe3fcb2be,2ccbcdcde2818f87b484abb35fd2489a35e5601d9198146112a0ca4cf23c05363ba5e5822bd9962aeff4a539753bdda4cbdfd8f3906604a539ff1710b7535a77
"Paragon Automation",21.3.0,"Paragon Automation Setup",2021-12-23,,gz,14016170711,0cba431c1bd564da231f03cb1ec2a91a,0d1a5bec5dda7b4e33a184c740c27504eba02d0c,19bd8a440a8308b388049696d7a6cf68461f21330d9a15e10de848c04cb3d566,a363727914e7c01be2761fbc87841646679d727456b882f305b27c0de81ac8b8b3b49cc4669dab609165fec270d15e7b0ad8a357429f43eef9c05b44e5b4bbc2
"Paragon Automation",21.3.0,"Paragon Automation Setup - ESIG",2021-12-23,,esig,271,4bff7e98724f5d3fc817e1c1cc95201e,f1e247fc5b81b3f489baee4b051cf247ccf17f40,88e3151d309059429c7ba4863ed3b722e816d04adb31848606ac262a44e46772,cee4f2b53fbcbf2a1e4da3fef8c1716ee11b0c3ee3f5f812df7dba255b182a7cc50334854ad21e0f629a7b4b1bb83f8aba5ad384af7096ffcbf6cb8d161d15c3
"Paragon Automation",22.1.0,"Paragon Automation Setup",2022-06-29,,gz,14555658882,6f846ef8786a1f1b6cdc1f2223789244,fe02178482f53e15e94e946b584e18adb3ad3114,37de12779e3b11639d626e1258670c149a2de9584d5db97099a15bd76192e185,59f98a5f16c7dcb7724982b4733e2cc840398a8e6a5abdad6577ec644a5fd998b4e0b6191f7c65abd5dee87d2b9aabc7d32b8fbb5855284a73b99a8673b22ee1
"Paragon Automation",22.1.0,"Paragon Automation Setup - ESIG",2022-06-29,,esig,271,c7225e65b9e64d472f862d9069ba5af7,73cb29ceace497d79e55b8ee4a6149433a37ee6a,21d1fab67c8e997f269599add43d0fa1677e51610496bdb92219c27b27c7c747,4dd0dd020c8ce0143a07594ce8bdf57fb6158f345ba21713156b4e1ab58f224418e3849f3a64a6b8dab8713f65fa80724fb086007a3575e0556ef121e303ad6c
"Paragon Automation",22.1.0,"Paragon Automation Setup - ESIG Service Pack 2",2023-03-15,,esig,271,86c1dd7fb2b2bb2863d66f9c61d68d82,8d541e2b29a44290d88b114127cea7282b1fa264,e00c83ebd8b113bc2ab47b590f5b7f450cf3270da444bab9d375f53fb1b9f16b,e26ef33de26595add4a59f2b431d427d4623470f64bf07e02929069dbe7aed68c9c05e69fb9dc8590148219a6f2b41d4689645b55c15398d180f4ce354e0a491
"Paragon Automation",22.1.0,"Paragon Automation Setup Service Pack 2",2023-03-15,,gz,7713096802,7f5e67e71fe955930333260518a87a09,5b68f53dd87fd4214ed953913064064b7c5a10f8,bd730a4dcf25d45c721bdbc5804a517c126625b3ea24d32d11cf408d3c189ecf,2a9b314e4ff116183026c9208f4969af91c7242afa8e7705df9c331dcd5fa18bc5e1ce9c262cfbe8eb80b897ad222b7672a9358cba92a5a56493b6530fd97731
