OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"SBR Carrier",8.3.0R1,"Signalware 9 SP6.0 for RHEL6 (Base package) (32-bit/64-bit)",2016-11-22,,tar,170152960,fe0386aad6c7ef40de0005dadc37f438,0336bd78a403fa4d220d0d982de605a8eb60eeb3,,
"SBR Carrier",8.3.0R1,"Signalware 9 SP6.1 for RHEL6 (32-bit/64-bit) / RHEL7 (64-bit) (Upgrade)",2016-11-22,,tar,181360640,92d6d2f6a6960e16ee4e9b1f0da23a80,5d292b2bceabf6a2377beaac2d64611c8abfdfea,,
"SBR Carrier",8.3.0R1,"Signalware 9 SP6.V for RHEL6 (Upgrade) (32-bit/64-bit)",2016-11-22,,tar,180264960,62f37c7b7d30aa62ac9108c3dcd8384f,cd8fb44f3f2af842030190627e94509b4698cbcd,,
"SBR Carrier",8.3.0R1,"Signalware 9 SP6.V for Solaris (Upgrade) (32-bit/64-bit)",2016-11-22,,z,389582897,7307b4e9394bb88235311269a29d5658,5063af4be80c8acaf7f4cf8edfe163dd2e012691,,
"SBR Carrier",8.3.0R1,"Signalware 9 SP6.v for RHEL7 (Base package) (64-bit)",2016-11-22,,tar,483983360,cdc22c4caa137ba082a2a884565e3c15,c3e6596d8d6dbf524b7813610567b02ce062065d,,
"SBR Carrier",8.3.0R1,"Signalware for Solaris (Base package) (32-bit/64-bit)",2016-11-22,,z,242833839,1c7822ca1423687f5302028b89ab7b14,86d94988ee32fcdca7a273651c9b0d6227a7e099,,
"SBR Carrier",8.3.0R16,"Cluster Edition with SSR for RHEL6 (32-bit)",2018-12-03,,rpm,706543127,36d9d165c6d4aef0e0cb1d686e7db8db,94772486a816d5fa3c97c67c0a161a493b79149e,7162b8a63299bd0a919d4af35a5a7c86eb1214b04e9ed48d92b96c9f1705ae2a,bc0edbb6232eedc304f75728dab6bd93a12bfb4b24d18d67f9641afebe35e1188f2ded545647ceb28e0c3d70f2d963cf689fd05e232ffb815eaf78b7be4f6ad4
"SBR Carrier",8.3.0R16,"Cluster Edition with SSR for RHEL6 (64-bit)",2018-12-03,,rpm,669234020,860b0e8e73935eeb4eab42be5f291c7b,8b5cc980afbacc96e92889d569dbde541e64346b,abd792579f6f1fc9e5c1c82c8fa93bf9c123c27d22bcefa7e6012a84fd45d89f,e069757373bd202daf62ff30432dd1dd30c9b8b8dbeba3525489e4ec634606c4d625e69c1296f71a4a9613eda9f89c32badd662f262acf553aaac04e0a175658
"SBR Carrier",8.3.0R16,"Cluster Edition with SSR for RHEL7 (64-bit)",2018-12-03,,rpm,663598116,2a7e22765fc1d486fca2a493ae293623,53854d255959cc472a4e10fbc1c4caf53e7e7293,17041e45101537d0ce1e79d655d2b3131602e0d3ecbae593ee9380154e90ff17,6bb6e3fd429b5cbbeeb9e3b2a21cff4326cf32ec3a97cd7900c24b2aab5f7575b4cf6177bb2d3c4c0fa7f4934f747d0ba23bbda1ed084a910203a743007af1c8
"SBR Carrier",8.3.0R16,"Cluster Edition with SSR for Solaris (32-bit)",2018-12-03,,tgz,984209772,aa7d8b3383bca6e0468bb8497f7431e7,ee2f7952e6b65bd81cc7e43bd3087d6acfd866ca,2c13324ec7790607825e63ca5f2dc2d921e75c40c1137dc7533ffe51cf62ab56,e580a9a0443e37d1c659d94547d62a1377bd6978e9caf4c93d0e96df45abc5aee806aff4c1923868751fbf5272b6e5f2efd0e2b04d4a5cc52b163e80b7b1f013
"SBR Carrier",8.3.0R16,"Cluster Edition with SSR for Solaris (64-bit)",2018-12-03,,tgz,958728790,a25a6f8faa28a75fdd7f9c95bd7526fb,7bbfb3ef1b5e6e2174d0a590b823a4b5f4c2181d,6be59f91b5cb066445522653691fae1d6868cf85a90112e68381b545dc05f2df,8e8c572a8b46c9cbe11e7684874b3a33807c769087d1b924d08493b4bd9208bab204462a9cf6e9a76b33ea7af6f1a6eae222965e5dda6d43bb7b7e94c89d65cc
"SBR Carrier",8.3.0R16,"SBR Carrier Patch Rel 8.3.0R16",2018-12-03,,gz,222282731,835bb8f3ab193329b794c4c38ae09c3e,5eaa6104ee74712935b2a8fa573e25309f17a847,0c04876900bd561d532dc8d8d6c1dfa5455f3d9fa75136bd80ad931ce68fb6cd,bd6b651d4c8d03dd712f38a81fa10a04f30c62164ac301249dc70fcde0ca44c65ef8614949ca33b445bd84427d804f35c0855e17211b4abaf2fb7d8e62bda436
"SBR Carrier",8.3.0R16,"Standalone-Edition for RHEL6 (32-bit)",2018-12-03,,rpm,206944216,22752bdce5623f10966de86f25c9ad02,9f2d621e21fb744fda541e0ca9a6398cb23f1ced,2b969ea95be87dbb9c3bb3bec70a8da8fd92560dcede25c075c8acaf36245522,bc181a990d65d2a8a3e1c5eab917a269a9225a6ef01065f011aa6cffa670213a68ccdfeedeb9e0f465ca28baa7ebc5d572d6b7efb1e2c2b70ea530fd1c549c4b
