OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
SRC,4.10.0R1,"SRC 4.10.0 R1 (for VM - unified package)",2016-06-09,,gz,1164182487,5fffebc3ca83ead6d48abbe6cd50080b,f7c66f34c0a8170d3f9fb314326dbce43a89b86e,,
SRC,4.10.0R1,"SRC 4.10.0 R1 (for x86 img to install using USB)",2016-06-09,,gz,1194539187,63951b13f730b973f6126438072a16a0,e040a8e7e855b6802081047f4aca2ca259f0c7c6,,
SRC,4.10.0R1,"SRC 4.10.0 R1 (for x86 to install as VM)",2016-06-09,,gz,1167255728,1ef177a6ae59e7740137c94c54b20225,bf07b342ed7a60a765236abb61a0c41d04c469a2,,
SRC,4.10.0R1,"SRC 4.10.0 R1 (for x86)",2016-06-09,,iso,1037002752,9dfc986d57852e0b996d42a457cc068d,080d17efdddd14a577dabb365ef149677e3b11cc,,
SRC,4.10.0R1,"SRC 4.10.0 SDK, Demo and Sample Applications",2016-06-07,,gz,2148549969,,4caf8daf6d4adf668472120685c4d07598c44562,,
SRC,4.11.0R1,"ISO image",2017-08-11,,iso,1037412352,a703c450e7869912b077425d68713af9,58c9f39ee62564b161a831f0fea1d04ef02ff8e9,,
SRC,4.11.0R1,"Qcow2 image for KVM hypervisor",2017-08-11,,gz,1168304404,640457c521a151e10c16c2d51c34cb20,e6c39bc49e34c87b30fe202b100fffc85e736e76,,
SRC,4.11.0R1,"SRC 4.11.0 SDK, Demo and Sample Applications",2016-06-07,,gz,2148549969,674e0db1b11dee1d24d03cf8d15e7451,4caf8daf6d4adf668472120685c4d07598c44562,,
SRC,4.11.0R1,"USB image",2017-08-11,,gz,1194954850,89be78be9e9b230d368ca12cadb69c92,c85ec30332c48215d147205dd1cc541e5a8617fa,,
SRC,4.11.0R1,"VMDK image for VMware hypervisor",2017-08-11,,gz,1165108723,76ca6ba6a2a538634b91c3c82ec8bcf1,df00de27690e232ca5519e16f0c06ba10c248e08,,
SRC,4.11.0R2,"ISO image",2017-10-05,,iso,1037414400,633b0fb0c390e3bdc1edbcfc9e2d7871,e90df96586f5495ef2383c92c97e3852d2a4fd63,,
SRC,4.11.0R2,"Qcow2 image for KVM hypervisor",2017-10-05,,gz,1168435398,8a65f097ba0b9fbe590d8e5fc64c4ecb,82bf076eca57655b16dba8e87510aaadeae64a2e,,
SRC,4.11.0R2,"USB image",2017-10-05,,gz,1194968657,91bee1bc643cd427c82a099b49f3f4c3,c29c21dd096833f341a93e8ec93def82a2705021,,
SRC,4.11.0R2,"VMDK image for VMware hypervisor",2017-10-05,,gz,1165297170,f8af42500c3d768b8e4385a00b73706b,947f73cc1ff66123514ea8667055e39d78751ce3,,
SRC,4.11.0R3,"ISO image",2017-11-03,,iso,1037418496,ccc6353bffafa40f6a52f665f44092a0,c52433847e597861cbb307c399173cac4d520687,,
SRC,4.11.0R3,"Qcow2 image for KVM hypervisor",2017-11-03,,gz,1170155177,76304b47fc6c252feb7cc2f03f3f3246,a110554ba5f6f3c97c8a266e93a46595bb43786d,,
SRC,4.11.0R3,"USB image",2017-11-03,,gz,1194964860,da85ed921b1c68b578b9d1ce2d56adbe,5bfb1813b54f2eac58c947c4ef7a53ce6f88d21b,,
SRC,4.11.0R3,"VMDK image for VMware hypervisor",2017-11-03,,gz,1167091377,bcf899e51d0d7f4942e4993d7e0ea357,2af7b7ddb8590d97733b56d2930ce22cd2e3d523,,
SRC,4.12.0R1,"ISO image",2018-10-16,,iso,1038635008,e6b9cedc9a1b60883f2b60b717a484a9,581293c86a7cc0108e03f6a04f629737044d1d27,296bbd0c68db4db26f8002747b7404d5b3e406ca60a30c155fda7a5fafe3ee4e,1cf3d3e2f7df6d31ba7d8ea8620b2dc82dd3e52e44bcf3eaad1a814c14643d2fc786f91922ae912696a1ab2f71eabd1a3f1d01f65006979eb87f2b441d269e36
SRC,4.12.0R1,"Qcow2 image for KVM hypervisor",2018-10-16,,gz,1161588715,b19dc590d025f40106cc4605ba9e7051,72f7f3bc79ef5cfca8ffca1f4e935e09351d8d32,bbbdef0992721cfe6c69c60181ce142ea2826306adb43b33281c296f93ca9eb1,9bae7772b626277a54d85f79c8669d478df6f9ddac89e24560453d837ed445ca4433517042e925ef75564cc8c3ab177ee42b8e64023bfb36a2ff3ee9be7ca9c9
