OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
ScreenOS,5.4.0r1,"ISG1000 5.4.0r1",2006-07-20,,zip,12060230,9c11a971a1c365bc5c2c1f3aebc7a522,04deb86fe998e09864ec82885a7a120f76ca3dca,,
ScreenOS,5.4.0r1,"ISG1000-IDP 5.4.0r1",2006-07-19,,zip,15911389,6de4a741fb63b8229ffa66b265e06248,34fe56c1e601fdcaffd31696ca0aac48bb6a4516,,
ScreenOS,5.4.0r1,"ISG2000 5.4.0r1",2006-07-19,,zip,12078755,019b6fa132e516f6425e417edea873fb,96803e31cd582e990bc5bb938c7bd49a0c7aabf0,,
ScreenOS,5.4.0r1,"ISG2000-IDP 5.4.0r1",2006-07-19,,zip,15930918,27c90165f823fd1f0988a694a339cbb8,e896ed1b3fefb2d0535e01811964fcad03f35cdc,,
ScreenOS,5.4.0r1,"Linux Schema",2005-09-21,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-24,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-24,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-24,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-25,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-24,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-24,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-19,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2005-09-21,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-24,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Linux Schema",2006-07-24,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"M Management Module",2006-07-19,,zip,10989063,7b6594acb560cae6e7848ac42f342bec,9f165e3e1a4308a914d53154a27278385a12593b,,
ScreenOS,5.4.0r1,"M2 Management Module",2006-07-19,,zip,10465756,e16ed93f96731616f6b9d6e675ca620f,9cccfedebde4cc2645733816becfd47cae3308a9,,
ScreenOS,5.4.0r1,"M2A Management Module",2006-07-19,,zip,11270566,2ad891f5351560bd04fbd3fd443cd5f8,9f21bb5290015d542674e8cd50a18eb4f3b20ec6,,
ScreenOS,5.4.0r1,"NetScreen-50 5.4.0r1",2006-07-19,,zip,5810650,46af815f46759d8898208756151d7f6e,b03265e8478c9206f09d317e818772b91697a98a,,
ScreenOS,5.4.0r1,"NetScreen-500 5.4.0r1",2006-07-19,,zip,5716842,2426ca10b916c8ad294b561ddb05075d,b31039f8c799d7f9a0c17a3cc1423e61811b5fe9,,
ScreenOS,5.4.0r1,"NetScreen-5GT 5.4.0r1",2006-07-19,,zip,9718100,08a46bae789e298211ca9bdf2e5e8494,075cf4025ede5079662107f34c53cc6ad589610b,,
ScreenOS,5.4.0r1,"NetScreen-5GT Trend Micro 5.4.0r1",2006-07-19,,zip,10200415,2484ed53ca450be9bd458caf4ba0fbe3,e7876b36c90b9057468b4eff7a3aed835f8b047c,,
ScreenOS,5.4.0r1,"SSG 140 Boot Loader (version 326.d)",2011-03-29,,zip,147259,1ac5ff086b361a57b061688cb799bb6c,b82791c5ad7233b6abeb9c325c4166e5824babd5,,
ScreenOS,5.4.0r1,"SSG20 5.4.0r1",2005-09-21,,zip,11212957,92a38cb8744946f940e2e7b96ed35e3c,7e9fac955bd5d3ffb9d73fc23430598452bb39f2,,
ScreenOS,5.4.0r1,"SSG5 5.4.0r1",2005-09-21,,zip,11212957,92a38cb8744946f940e2e7b96ed35e3c,7e9fac955bd5d3ffb9d73fc23430598452bb39f2,,
ScreenOS,5.4.0r1,"Server Schema",2005-09-21,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-19,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2005-09-21,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Server Schema",2006-07-24,,zip,284682,039b2b0e57e2213bb4289ee494a6cbb2,,,
ScreenOS,5.4.0r1,"Windows Schema",2005-09-21,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-24,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-25,,zip,29068407,9fa81667ca4d4f76ca4e083742831612,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-19,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2005-09-21,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r1,"Windows Schema",2006-07-24,,zip,15706241,fde6ce193a5bae5ed7b3e6d321cd3de2,,,
ScreenOS,5.4.0r10,"ISG1000 5.4.0r10",2008-05-16,,zip,12252766,6cb3311699ab63f275142c67db255b9e,9c623c26ee3ada058f61b48df24af1bc0572885f,,
ScreenOS,5.4.0r10,"ISG2000 5.4.0r10",2008-05-16,,zip,12273352,7c4ea21576cfde0b90bb44f06dd3b710,a1b6692927c31d8299733656442ec91657de772a,,
ScreenOS,5.4.0r10,"M Management Module",2008-05-16,,zip,11158455,c4decbd1a9929b520d8afdeb4acc95e3,dd83366f8d218322bae4776e386846ffe3d769a7,,
ScreenOS,5.4.0r10,"M2 Management Module",2008-05-16,,zip,10632790,2552b94034d50641fd079d6ddc2d822d,6d2d34b1b10997636b141c2dbd6e2e79367d4156,,
ScreenOS,5.4.0r10,"M2A Management Module",2008-05-16,,zip,11407273,1d333c2e7950545711600fb7d448c88f,f3fd3440343120e704dfc7fb6c246ced61ebf9cb,,
ScreenOS,5.4.0r10,"NetScreen-50 5.4.0r10",2008-05-16,,zip,5911369,cc6ded38a4172c0040776038a8c6c14c,34a504e634f521ce33c3399a383f22ef3cde731b,,
ScreenOS,5.4.0r10,"NetScreen-500 5.4.0r10",2008-05-16,,zip,5825992,1562f0707d3a85ed2c617f7c60dfaba1,5a08205f39e6f34db82a8d9266ec1b89f41e4da9,,
ScreenOS,5.4.0r10,"NetScreen-5GT 5.4.0r10",2008-05-16,,zip,9884710,3c83882796c40de6984a9f74a8647b47,496a1d0bc1ccd0c2c217568e5f0a13f40ec46f8b,,
ScreenOS,5.4.0r10,"NetScreen-5GT Trend Micro 5.4.0r10",2008-05-16,,zip,10353377,6a2452778562d0cbc646356054d09fb9,0478e2cef7c07df9b6c9a79d902e9b1d203654c2,,
ScreenOS,5.4.0r10,"SSG140 5.4.0r10",2007-05-16,,zip,10351562,60664516ee30f5b5944763b5288ccdcf,b7d37d2c61e01c90224ae49d7d88aeeb2dce8f9a,,
ScreenOS,5.4.0r10,"SSG20 5.4.0r10",2007-05-16,,zip,11383098,810d83ae7e10b49da274f99741dd6920,6b8fdbb1fb659c085586b5260a99cbb432fbaeb6,,
ScreenOS,5.4.0r10,"SSG5 5.4.0r10",2007-05-16,,zip,11383098,810d83ae7e10b49da274f99741dd6920,6b8fdbb1fb659c085586b5260a99cbb432fbaeb6,,
ScreenOS,5.4.0r10,"SSG500M 5.4.0r10",2007-05-16,,zip,9538857,04c65a8f12932b2306bc85fbab6d5f3b,1fe5efa474715cae09ed88d13868fd3b07ea97ad,,
ScreenOS,5.4.0r10a,"ISG1000-IDP 5.4.0r10a",2008-06-03,,zip,16155256,bab3dd0c8aa238a54b26ef97a420688a,b699c20ba7bbe34ec10d49663d713ba2f0cdb751,,
ScreenOS,5.4.0r10a,"ISG2000-IDP 5.4.0r10a",2008-06-03,,zip,16175870,5245f183c428a0d29043f42ef45a8b96,e8b8b6ff19a547cfdcf1649d58feb1901fd68318,,
ScreenOS,5.4.0r11,"ISG1000 5.4.0r11",2008-10-08,,zip,12274187,aabb934224dd07b573185eb763403841,cb97f26b976137f08e79d6472f4bfab756056582,,
ScreenOS,5.4.0r11,"ISG1000-IDP 5.4.0r11",2008-10-08,,zip,16178893,065e23d2b43a6b1108cb72a3e9c2f576,a1390f7b32b1b02ef911e1c64d489ab9b9ce72a2,,
ScreenOS,5.4.0r11,"ISG2000 5.4.0r11",2008-10-08,,zip,12306845,b203b8dbd72efff5f3e625a1b586bee9,44c689369c894f84cc9898520b68ec87332e0f74,,
ScreenOS,5.4.0r11,"ISG2000-IDP 5.4.0r11",2008-10-08,,zip,16215094,061e22214cbf761afd3d333313cc34d3,d6b318a865eadd40649b78f006796d4508c07318,,
ScreenOS,5.4.0r11,"M Management Module",2008-10-08,,zip,11174030,f53f6b1958897aab64ce779601ecfff5,ce5b139b584e04ccbab771e2998e1c9ac3325fbc,,
ScreenOS,5.4.0r11,"M2 Management Module",2008-10-08,,zip,10648070,c8f5b15300a7ee91b508c4b6b9b258e4,ccff5308e29f9e00f90e8c5f26bd46c0da551028,,
ScreenOS,5.4.0r11,"M2A Management Module",2008-10-08,,zip,11428693,a55d8dafa89cf3217d6edfe429eab3d9,59f99b26db482aff2a3cdb1cd67b621e301fd26a,,
ScreenOS,5.4.0r11,"NetScreen-50 5.4.0r11",2008-10-08,,zip,5920870,58ac7f5f145611ede3c278d25bd6854c,b891dac083b719a17af6bfcc928c870a2a45f3f4,,
ScreenOS,5.4.0r11,"NetScreen-500 5.4.0r11",2008-10-08,,zip,5834360,8a287359ee0e04f0afb2fa6a70ce7c69,d6d461650d26d7147ca175b9934ab646a19646b3,,
ScreenOS,5.4.0r11,"NetScreen-5GT 5.4.0r11",2008-10-08,,zip,9897904,f8aa379b892b6b95c6fc17e6ad000c64,05408bd1f77a9b86fd9ce8e2edd4de93c4a11c47,,
ScreenOS,5.4.0r11,"NetScreen-5GT Trend Micro 5.4.0r11",2008-10-08,,zip,10366290,4e4e3119359e85675784ee1f6ded2a5d,ed0f06e5a8d0622bd9633cb420fbce9192c8d2ae,,
ScreenOS,5.4.0r11,"SSG140 5.4.0r11",2007-10-08,,zip,10366015,82f0f7adc4d159fef4e7614e2db5f203,c5a012c41da905edf74be3feb77083bcf0bfa205,,
ScreenOS,5.4.0r11,"SSG20 5.4.0r11",2007-10-08,,zip,11397827,f7a95320868edf6802409ba562f8e740,e648cbcaae32d0611025e2ca14c70d1406fc3089,,
ScreenOS,5.4.0r11,"SSG5 5.4.0r11",2007-10-08,,zip,11397827,f7a95320868edf6802409ba562f8e740,e648cbcaae32d0611025e2ca14c70d1406fc3089,,
ScreenOS,5.4.0r11,"SSG500M 5.4.0r11",2007-10-08,,zip,9552204,f0a8747279699ae680a2ed6799a7d7bc,8d30b960dfc26fa2f097181f16c6a4e590c48e04,,
ScreenOS,5.4.0r12,"ISG1000 5.4.0r12",2009-01-18,,zip,12275843,41a3152dede7fd9c2f543333278ec5d8,9c52adeaed3c84dac9072c701acd9db62099f276,,
ScreenOS,5.4.0r12,"ISG1000-IDP 5.4.0r12",2009-01-18,,zip,16182810,1d47eaef9a3128c31fbc40a62239273f,3ffa396fb9fe0ecceb6a78cf03be03e6e4fe76fe,,
ScreenOS,5.4.0r12,"ISG2000 5.4.0r12",2009-01-18,,zip,12311042,936c1f5aaa36b589eeb2406af130f8cf,1fa3828496b40c121b3258cafe84683465c6fa08,,
ScreenOS,5.4.0r12,"ISG2000-IDP 5.4.0r12",2009-01-18,,zip,16221074,a4e49833cf5cbef46064075d0abe8eb8,6a8b79e7f9d9c3cb9c1ab8cc86c927526b2194a0,,
ScreenOS,5.4.0r12,"M Management Module",2009-01-20,,zip,11176339,45a2f0dd1a2c1fe67e3fd10c5eabdfdc,c948bad7dbf94c628c843095f993ee106ab00f92,,
ScreenOS,5.4.0r12,"M2 Management Module",2009-01-20,,zip,10652793,3ffac9445033f86c36a3af5ac5c5a23f,f9e28b4a794ea0e85f004e07ce3b5bd1cbe4efa8,,
