OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Security Director Policy Enforcer",19.4R1,"Policy Enforcer KVM Image for Virtual Deployment",2020-01-30,,qcow2,7344947200,09b1c10b47d41e8c4cfb8c74165f751a,e21b9b30de2ed3d0332d07e61a03447b8cc5e05c,9d26340a4dffe343c7da708535b799fe4014c04dfb67d9fed5a18ded92cc330f,04a3f499a7216341d507d186b12fd1638462fbd84aa007f10678710dd75a1437507c5ab29aca2716ebce004343d52cfda888cce548ed7b726ad7ec372dc4e03e
"Security Director Policy Enforcer",19.4R1,"Policy Enforcer OVA Image for Virtual Deployment",2020-01-30,,ova,3600387072,6e67de61a8fe95d0ea64489c856daaa5,2743b3ab976a90f50e9f7f2a474bfbd1dd13c55f,b92d8fee7ddb57948b30a5ac92c32c1b8a949a754d791c88e56fe0f94d037ff0,8d6b244e7ea42fead2bf760d9d49df5afde397612e055eaa19e7848830f835688831046909907cfd5d4845b35c7c35bd4f823775857e8a48b5a5e56b01f980ac
"Security Director Policy Enforcer",19.4R1,"Policy Enforcer Upgrade",2020-01-30,,rpm,426307794,bdad344afafce7c422f60a9ad3f8665f,c8793b81ea0914df815d77ebc9414afb6e9b4ab4,7df9e6a19412d2d42deae3eb743802784e37bf608c8ff2ed4dae056ff9569fac,572a7a6115ad5417229b13f7f5279e47a5f08b898a8e1d3b6a1e533f35c80b7951454ef9f3cb66431a0573f80c188843ced58fdaaf8c13e403baa6c9eac9308d
"Security Director Policy Enforcer",20.3R1,"Policy Enforcer KVM Image for Virtual Deployment",2023-04-25,,qcow2,7245201408,887209a92396e2056718c73bbca8714c,1f9ee2b5a226dce10d8e15fa2802b0f91d0e9a17,1a5928b9689a4cdfe0816305c72356103db4ad7630133d19a9e6ff4c8337ce2b,a269b2987ca510a8dd706a30ae6de7249c133f4fea08b42280f8a9d2cda2287e886f43d5f34323236663cfe8b19257c749d2b68e522ab9fff2092725a1cab27e
"Security Director Policy Enforcer",20.3R1,"Policy Enforcer OVA Image for Virtual Deployment",2023-04-25,,ova,3555099136,31a18f061b888509774a6cdb6c38b2d6,a1f6110587d200238de16661848f8bc31788b869,05f14ed4ac14fdb5007f855925b263c56e0212115146624ee35db8736d53434d,bccd34ffc37632f7f47835fc1a5740022beb7c0b77639a1faa46b24ca85eb10fa583a79beb7912af2cf1ef37fa9d13af87e9de1f1956dcfc7de82ad3fbce6845
"Security Director Policy Enforcer",20.3R1,"Policy Enforcer Upgrade",2023-04-25,,rpm,427425896,3d4a17db145ec1ff40819ec7a3108b29,ccc413f6207d39fe0e738cd75422f19b89d8e6d1,99d781b356e26843af13a8cf9167ebdb7ef9b33fc3544e38e5d529ac64e0b198,b0039a7d0db9fb2cfcefab80934bf87649271e9d94146b8f0d1f5360e6b07856f90e69b923a116230b0a6fbeb8202665fa1bc6a8c155733b882b95534165ecea
"Security Director Policy Enforcer",21.1R1,"Policy Enforcer 21.1R1 Hotpatch v1",2022-01-20,,rpm,456553804,252582839d40c478f9afaea77f350395,a52389616d561a7f598cb9394cb793f2312e91b4,e0896994801079f103df7377e6b9e4a2070e3ff75f3839a354d2ae3fae35476e,f774a8eedc4fca7b0c7448c525db87983ce046a86bcc17033af38d76fa15dab10e120533a263136f9185c575e19f409a751cbdae12020dfe17498d18f120b114
"Security Director Policy Enforcer",21.1R1,"Policy Enforcer KVM Image for Virtual Deployment",2021-04-14,,qcow2,7533625344,b83647af5f63a804878a0aed2b60eb75,1b9086d3199b486d9c4a245f63e4826bc6053b43,2b7eed041e601e1778ab8e3c3272e2a9118a914101c387ce552eef9a009d9cf2,4f675f42fcda94484a056270d2c54780fd03f1ee048f64e725afa2130de98f2796707ee78ee4f3ae9295d4a2c21d99ffe19e231d641826e695b232cf548d12d3
"Security Director Policy Enforcer",21.1R1,"Policy Enforcer OVA Image for Virtual Deployment",2021-04-14,,ova,3763502080,41a1a612a17d3af02236b55712dacc0a,2ff804b785b04cf2c757a1736e6c0cb1d33453b8,aba8ebc727eafdff3383901caeb758812a25964708ffbdb5c3c197cda3002108,bde8228e27ad7c968e609d991d6e26b8246f419abdf60378fa2cfeb618abc1fa9e1bc970b06c777dab104a77686ecd1c2f50802010be1838cdb4002989a010f6
"Security Director Policy Enforcer",21.1R1,"Policy Enforcer Upgrade",2021-04-14,,rpm,456579190,580c237422db4ac2fe0b69d5bab76fa2,02a816149cc442df5809f6517b4f5faabd550b8f,e70ce671b50e937068c374b12f29ba1c3c275e4b789cac6d791fb3b03f6f777b,d91c87f1bbb6bbd3fc73bbdda80a26d692457363f276fb2b9de055debcbb76a4d03b21560ca02aec2042b86ffcc46c3d6f071250259b102f01fa0a958d222ecb
"Security Director Policy Enforcer",21.2R1,"Policy Enforcer 21.2R1 Hotpatch v1",2022-01-20,,rpm,457036591,a8d7237567e4e9a29d60ca79d37d860a,fa2b0889aba5c7bee0b1b2898ba585bdd6912e80,7418d331a01b7a2d0392661b65422bb0fe5091bedb70a5c8fbfea783521531d6,81300be3f5d0e80dd8b3bb2b01c0e6f7dea2d34409753b981da2aa3516636fa7f88184341530055306aeffe9242a60f40e96d9c01819e70294f2ba001c640bad
"Security Director Policy Enforcer",21.2R1,"Policy Enforcer KVM Image for Virtual Deployment",2021-07-26,,qcow2,7580876800,39a16c30f242dd399d7450b66e64843f,c16b7053cc4ffa191d8626d54ccd934f0cedd4bd,135d2f8b1b7ad24d88ba532f1ae0ee82341584e4cd94812abfc217f13523ab14,504751df016da6f5dea6ffcfb685b4f48caa970cdc263beb4eec98f6ab93eef51c75c6e619b60b86aa645e112b0220ad463aab42e7572ebe4affab7709c71c65
"Security Director Policy Enforcer",21.2R1,"Policy Enforcer OVA Image for Virtual Deployment",2021-07-26,,ova,3791588864,0de3f48ec4b3f8e6272dd516e04bd7c5,ac0ce2b3e623b90620426bb539b176d903f83fff,ea64971b331a2201fe876e287fc817486b41edd0b0319313680fcd6934e149b8,54876ebcbe7013e818e7a4382446208386f7d5f53ad350313912a8e347e4a2eba70d12b8fc7477fa365bcdc226bc2f1b706ec927b6370057afab15cdfa63e952
"Security Director Policy Enforcer",21.2R1,"Policy Enforcer Upgrade",2021-07-26,,rpm,456617527,839e7622ed7eaa0da2d6ccd14e571345,8483db8c0ac9ba3e37087eb78b67fab54ea24428,b0b88eb3b132e714e515e355b7f93417fd7a60dd7a94e53116d86d0ab3d467e1,f289ebc45303913707bad519c490647d1838517613df9c80c74165f1ebb7b17277e84ae842097047ba92e6467fc743782f8c40e5e20c41ea0d2d869bc04fd1a5
"Security Director Policy Enforcer",21.3R1,"Policy Enforcer 21.3R1 Hotpatch v1",2022-01-20,,rpm,456623518,3539b99d6e35c9370c1d88b562476545,da8bf045d8982f7d2c737b674af9dfdcdc60245c,29490efcdd59983a8129ad827bc9785770037847cabd3e210a763613b71e6e99,524822eb365be0c9ddc032996b21795067f9081e8b84d6800f730ac4c3f8bf3c643cb49a499080801a013c6dd6e5be0d4000691737784327471efa9d0140bfdc
"Security Director Policy Enforcer",21.3R1,"Policy Enforcer KVM Image for Virtual Deployment",2021-12-27,,qcow2,7556694016,2ae6f35539d28f9a477969233c0ca527,31d8fb39f3d8e77f4fa1ccd2ad17a8b10a98d500,5e8e1094752b01825de013381056f671807be92f81d4f4c02b210fb6883e5151,b9b5ba9bcbdb911f5c72018c31fab83150f21eb5cb078ec0b9fd2fb86abb884ba770392c5fb51caf2219273f8bc3e47fd7b71eae25f2be352a0dcaa2933d9877
"Security Director Policy Enforcer",21.3R1,"Policy Enforcer OVA Image for Virtual Deployment",2021-12-27,,ova,3785494528,5b40396f78c772bdb134e3d11fd08671,8ed7fe3f500defe6b98bb653046e75a0ffec7bd2,c13776f67a09279e7ce8243dbcd01304429a7d7ff763e854676deb5c3e071a7d,f00c34fdd345ba8d597ef73b373d4c1576e9e774e19b4e9aad9df7d28b23d34cd053de5496d680c11faa1027f382298b64e9067d2390e1d3e06e7ef8b24d91f4
"Security Director Policy Enforcer",21.3R1,"Policy Enforcer Upgrade",2021-12-27,,rpm,456619366,3b4be8a60e7c709ea0953677bc3c87fb,338a14e87e7a26a1f03fd1f1e30eadbf8b411ce0,7a3123669209314aa3173d0d7f4ecd354912389ffdeb09872b6e0fc2fbf2318b,1e88835c36bf8711bec60f380746587c305950014084aeed50551de380c944c8c7a8eeb68b2e60ce23750b74699e3ad66b3d93350bcde6ecf29ab70e67bbc84a
"Security Director Policy Enforcer",22.1R1,"Policy Enforcer KVM Image for Virtual Deployment",2022-05-31,,qcow2,7821656064,3d8dec5b7cd7c2093c85572923cc367d,32c52ba1026dc89047e6d7bfbeed3445622f8da4,6e2bd67362390406c1a8c65dac3e0fb859dd6459feccdca8c5b5dc7d9f58495b,6e529560bdfd3de56a599cdb23224e8bfda78ceb1264d46187e845780b9b90580d09bca2384642474e85d6b20b008d606f8e6fbf16feaa97907dbf2660e5467c
"Security Director Policy Enforcer",22.1R1,"Policy Enforcer Migration Scripts",2022-05-31,,tar,40960,6c41af752719ce7d647fac622eef53e6,8fb58be6f287e8095d9b16b74613892bde18fb25,6c3cdc15e364fca1bd9d910c7858d0b892aec7db4c23fd31f9623f291dc3df54,f70bc09096d2c1ae8c0d7fe58c94211b41019d732709b3f09f4910517ad67dfeb1ec5c1d6b2e4d04ebb5e61a336e7a942f1b937daf4195d153935e4350a53f88
"Security Director Policy Enforcer",22.1R1,"Policy Enforcer OVA Image for Virtual Deployment",2022-05-31,,ova,4180582400,4b1c1a937793a03b8c111bb1945090e8,3b7eee531779040d9caf3ea760248a1fe0b4c353,f8445127bdd34fbcd2aaffa393da45b9076b7f20ff8b0abbcef91a07dedcffe7,7a0e697d40fc174539d71b053ce7aa6e372a8dade8603a960f2f3556d77f99464daf8cede64719c0045b0d15821c2e8ac6722900835c7f7b2c2d2699dd54711c
