OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Security Threat Response Manager",2008.1,"Device Support Module (DSM) for Juniper Infranet Controller Devices",2008-04-01,,rpm,178642,f626e6625b491e85d9ec085d830a808a,41265b9c812e978c14023a8f98be13d49423a2f2,,
"Security Threat Response Manager",2008.1,"Device Support Module (DSM) for Juniper NetScreen Firewall Devices",2008-04-01,,rpm,102406,a12c153708ae1656b300d0e5a3797be6,d24e93c06170d80406311e42f115fda8c51a9552,,
"Security Threat Response Manager",2008.1,"Device Support Module (DSM) for Juniper NetScreen IDP Devices",2008-05-22,,rpm,1211495,b456ffb772a891f8af42e4f120132185,b5f53f6fa948b34ed80f4b499917f89243aefe27,,
"Security Threat Response Manager",2008.1,"Device Support Module (DSM) for Juniper NetScreen NSM",2008-05-22,,rpm,557700,447d3e6e4a33da17be6f0c84a12bf035,89fe0f4e93b46f29d9764cc942471de19e7fb145,,
"Security Threat Response Manager",2008.1,"Device Support Module (DSM) for Juniper Secure Access Devices",2008-05-22,,rpm,693148,5e66d5011b9a652dcdffd61ba4561cae,fd3248490dba2505144a88a37e783f45a73986fb,,
"Security Threat Response Manager",2008.1,"Device Support Module (DSM) for non-Juniper Devices",2008-07-11,,tar_bz2,10349959,e4a5f271cd2c170fef4a6763ee3a7add,c11abe6fb6db93efd61ebacb8febcc26177ab803,,
"Security Threat Response Manager",2008.1,"Required patch1 for STRM 2008.1",2008-04-01,,gz,5518217,6250ae5ae866fd5103c600634cdf9225,37ece77460c3c495dac80f0ab3027a5260494292,,
"Security Threat Response Manager",2008.1,"Required patch2 for STRM 2008.1",2008-04-01,,gz,2576663,f47858fae9b1377f580a7dfd2540cff8,35dc3cf058ee244b3c6f2ca5ef1dde142b991d41,,
"Security Threat Response Manager",2008.1,"Required patch3 for STRM 2008.1",2008-05-30,,bz2,19443188,bea328acce717a6285898a925ea580bf,c053a6f265078c38b8dd25bf5645ac8e12314cb8,,
"Security Threat Response Manager",2008.1,"SSL cert patch",2009-01-07,,gz,11485,9ee834beff558026ea9329d608a61de5,4b5040df230f5b82cd2f05698835f281881b5328,,
"Security Threat Response Manager",2008.1,"STRM 2008.1 ECS License patch",2008-07-02,,bz2,30972107,cb99e02c725cd430d14f5024b9e4b841,7e98650145e0cb4fbd551d7f16a88e5e673d1b46,,
"Security Threat Response Manager",2008.1,"STRM Adaptive Log Exporter",2008-04-04,,zip,29045801,891c1553c1b2ad4b97edd3e68de042d6,1a921cca81a3322515b4af36d3ddbcf734e2ccd5,,
"Security Threat Response Manager",2008.2,"Device Support Module (DSM) for non-Juniper Devices",2009-08-10,,tar_bz2,16496985,ba43581976982268e4a03397ff7174fa,e015081bca5ebb0ed9b8c882371ce10b496ddda7,,
"Security Threat Response Manager",2008.2,"SSL cert patch",2009-01-07,,gz,11485,9ee834beff558026ea9329d608a61de5,4b5040df230f5b82cd2f05698835f281881b5328,,
"Security Threat Response Manager",2008.2,"STRM 2008.2 ISO",2008-09-24,,iso,893001728,ea7d66d00c10737bb02f9c7e04fee0db,67a904e3f9f62c75f481c364cefe86d8d2038cbe,,
"Security Threat Response Manager",2008.2r2,"Device Support Module (DSM) for Juniper Infranet Controller Devices",2009-02-17,,rpm,1230431,d96e97da2d46bd93273c453eeea9af58,f61d5449319e6595577419ba4b1b0a0ca0e660f7,,
"Security Threat Response Manager",2008.2r2,"Device Support Module (DSM) for Juniper JunOS Devices",2009-04-08,,rpm,375316,76f2f01f4918b9b7966696329f1bfbc0,9589f77ad4861988229eb768375455338760f103,,
"Security Threat Response Manager",2008.2r2,"Device Support Module (DSM) for Juniper NetScreen Firewall Devices",2009-08-10,,rpm,159136,340466c531896de14986b8ff4cc8013a,59d0bc616b5d32dc6beb3f69f2de5cc1a9da6217,,
"Security Threat Response Manager",2008.2r2,"Device Support Module (DSM) for Juniper NetScreen IDP Devices",2009-02-17,,rpm,1522878,f1401ad25d78b79585221c5970b53ea2,2c1c469a71141782a95be568f7e09a0b27cf2dcb,,
"Security Threat Response Manager",2008.2r2,"Device Support Module (DSM) for Juniper NetScreen NSM",2009-02-17,,rpm,786385,de159430b2999505125767fb447a4031,001524e0323ec2fbacb5072d6f04639dab65b7c5,,
"Security Threat Response Manager",2008.2r2,"Device Support Module (DSM) for Juniper Secure Access Devices",2009-02-17,,rpm,1191040,e375725b19c33a518cd8a6226a070d56,d88824c99a3831937725de94f4cf57acd0f48ff5,,
"Security Threat Response Manager",2008.2r2,"Device Support Module (DSM) for Juniper Steel Belted Radius Devices",2009-02-17,,rpm,21713,0846fd4f8002b97dad6eba11f5d9f35d,6fa1e568b1bb8d6678c4fe2210e60eec15dfd5a6,,
"Security Threat Response Manager",2008.2r2,"Required patch 1 for STRM 2008.2r2",2009-07-16,,gz,79207580,e84d7e401b93ee085117022d136ddbaf,fa351d66b3a0eba4ef96c950993a9d4724d60f4e,,
"Security Threat Response Manager",2008.2r2,"STRM 2008.2 r2 ISO",2008-09-24,,iso,916158464,d8dfaf5e9defde3e2297d410190c3373,129dbb8f49e8f30915282b42b3b767cf68bac8ba,,
"Security Threat Response Manager",2008.2r2,"STRM Adaptive Log Exporter",2009-04-14,,zip,29182606,c3f6facdffc73d9c4747a98da44bcfc6,10b54abed97d947985a4ce027f1209ab707553e4,,
"Security Threat Response Manager",2008.3,"All STRM Protocols",2010-02-17,,tar_bz2,18029423,188a7bc9f7efd53ac1f2862b99c6aad9,86f5c087cfeae4cddec64e465e20e1032546eaab,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for Juniper AVt Devices",2010-01-15,,rpm,2511768,bee6802e6b1c15e1dd0cc18f6ef95dfe,4ac65d646e66aed5070bd2351a80daf4a00bdd62,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for Juniper Infranet Controller Devices",2009-02-16,,rpm,2241987,7e17ceef3f454a868fb381a94f2baea3,0a3fdfec10fe420cebeb279007b7e7c00935b85f,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for Juniper JunOS Devices",2010-02-16,,rpm,4018957,dbe2faf6a30490753b17c7739d7f7669,4fe82b14abd171755a74c287654b5a3c744fc46a,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for Juniper NetScreen Firewall Devices",2010-03-17,,rpm,3230239,ff2854f3887bff3dc717d832bfca8aad,3fcd4f19e553c4ea2822b33e85c6485e4af6ff77,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for Juniper NetScreen IDP Devices",2010-01-15,,rpm,2607689,974b692016d5bf85380e1690580e1e46,edf09aae4b6dc24ae7eb852f6d1c8d627669367e,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for Juniper Network and Security Manager",2010-01-15,,rpm,2613509,e9deba3b5cd473578872ba1a7700036b,9fac2d542b7ca4ba4c6016d9650421e562f613d0,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for Juniper Secure Access Devices",2010-01-15,,rpm,2733946,384db31a32842580b87286a162c9acc7,8fc1aaff5dd3f2300e97b5e51bcf9a91408273f3,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for Juniper Steel Belted Radius Devices",2009-04-08,,rpm,1091833,a0729efb90a8797219628488dc557a22,408b309f5a232f18ddaeeccef90ab771f60cba46,,
"Security Threat Response Manager",2008.3,"Device Support Module (DSM) for non-Juniper Devices",2010-03-11,,tar_bz2,145740783,393cb3574b2f41ac1307b54bdec90f84,0aebadcb87011d77dd675ebfbffd2b79498d3882,,
"Security Threat Response Manager",2008.3,"IBM RACF",2010-01-15,,zip,136423,55e31fbfa600e5e24ccc9a0d9dcbcdca,fcc9d6461c6d5d2b4036b63732645c22094ec45e,,
"Security Threat Response Manager",2008.3,"Oracle Audit Records",2010-01-15,,zip,2986,41450ac3ddef548357b7aca1ec7ca477,213cdc333f1c035ce95b5dd29e4b282be8841c2d,,
"Security Threat Response Manager",2008.3,"Oracle DB Listener Script",2010-01-16,,txt,12201,29ae2c5e01c62c609007ef6296054222,1eb090d924fcbaca56f1a65f3eadd1d3cbd5f7e6,,
"Security Threat Response Manager",2008.3,"Recovery Partition Patch",2011-10-26,,sh,9363,cc4169b5ee1bd67b4cd6032df20d6f42,2db0db58e38d787a6e2884d59a8c6ecf05823ed6,,
"Security Threat Response Manager",2008.3,"Required patch 10 for STRM 2008.3",2010-02-01,,bz2,163350159,2ce4dea3d6e3b3ffbec34a2405c497f5,caf08a8953b9f69a1ea0376e37df0edff0c5e062,,
"Security Threat Response Manager",2008.3,"STRM 2008.3 ISO",2010-01-15,,iso,1175564288,f6663c588a84f8e7736147dd9c434560,1c5fbe2dc449b63f9850f2c4bbe28723bea8d678,,
"Security Threat Response Manager",2008.3,"STRM Adaptive Log Exporter",2010-05-12,,zip,35891068,b49ffa2ae4213d334af05e387fd1c9cd,c04d6bbf1e0173d91b1d372b5df84b9173bcfde7,,
"Security Threat Response Manager",2008.3,"Symark Powerbroker",2010-01-16,,txt,8497,6f1b11c0e0f114713df61821a6b0cd48,36ed6b5657768526c315459aff5d07cee815e2a6,,
"Security Threat Response Manager",2008.3,"Vulnerability Information Scanners",2010-02-16,,tar_bz2,22277503,3ae99a44125a71e68b28183ec51f3b46,793dc6fb8d5fa4d385982c6a73b04d3439f73f1b,,
"Security Threat Response Manager",2008.3,"Windows Bulk Importer",2010-01-15,,txt,9664,c69f03096c418147e3ef28c1df89504c,bc3ab70feaacdae4f80c037ae0442640689376cb,,
"Security Threat Response Manager",2009.1,"All STRM Protocols",2011-07-13,,tar_bz2,108269802,2dd9ed46276307f9c67564e1e812f292,85f8775241d452aaacd14e3ec5d6bd059110c2d8,,
"Security Threat Response Manager",2009.1,"DSM Common",2012-03-08,,rpm,2466044,2c8c30312739b8f9a7051b4e5bda9f1f,c79e306822fca5b2d951eaa7e9fa0126d427f235,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for Juniper AVT Devices",2010-10-07,,rpm,5600151,1cce7134548948cb4482794ecd6624d5,88194a0e7659c074c4af01672d781880b4f6c992,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for Juniper Infranet Controller Devices",2011-12-21,,rpm,1838141,60c3a8dd2469a1e1c97783078ee1ec71,1992294f614a4d4550b30047237d3c5baaad1a37,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for Juniper JunOS Devices",2012-03-08,,rpm,2529064,0f032ce2523a244a1b537fcf4c1c6ec3,a08b1ca8f7acafcbc8e28d8181ec5add2e70ee4b,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for Juniper Netscreen Firewall Devices",2011-12-21,,rpm,1650914,3e1feeeb5b292022cb33831d9885b39e,e56ea553ceed66f0526105e6f2fdcf56bbda211f,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for Juniper Netscreen IDP Devices",2010-07-21,,rpm,5709056,42acb46453c6158b402ac0c97bec7dc8,aefaf0e561c06fb068ed5d8e94aa3ddb89d824a9,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for Juniper Secure Access Devices",2011-05-22,,rpm,6841009,23f814dc5430b4fb4410a274c653450d,fdaff9ff21076ef6d4051379927d5f4bb3bc425c,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for Juniper Steel Belted Radius Devices",2011-07-13,,rpm,6264530,5422c04cdfbca62fd0d9bc8cb42623eb,cf9108d9a88a05c7b36030cab7293c6fd02be74b,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for Juniper netscreen NSM Devices",2011-12-21,,rpm,2029178,1d33dca000589df991f1c92e729918c9,2dcdc063b44ab849032d89cf45890ad3c64fa797,,
"Security Threat Response Manager",2009.1,"Device Support Module (DSM) for non-Juniper Devices",2011-07-13,,tar_bz2,556727242,9f351c4af773f116f56b40be58e2acab,e01c932c26a4189b8b1644a632ccea636578aba8,,
"Security Threat Response Manager",2009.1,"IBM RACF",2009-10-22,,zip,136423,55e31fbfa600e5e24ccc9a0d9dcbcdca,fcc9d6461c6d5d2b4036b63732645c22094ec45e,,
"Security Threat Response Manager",2009.1,"Juniper STRM auto-update",2014-03-03,,tgz,978482941,e45c0741b2c93276845b00a3b7ccde25,d129a38463d0db1bc68bfb7e02193692e1a7fcf9,,
"Security Threat Response Manager",2009.1,"Oracle Audit records",2009-10-22,,zip,2986,41450ac3ddef548357b7aca1ec7ca477,213cdc333f1c035ce95b5dd29e4b282be8841c2d,,
"Security Threat Response Manager",2009.1,"Oracle DB Listener Script",2009-10-22,,txt,12201,29ae2c5e01c62c609007ef6296054222,1eb090d924fcbaca56f1a65f3eadd1d3cbd5f7e6,,
"Security Threat Response Manager",2009.1,"Protocol Common",2012-03-08,,rpm,6245032,6bf4657b884570eca3841b2fe6544136,74f5f09fc8ffc3d8ec3de31cacd8cb8131e684c7,,
"Security Threat Response Manager",2009.1,"Protocol PCAP",2012-03-08,,rpm,6180522,08512033d52fb674ec8c18993f046d59,c5e9e1ae7686c9b5fbd5606af053113c6140492f,,
"Security Threat Response Manager",2009.1,"Required patch 1 for STRM 2009.1",2010-10-05,,bz2,32621547,409682976d1ed4647093908c376d8b72,dc0eb65c905b1222cba5407bd56d917571a24fdf,,
"Security Threat Response Manager",2009.1,"Required patch 2 for STRM 2009.1",2010-10-05,,bz2,41356828,19df2449c59cebd060262da6dde56380,3165f735b2d69298434f9bc2b14f867f0439c49a,,
"Security Threat Response Manager",2009.1,"Required patch 3 for STRM 2009.1",2010-05-06,,bz2,59972182,3baa26348c3ead2684f600f6c4055f89,01bd169f97f693910b009267b4c01f067b364194,,
"Security Threat Response Manager",2009.1,"Required patch 4 for STRM 2009.1",2010-05-06,,bz2,115721971,7b872858744975670e2d89208327e01e,1600b2ead0fabe668a5be1b0ed5876711d2331a1,,
"Security Threat Response Manager",2009.1,"Required patch 5 for STRM 2009.1",2010-08-19,,bz2,130442887,a1320964a084cd05bb565e3660ae66e9,a50ece263a9854ca1c03aed69ad068982551cd1d,,
"Security Threat Response Manager",2009.1,"Restore partition  script",2010-08-02,,bz2,6064,1e0bca6adaee0c66851bfac45dfd8d3d,6246b5a5c402771c5894c019ac0fa4d6fa294a65,,
