OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Service Automation",1.3R1,"AI-Scripts Install Package",2009-01-16,,tgz,211919,ce1739abeb04091553be216c1a7ef185,de3685041d8aed840208c56cd45b2399e4a5dcf2,,
"Service Automation",1.3R1,"Advanced Insight Manager Red Hat Enterprise Edition Linux",2009-01-16,,tgz,290129920,f5af0b756a342fe2a06d3bf7dd999f35,53b1675a2e6b5966109882ee0e922e4f9d09e0ca,,
"Service Automation",1.3R1,"Advanced Insight Manager Sun Solaris",2009-01-16,,tgz,300021760,a55389f1e4255fc5f941b7fec3fc87d6,c6b9fe032814f7b5b873ffb02176af432f30e5a4,,
"Service Automation",1.3R2,"AI-Scripts Install Package",2009-02-18,,tgz,203969,2e186d3bfa5cdc1a556a111372b3a914,1a6668247dfcdb9a5a11f1840ef5bb79edcfc588,,
"Service Automation",1.3R2,"Advanced Insight Manager Red Hat Enterprise Edition Linux",2009-07-09,,tgz,289393163,cfd10826b680ff25aa910a4df75ae183,5111c373f2576e51222c12d907a5e1e77c85a2c6,,
"Service Automation",1.3R2,"Advanced Insight Manager Sun Solaris",2009-07-08,,bin,327161051,aa3da65ef627309bfa464ace7b06478a,d1643f7c1381467c01ae5d5b123f16fe15f223a6,,
"Service Automation",1.3R3,"AI-Scripts Install Package",2009-06-05,,tgz,213694,8a17e980721b1edffcddc1def7968292,47543cc1d22805bf50ca2a14fe702e0488a3343f,,
"Service Automation",1.4R1,"Advanced Insight Manager Red Hat Enterprise Edition Linux",2010-02-08,,tgz,289523179,ebb233063eab80c02e0d2e7e833e2eb6,2bbea3d25a81c4318eb0d594271fe3e387ff99dd,,
"Service Automation",1.4R1,"Advanced Insight Manager Sun Solaris",2010-02-08,,bin,327371719,9a6cab837ad730f0ee59e21c277b1627,e257a2a6bd322d95b7e2cf2299a044694c31b601,,
"Service Automation",14.1R1,"Junos Space Service Now / Service Insight Image",2014-08-22,,img,63888292,41399b869e2ebf6287c58d87c3f6339a,4ea598a11be751900137a65a62ca54d38ed5896e,,
"Service Automation",14.1R2,"Junos Space Service Now / Service Insight Image",2014-11-11,,img,64367031,2cea79f123efdfe893d2edacd45693dd,ba9c21159738eff31f51614d4219016be15ce7d8,,
"Service Automation",14.1R3,"Junos Space Service Now / Service Insight Image",2015-01-29,,img,64135019,03b4f78e3efd1b1e0c1c7ec344737194,404107a66604440e6c3a9584bd07aab90024b61c,,
"Service Automation",14.1R4,"Junos Space Service Now - Service Insight Image",2015-07-27,,img,64274754,ec4c26e2a7449a554ad472f0965dd1b2,04a398e60947cfc07ce69c96090f8f7e71cafaf9,,
"Service Automation",2.0R1,"AI-Scripts Install Package",2009-06-05,,tgz,232741,8bc47e35e95427c5b1d15422e7042855,f2e2ecdee90349a7d62b0445a6ee5110fa103179,,
