OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
SmartPass,7.0.4.2,"SmartPass Version 7.0 (MR1)",2011-05-12,,zip,74743735,55432be883a19298c0b41cd270da285f,ed3c0246ab8f07ef37c686c05d4654e00c5df14e,,
SmartPass,7.0.6.3,"SmartPass Version 7.0 (MR2)",2011-05-12,,zip,75140851,b6668fb522380847bfb1e122260cbdc1,1f90b28b28111543cede4acde2344f5555418aed,,
SmartPass,7.1.2.3,"SmartPass Version 7.1 (MR1)",2011-05-10,,zip,82043744,3cf542fe9dc63dbd375b15ad63476f1d,067b5ed17baa09ad83717f9749139dcf9e9bc119,,
SmartPass,7.1.2.3,"SmartPass Version 7.1 (MR1)",2011-05-10,,zip,94859700,e5ef256d5449938f29dd2935f3418689,d8e38741dd07f884a6f88db297fb32f840b947a6,,
SmartPass,7.4.2.2,"SmartPass Version 7.4 (MR2)",2011-05-10,,zip,159697132,32d7ce80bc8afc04184c066563011864,1049b974c4c64714049a577ac438585900c0fd27,,
SmartPass,7.4.2.2,"SmartPass Version 7.4 (MR2)",2011-05-10,,zip,172558136,032430d656eae468e382d378280f6287,bd42af813d21e86a3198f8cfdf669ccc4369c08b,,
SmartPass,7.4.4.1,"SmartPass Version 7.4 (MR4)",2011-05-10,,zip,159818270,1549ab41e2800f5005b0cf75017c2d5d,1a8a32a1c0d87ef37c5db11687263c21ac9901e2,,
SmartPass,7.4.4.1,"SmartPass Version 7.4 (MR4)",2011-05-10,,zip,172611118,5a16c6fafeca47b7bbc29fe6aba03a85,39ddae27ae0b5d1f1b80626badf5de397c7489d7,,
SmartPass,7.6.1.2,"SmartPass Version 7.6 (FRS)",2011-11-09,,zip,162310212,ec1070a33255990a4ca51028177d1fc4,c05445e37af452bb735b950ba974811b7c3bd266,,
SmartPass,7.6.1.2,"SmartPass Version 7.6 (FRS)",2011-11-09,,zip,175099619,3fdb7d9f8665b306da5916714b32f15a,df2a6898450692be993c4bec55939edec00860d2,,
