OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"TCA OS",1.1.2-1,"Cern/BT-Series Install Package",2011-07-18,,zip,13932206,cd59171387c15876906d3113d6f6093c,4bc7001dbafcf10e77e1240725bb4dd47e9d0e07,,
"TCA OS",2.4.0-9,"Cern/BT-Series Install Package",2011-07-18,,zip,32817575,444eddaec613c29904e900761071bfef,b9c6f4d83fb598ee4c8d4543e22f1d55ac42e4db,,
"TCA OS",3.2.2-1,"TCA8K/6K-Release Notes",2014-04-03,,pdf,93501,55a076926c0e8dd40807b4397a4e2095,d4c2a65b6a2e0913ae0e61d214c06b3b65bdcf87,,
"TCA OS",3.2.2-1,"TCA8K/6K-Series Install Package",2014-04-03,,zip,33675781,80fddb59fbe44470e7b56e841f6e2862,b567a5c080e93959b887c3cd5936117208d87b28,,
"TCA OS",3.3.0-3,"TCA8K/6K-Series Install Package",2014-12-18,,zip,34526293,206f42f4163cb626e565956d04202a0b,baedf6e9ce7d6041fe62d1ba03a70f99d3efd972,,
"TCA OS",3.3.1-1,"TCA8K-Series Install Package",2014-12-18,,zip,17760331,4a96de763fefd8637737ed11a937295d,17d60bef3c2a206c458bdf800a20434d77bf408c,,
"TCA OS",3.4.0-4,"TCA8K/6K-Series Install Package",2014-12-18,,zip,35997315,a5b9e1ab092ada2dbe9b66541579bf80,db4db386a37551afbff715ebc546e74c975d59e8,,
"TCA OS",3.4.2,"TCA8K/6K-Series Install Package",2015-07-08,,zip,35949204,9793e3f75a1b76971edcb1099a059cb8,9c181f5a3509fc62ce0654499aa6e7a633ca666d,,
"TCA OS",3.5.1,"TCA8K/6K-Series Install Package",2015-07-08,,zip,37703877,300f41f34d1a7ae6f89cf03e14e27a98,4f589cded850d1938f394fe3bc951324b7b62434,,
"TCA OS",3.6.0,"TCA8K/6K-Series Install Package",2015-09-04,,zip,37757120,8db363a66236fc21329ca2a8a0e3c27c,fea1cdf7256825d78150cc02bd73183a164c879f,,
"TCA OS",3.6.1-3,"TCA8K/6K-Series Install Package",2016-10-24,,zip,39284954,d52d06cf34935503e313000afc3cfa4a,a9efcb9ab1f07200b538ce214a111e519db6dd19,,
"TCA OS",3.7.0R3,TCA8K/6K-Series,2017-03-03,,zip,40097754,5d78575e56ff88e65d094c7b12c9980e,f6d7f8b5c90fc547f24bee2bfb0b4af8990ce7ca,,
"TCA OS",3.8.0R7,TCA8K/6K-Series,2017-10-06,,zip,35523795,0f35c1c3670bbd3d09c19fc45ce15fc0,f3f66fb395ad749414ecfe52a8fc20ca0afda353,,
"TCA OS",3.9.0R10,Worldwide,2018-01-23,,zip,33035748,41d9261aa8572db908fffb4356c90304,2b7a55be03611c5539a6a03c74014ad2986710d6,,
