OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
UMSP,1.0.1.2,"UMSP Version 1.0.1.2.0 (FRS) for SMSP",2011-10-18,,zip,210687550,45c244c04532e1f8b55f6c676fe41054,a5d720023b075eb2a2aeb17b66103593b241d3ad,,
UMSP,7.5.0.1,"UMSP Version 7.5 (FRS) for LA-200",2011-10-18,,zip,749354245,67d8f2f3bafc78eb07163ad4f3bd7964,16e3c4538e899be93d5dbb3791dc9d70701e7903,,
UMSP,7.5.1.2,"UMSP Version 7.5 (FRS) for SmartPass",2011-10-18,,zip,228610697,c2d61b6cf3fd1f25681d8849696353cf,4b4bf49562de2b7a476630953ca79fd496005d6e,,
UMSP,7.5.1.4,"UMSP Version 7.5 (FRS) for RM-200",2011-10-18,,zip,220445776,48ad91a1a288c4b3e2832ebad20a2888,157be74b7c12059a2c4eab6faab58d87001a447a,,
UMSP,7.6.1.2,"UMSP Version 7.6 (FRS) for SP-200",2011-11-09,,zip,220579111,e7f4927c3eecc76a57e727f90163ecfd,2dd3840b0c1e7cf64fa0529bd0d63f6d20aff2d0,,
UMSP,7.6.1.3,"UMSP Version 7.6 (FRS) for RM-200",2011-11-09,,zip,441384792,9b9f018aa06a577dccbef3ff0eb54687,f45122a975694a1387f5d2869a90e0b779effc0c,,
UMSP,7.6.2.1,"UMSP Version 7.6 (MR1) for RM-200",2012-06-04,,zip,251670539,4130ef3b28cb7a75ca29378982a0fe64,f327e7a0f68f27c409057c5867fb66c4a1f4075e,,
UMSP,7.6.2.1,"UMSP Version 7.6 (MR1) for SP-200",2012-06-04,,zip,228901197,6d3befa444883ed6da2448e41d548150,412006b35af50573900e50035c6501fd88c39c69,,
UMSP,7.6.3.2,"UMSP Version 7.6 (MR2) for SP-200",2012-06-07,,zip,229090887,a89582f25bf0e062f6c6e26c9099a87d,dbdc8dac2b80eecccd3bebb30635effd1fe7ef8c,,
UMSP,7.6.3.3,"UMSP Version 7.6 (MR2) for RM-200",2012-06-07,,zip,221039774,cec48c045f2d0e07c5801ba222720e08,bf0b4a6a6fbfdcb0e4112a2a2945adabb47589bb,,
UMSP,7.7.0.7,"UMSP Version 7.7 (FRS) for LA-200",2012-05-16,,zip,729334673,a4ee040ff996a8c6c3e13f1a0b3cb3e0,26e894f754df81d26bd821124222223af2d0b3b8,,
UMSP,7.7.1.2,"UMSP Version 7.7 (FRS) for SP-200",2012-05-16,,zip,221376986,cf8c4f0e6dff737421e8c23467c2089d,7c2d54f2d16bd18b2796c2bf57a9b6d48ec02c70,,
UMSP,7.7.1.3,"UMSP Version 7.7 (FRS) for RM-200",2012-05-16,,zip,244299691,dce9bf23efd918e59bf451203db168cb,4875660694ef68c63504467fef65724e58b3760c,,
UMSP,7.7.2.3,"UMSP Version 7.7 (MR2) for RM-200",2012-10-11,,zip,221857518,778d2f7e99cc54e5f74b9d713575e615,7107b3eea6c6eb3d244f3a721b4f52f52a8fa67d,,
UMSP,7.7.2.4,"UMSP Version 7.7 (MR2) for SP-200",2012-10-19,,zip,221423690,62dd553f8b4dcf99eed68fd023e0b9a0,b9a2a8fa692ed598c01902974c8cc84ea9e4309d,,
UMSP,7.7.3.1,"UMSP Version 7.7 (MR3) for RM-200",2013-02-25,,zip,221874838,9e5953404f0724c4598a9c41ed263307,758652f6983f656f0c986655fae14f0451d7ee95,,
UMSP,7.7.3.1,"UMSP Version 7.7 (MR3) for SP-200",2013-02-25,,zip,221442611,266cb9e8ebef485c81d4489deeefb405,d745d89b835aa060c140c7abb01a367217ca6552,,
UMSP,7.7.4.1,"UMSP Version 7.7 (MR4) for RM-200",2013-06-12,,zip,221865556,0c60ac57e591e8bc4534119d45b29ff0,32f2c1d82f6fd6b5ef5a7285e8d1d1cc85fdc8f3,,
UMSP,7.7.4.1,"UMSP Version 7.7 (MR4) for SP-200",2013-06-12,,zip,221473794,f04256cc3bff5d2d613364c2887ac623,767ab0d415c262e30ad3bb664c6f94c32d89ee93,,
UMSP,8.0.1.2,"UMSP Version 8.0 (FRS) for SP-200",2012-09-06,,zip,221384822,13ddeace43e1aa2f9a0e1ead12c3bbe0,008c10394c7dc80393b701bbd62eb5e30f5cde55,,
UMSP,8.0.1.5,"UMSP Version 8.0 (FRS) for RM-200",2012-09-06,,zip,244617964,043b64bce1832db064089a314bba9de4,9fa42efb238b1ca31ffcdd8ecc66412f52863b89,,
UMSP,8.0.2.1,"UMSP Version 8.0 (MR1) for RM-200",2012-11-15,,zip,221995569,022f7ab4ffa297f750427c7a2835a133,3012dd3a2e5359af4fe4fc5af3a1f52e66bed83c,,
UMSP,8.0.2.1,"UMSP Version 8.0 (MR1) for SP-200",2012-11-15,,zip,221376155,d9334736656b0841bbd23fa3c889d6a9,a3d2b286d294f3d15d84d9655e69506e6b95fc59,,
UMSP,8.0.3.1,"UMSP Version 8.0 (MR2) for SP-200",2013-06-12,,zip,221399856,85dc2a99a42ff6bcad1a997c129f84ee,ad09d55cf3a143391e494f38b8e7162cfa43e3a1,,
UMSP,8.0.3.2,"UMSP Version 8.0 (MR2) for RM-200",2013-06-12,,zip,222030248,b6e8b374045a39cccc44aae3465cd785,84a73c37d2b60c46324106220ed1cdd47f282efc,,
UMSP,8.0.4.2,"UMSP Version 8.0 (MR3) for RM-200",2014-05-23,,zip,222019288,5429a390f01f18bc41adfcf487ec59e0,89f47dde76d3d7281039d935926b11224639f172,,
