OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
VMX,1.0,"vMX Security Key",2017-06-09,,txt,1320,eb489fa8d64da28744bf6aeb9a33ef29,62cdd081b83506185d6faacf69327065b666c27a,,
VMX,15.1F3,"vMX Security Key",2015-10-29,,asc,1319,807b8513937a9624f8048a49c73b5fb0,94b3ad31b0b082859bb3800c310ab0c356751565,,
VMX,15.1F4,"vMX Security Key",2015-10-29,,asc,1319,807b8513937a9624f8048a49c73b5fb0,94b3ad31b0b082859bb3800c310ab0c356751565,,
VMX,15.1F6,"vMX Security Key",2015-10-29,,asc,1319,807b8513937a9624f8048a49c73b5fb0,94b3ad31b0b082859bb3800c310ab0c356751565,,
VMX,21.2R1,ESXi,2021-06-30,,tgz,1057451701,2a0e245bebd363e6df3358f04f4e2904,83313fdc07ba1d93262c3498775c61f3cc947a3f,60380b3cb28406b746fe94616e69e39ef5914e1d5d467a88fef29170b01bb55b,3869837ee2e5b3717047c91b09b6bace80d029180a74fd3259b579d99a83396a96d99a59c23f6fd4c3a53666d53f28da1cecf0c61492ddaf3d4c3c58f5ed3cdc
VMX,21.2R1,KVM,2021-06-30,,tgz,1058244583,81e94f06f2a2df59333a8e35688d800a,05407a9ff854cacbf5f9626b09496cffd0fe9358,20be4559c1729992c35b46b5652aec0187e1c89ecf11224f178b4bb824df1dd7,72761473b319d57a535446f20f094c292f07b226722e146777c2ca3a76ca268e19a014d50f1ef5bb74dfe4b7d94c9073d838611ca79eb91d89ee0eeeffc43206
VMX,21.2R1,"Limited - KVM",2021-06-30,,tgz,1035572399,39a54e5e714a2766b530377a77ae85c9,6ec98c6107d3bbf487fb15271925d60abfdf5016,ef1ee70004e74f1e41be0dff86539509c29ebf792603e96a58cf17405f810050,2fc2349fba199225b791f8d092e2e5e8a031e4095abdc7ddb1562cc94e47957a977d603dacb3b9b9d7a9f9c1137bf9c0fbe1a39c5568f6647498d817b1d2e22d
VMX,21.2R1,"Limited - vMX ESXi",2021-06-30,,tgz,1034734280,5bc7a1544874c39b3e8beb2929cc6d17,5c83761ec59aa8344dc9287bd45462dd21266f93,ccfb7372d40728b762403a667b75b276c0b2e04052a821335fa45a957c9ada24,0a8f56eed763de8e0ab2db3b03f9ba5daa1f9ca2a7abdd9b6bdf084370881f756e1853dafa16865f5eb67d0ad81eba397386fef79c3d2187a86a9cf0e37c146e
VMX,21.2R2,ESXi,2021-11-16,,tgz,1057041475,e4c11ccc509d88cb1b33355eacd750d8,0ec6065365f77204430624ce4a59f72b76097396,23f0fdf0c835a55ec6126991b8c91db3312fb5d1a8f10f2b3ad3b24932a9afef,81110549655da57b7d861f1f6974e456f981c17dff43c5828f81c5b7e102c6a6d557b05dc00491b050da252d9bdc9324e6df0b98178365bad46d21d0eef3fe2b
VMX,21.2R2,KVM,2021-11-16,,tgz,1057841401,ad824966c98aacab3b98281addae9792,d3e2257a675b53d8b4d0ff0aaf7d9642aaeb8b9b,4b016fa9f31f2fb8c87eb2f1110f100984e2547366d4d73b77f6e0153a3d370b,2ed7c32a3947a0a99c3eb6d4ea86787d8c3d0eb2f6f3d9dab167ba617d0e94607c23f7560d1a326a954a0911caf0b208a3db3504701b114ad3fc54dbc9db74ca
VMX,21.2R2,"Limited - KVM",2021-11-16,,tgz,1035103054,9516647aa43e2ab1b54a1d5a765f2276,6c1709f3ea08e7ccaa688c5255be105c517d9f7e,b44f01c5a820448047560a0133ea5c25459097b6a9b7943d98d48175c2c03b7e,192556426f198c84860ce0b25bca152fcb16d3f7a690d547311a144d3768e2ac83e8069a509ba6638a3f184d410efc72d6fecccdf0eaad139b3e45b5290ac910
