OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"Virtual Route Reflector",14.1R4,"Virtual Route Reflector",2015-02-11,,img,513409024,4690abba5feb4ab14deec8bfeae77196,f960bb4250434413bd48a68f1bcad4d24e4136cc,,
"Virtual Route Reflector",14.2R1,"Virtual Route Reflector",2014-11-07,,img,531955712,45c6de107b71ae5ac47a539553ab9c85,e9f56a585ab885311271229785603d42fb074c31,,
"Virtual Route Reflector",14.2R2,"Virtual Route Reflector",2015-01-29,,img,533135360,d167907ab075121ff83c69c1725af9fe,882ab6026a4b4934612d00c8ee1f7c9546bce231,,
"Virtual Route Reflector",14.2R3,"Virtual Route Reflector",2015-05-15,,img,546766848,561766cb36d829b25bad7cb669b86e23,df49ede23a07e0a2ecc012b19406591bd5603764,,
"Virtual Route Reflector",21.2R1,"KVM and Openstack",2021-06-29,,tgz,2291463127,466a5b4135f4c5c35962e58ca46d0399,11cef85af0d55babe981e435e0b9cccbfcdd6592,e02a0208b79e3893198599338c41813b243845dced0037635805620fdefd0670,2dba41a731dd49920d7abf9360b15352666ca08481b44476cc0647fb3f902a7b4cf508d3e5431d4bf8cd14a944a64cd61ccf3a46aedd50b5c3fdb20f89f2ed3c
"Virtual Route Reflector",21.2R1,"Unified Package",2021-06-29,,vmdk,5090754560,2c8a77bdb502e0355535f2f6600f7cf5,6a85e1501c8c4d52e8219a169b85e88ed452a662,13fed8ebc03b2fa97e89794e288b69764e9981d6b8a714e8a1f0aa6b93f185c9,8b646573928ee5a8d0e54d1726dcdbbbceb4bffe6c6f41638d6464be750bdfd718d01a2e36ebe492d67317b596f82908e1294f3492cf1a099b09f26103656525
"Virtual Route Reflector",21.2R1,"VMWARE ESXi",2021-06-29,,ova,4988483584,241416c82d47a3c67640ee41c4838fbf,47a1bf32513d7a9bad081519772db9ce307be589,9b805db065d0828de8c50d761bf88bc96a3a70d59e8abb2d012bed168a7b3ec4,754ca9ce248b57e4049677087c5c55f0cb09dac4640dcde7ff641651000f643ea43e5b359eabb3f286557899402085f7eba27d40f792a9b43a985e6589a80687
"Virtual Route Reflector",21.2R2,"KVM and Openstack",2021-11-16,,tgz,2292367862,79708d2c2ff0924d44f2cef22a75f788,bedb6e760f209dc72a03528301f32c978db61c8a,d203c272c48f19bea8952692b0a3d047a710a6b376d9ebb25ef0279d0311dc9f,7cf84fb8f8ba8b737a5706fcf5b04e6c827f5bd1f3897c4f65cdb8c6530dfcc32a56d0761b01a9a27e001382505a0f91a4aba89f042a9b03927732838c7667dd
"Virtual Route Reflector",21.2R2,"Unified Package",2021-11-16,,vmdk,5086674944,8cb77bc89ddd1f46812836a88ddb3a58,7571bbeaa9fa0af8329aec845be0ff1c35bcc83e,ef8e9eee739c2bae2792a5880e7fbf9947ddc26631b5f96253b5b411f7dda6e4,77b511e55c52f0758f4346f9ac233b9c8a39ad3e6a1cf118883bafa1f989929dc9bfcf75d7f8c383e5d2b6790b890684c446c34f86b5865ad68f8427cbc7df12
"Virtual Route Reflector",21.2R2,"VMWARE ESXi",2021-11-16,,ova,4984299008,ad45cc0713a98063b80eced9db478400,47318e2759bbfe4a8d9f2bac13bdb1aae413410e,45749615c42862111f2a0ae13cbc0f1b971a6e560410e59cd5f92477542a68d4,a83aa137cbb8edf4935eacd29722e988bd021662c234076261849792b60589e894f85288bab790b863004b23f8844d8f53cf41e6bd7da47114c0f84e89a6e4c1
"Virtual Route Reflector",21.2R3,"KVM and Openstack",2022-03-29,,tgz,2297744373,886f25ab6a45156c0d50b4aa8d84ffc7,b32cdeb7f1d1256605d14042d34cb304338b2e01,990ac31b8343ecce6da534e61bf3de81ea1bc2fa0913b03629059413e4c55ad9,c09a59a902c7954eb5bafd65acc9316716dff0738f9e04bfee9107eaa0e3535e566c991dd2c68791ad7c4280e3aefea1dd4ea321556401c0fa8177caad5b85cf
"Virtual Route Reflector",21.2R3,"Unified Package",2022-03-29,,vmdk,5097734144,e434d146347682dea628047442e775db,27683da1a3444f028de83d901636d31b63b4af3b,e8c10ff97bac7913f84180f0268cd70d8a51e4bca5c02f95b2f09fa63eb88dbd,e56afb46d6d1817aca4d9bd07bc8103aebad7adc5c3da0c5ce3565dbd121d90f0b2cf532758c87fafc9ef2eececcd390d59e52bc1200017b948c54de20b08505
"Virtual Route Reflector",21.2R3,"VMWARE ESXi",2022-03-29,,ova,4995737600,bf1ce13e3e0642f56896fa2cbb118e9e,94ffb6b52efc7e02196d3ae1543ead3bf290f566,0779d5a2a9e77e5a9912d9317abdaa91ea4a823148dd2f0462eb3c95d8fef63f,138e8e72195026a3169862333b305a85481fd8b5d5e4bfe05d8a58917ee7db6dbc0fc25e8b6021b2b7a99d21a14ac8eb64aab1fa2f4e754a43b7b708e96dc4c1
"Virtual Route Reflector",21.4R1,"KVM and Openstack",2021-12-20,,tgz,2173521893,b6f486e1d5e52da8ae980d276330d9c3,2c1efcf7436cf8efaa5b5e9370ad7a40bb384b0a,2449ffd6c21e3056615e6acdb6d4840827181f535a5dff8aae522d86d5e99a4b,93245f7e44adc6e62035d0eade3ff0a594ade8d28f984ce9995d63e5d9289b8a8b5a25e8d08639bd919b8361cc506b04b6e3854d373f19939954f6d74be43407
"Virtual Route Reflector",21.4R1,"Unified Package",2021-12-20,,vmdk,4993318912,4c016e0b4fc3e5cf80113820485ae869,b82a401c90ece60cac1c646ea62d7e765fce06a5,7fd6740878a1f08776df77ca7e16c0e58a1f91b8a33bf48edae565eef908ad91,b4962008205e823b24b4351168b84ceeda08183a799e4384858e94e29cb602cb98b62f81e28d5671f77ae319489d6ad17653f6aa33df217e74d8b2e381ad79fe
"Virtual Route Reflector",21.4R1,"VMWARE ESXi",2021-12-20,,ova,4890006016,29f087f971f7d70d2926ffd762eb8d3a,1362503290cfa7009bc5febc9e8b78b1c1a433c1,3baee964596c89adf0dd87eb908bab75a8f12fdff3fa16f89001e0fc2648e976,e5ae5c7438bb2c454a0a3d5e7d2253b3aaad7d0bb2a1f133dade3e4fb18d843afbcd24a4f2d0a9483f4840f10e606ffedb70ce5b6bcdae62b8c957dd6bea9757
"Virtual Route Reflector",21.4R2,"KVM and Openstack",2022-05-27,,tgz,2177630034,889a7fb1a7650081627921508063522c,d962dc9a7334aa9ace79ff66de0137fbcf470ae4,b5571ae3b23bc7c8f02da12c02447bc36642397ad782845d4955f997b5210856,9130225be4a6556fa3dc0b0e117b139b3611436bb38b5f3568f722dc0e5665b9aceb6bc628ac72bbe65716e3891149df24b1f30048d6eec8de13dcb94b726f52
"Virtual Route Reflector",21.4R2,"Unified Package",2022-05-27,,vmdk,4830314496,58ced1ed2416820a32e978746907e5a0,a319c6ba7e956da5708bc02b88ed88ec7bd986b9,12a0d4f006972c82f7cf9dd16657501dca97ffc5e6a0ac8533c22849a27f71e5,375347cd6e4fc23b0e61acc7f0acdb297c73f9913fa2e40f49f515eba742e4cd46739db9cc64edb89d02dfea27952d937f5680ec009019505903644a4a03c8ed
"Virtual Route Reflector",21.4R2,"VMWARE ESXi",2022-05-27,,ova,4725989888,ce5dd2652092c5276fb4122ee0fd9bd9,e3c66c542afbe20bc8320236d6af30607698cf30,3d97becfc7c1b795aae932c510a8ebd5792edb4e71765c2f43e32ed7ae8fb4c2,10b6efcdf99cafb3a0c9addfc23b21ac3e5c9c07690f2ff0d7db220c39df77558bf0017535a38a8a0610fd6b9b2e298fc303b80d4a0a34323189a0f06a33da30
"Virtual Route Reflector",21.4R3,"KVM and Openstack",2022-09-09,,tgz,2181398762,e237d20cb9436657acee5aa4f335ade3,f94502ae8334b261dd23851746c1be510f082178,bfe965fd83c8b440252a5b5ff7509f943d9434c4b5abd10f19541884c954e9df,d8de476900cd39eb6982a3a55b96a56eff620b2ed4a864f81fea02c69580eec0d27530cde78abb47cc9192058538bf23135cf8a046a1f536eb0f82732dd85df8
"Virtual Route Reflector",21.4R3,"Unified Package",2022-09-09,,vmdk,4838457344,78120fcc9e534d7df4c1d3c8a2d54228,8e616674033ae581a26c52371ab09961354e8fe1,0e23950e316f392cb37e7625b335d566fecc1d0bb51f77ab8716c60377868cf2,dac31a753326ac62bded586076c015d59e15288be1811d9332d27924c3d3695e164214165b8bad486700cdb4f1376c69c4d1e783f0d1a528fb00b3f8c6f11fa9
"Virtual Route Reflector",21.4R3,"VMWARE ESXi",2022-09-09,,ova,4734291968,291a8fa82d9292dbc97ea2056244d28c,e61b7c8617754f4caa459e573222bb298cd6f31a,0f440eb1c06ba5348f0b0c41a958c0ece497ee1e442d7d588826cd317a635d13,7300a34ab079a523e609c675a61bdd026b95b1c2a45fdd0e2f49606b0347406d676645a519cf9cfc0f7e010f390e12d13670536dc1e10283cc1ccecebefabec4
"Virtual Route Reflector",22.1R1,"KVM and Openstack",2022-03-24,,tgz,2148992728,dbb2b2bb097509f3d4c9b9bfaaef53c4,cf29a56d94e0218b0bf4a87a58772649c8c6adda,c73e72a51ad52ca786e0dbe7b3e92bcc59af2aac6638c636e648b70fd711f5a9,619b5d52a25bea475d2c0bc3d485607aed1c30ccdcd0420cb0c73fee5c9665355398f7e4a177ec2be472d93ec1172b470df1f332e95a320d61bc2fbc5bfa391b
"Virtual Route Reflector",22.1R1,"Unified Package",2022-03-24,,vmdk,5513773056,3244c4acac347b4de65b52a47903a896,8ad60587177d99ea7628ddc5aebbebd1b77a077b,7b8a19b1f4ed4bc8757152caae5fd896de8db6fffa778c523875f4fc762401f4,fc2f4cb27ff855c334ee07b63082a0e9829df652b3e70342190a97ae251d4d1719b14e88be9883f74267065802f574433d0fda4dd4a06b06a22e4f39a5145788
"Virtual Route Reflector",22.1R1,"VMWARE ESXi",2022-03-24,,ova,5410358784,f2164be34f8920b86e49356ff305a52e,a1fde5703f6192d44c17de270b1839f488f48af7,1090b0a2a3ea80970b646808eaf4eb04fd807abe6fd91ef3bcc90bed31c5d3f8,95a36136d1d41759130f73064348942426708ba47ad275295655e6fa4016f46868a5e70b19f951f4b40051de31aa18ef4eb5e8bf589c202edc127e8db112cc66
