OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"WEBAPP SECURE",5.0.0,VMWare,2013-10-01,,ova,1443804672,0dd6de4db6b72c05f8f452a8bf68acad,9ea8b221b4d889c0787569f916329fee1987cd2d,,
"WEBAPP SECURE",5.1.0,"Upgrade File",2013-10-04,,tar,501043200,2ff00c7d065833dff694df4fe9d914e8,b3d9b448acfff509243c88afefad1110769e7439,,
"WEBAPP SECURE",5.1.3-24,"Upgrade File",2014-02-26,,ova,1088528896,645a47a456a8f0c663a0bad88348b52c,4409c0684d78ea5797cde20e6fc72d30ee015122,,
"WEBAPP SECURE",5.1.3-24,"Upgrade File",2014-02-26,,tar,529100800,2410bffdda9485f23f2d58211141e069,a66389dec94e51d86f1049e48df74f31637f2627,,
"WEBAPP SECURE",5.1.3-24,"Upgrade File",2014-02-26,,tar,529100800,2410bffdda9485f23f2d58211141e069,a66389dec94e51d86f1049e48df74f31637f2627,,
"WEBAPP SECURE",5.1.3-30,"Upgrade File",2014-04-10,,tar,529326080,c7620ef48ed7051749d4b57ca979002f,13ce90c5b657cd3a4a612a356326b2ca7d2a739e,,
"WEBAPP SECURE",5.1.3-30,"Upgrade File",2014-04-10,,tar,529326080,c7620ef48ed7051749d4b57ca979002f,13ce90c5b657cd3a4a612a356326b2ca7d2a739e,,
"WEBAPP SECURE",5.1.3-32,"Upgrade File",2014-06-11,,tar,530742272,e0a19afc8ed0928c9f76240998f5b45e,40f7562178e6f7e04de45dd8e6884ebe3d5fd089,,
"WEBAPP SECURE",5.1.3-32,VMWare,2014-06-11,,tar,530742272,e0a19afc8ed0928c9f76240998f5b45e,40f7562178e6f7e04de45dd8e6884ebe3d5fd089,,
"WEBAPP SECURE",5.5.0-6,"Juniper WebApp Secure, Ver 5.5.0-6, .tar upgrade file",2014-07-15,,tar,557537280,a15a529697227741ddf4b0318c203ad5,75b72de3bfcf0dab2b371498ae9dc8c354536d75,,
"WEBAPP SECURE",5.5.0-6,"Juniper WebApp Secure, Ver 5.5.0-6, .tar upgrade file",2014-07-15,,tar,557537280,a15a529697227741ddf4b0318c203ad5,75b72de3bfcf0dab2b371498ae9dc8c354536d75,,
"WEBAPP SECURE",5.5.0-6,"Juniper WebApp Secure, Ver 5.5.0-6, VMWare (.ova) image",2014-07-15,,ova,812655616,1f7d77b5edb34ec19b3fd84d9ea5acfc,7c3b5dbcf09a38b2ae3619e784bc3fba0e57f67f,,
"WEBAPP SECURE",5.6.0-5,"Juniper WebApp Secure, Ver 5.6.0-5, .tar upgrade file",2015-01-29,,tar,584913408,9a4beb2ad2aeb4235b3390eed540f8e8,e7d5687c46d1b6c68e48d76d2127ddc494d5a90e,,
"WEBAPP SECURE",5.6.0-5,"Juniper WebApp Secure, Ver 5.6.0-5, VMWare (.ova) image",2015-01-29,,ova,828278272,3af69a36d24b598cbab2dac8520fdd7d,162624e225cc3789ccc990408bef2fdb73545e96,,
