OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
cRPD,21.2R1,"Docker Tarball",2021-06-29,,tgz,127066581,5ddcb281e9a638370d8be953efc3ba2c,dfa48860e8d68addcf56b3c63541214ecb920c8d,ee60c5440e18f3aa535a20baef804dfc99fc0ef8369f7b920b5fc559a2693ddd,dc2516bd918bdb8bd248c61993beda23a53bbc8a814f6bcd07c2b3f8ec7d623bb10d91ba045aba1cda61fe5fb717157950c2e527c52924845fb749fc3c475056
cRPD,21.4R1,"Docker Tarball",2021-12-20,,tgz,128857584,1cab94fa607446b35413bf9d67065805,9e7fd24d8e98a7c9fcfef356e00df86b9d10f1bd,dffba42fcb3074877a91e953aba43d0610eeed07b3c7148fa2e6097542f290df,ac87240abe691990025e99806b12eec19e1c27eafa099f7a2c37a9ddf6ee215440ade0fc95fb14a5a78450a78b04d07f00591c1ba956ff391e2fda2f8cabcfdd
cRPD,22.1R1,"Docker Tarball - AMD64",2022-03-30,,tgz,136196750,546a7cd6a7e0044e139ed91d25966d49,90663efcbcefc774f9bf89222263f5253c73ecf2,0dd563dfd1f5468963231d9064e3334548d829c99363560eaf61b64ea27bc54c,fca75ef2a7478091c9c8bf0f9ffdad4cb1e9ee028358ce8dd918e295bb15fe60de401b502e6271bcfaf8b48082581ced05206f98eb4cd7922d99d6d7e487d1df
cRPD,22.1R1,"Docker Tarball - ARM64",2022-03-30,,tgz,116578341,ce5da06202c8fc3896d7cb686e5c302a,6a1e6d3f1d612f58e862812b71a914ba306e978c,ed967ead614c65e22e64ff4d4dcd0370313288f2a8742cac956a26806221e285,0b4f97b4909985910911c852845d87285fc84c02c79590094683448f17c70365f45e69fbdd43ef109b4943a0fa4d94d1269235ac5ca582b92b1050ac57839c40
cRPD,22.2R1,"Docker Tarball - AMD64",2022-06-24,,tgz,171787299,3e22019aff70dc3230d466d5d8591f15,d40bebe09e467170d0d2cd01301536974dba3f31,4296ef4b77d703b895680c1ad9ef4793af3aeb8f38ddef94f57d344476ad36f8,3c34dd70dcadaee0e49c374b87e3d9a7ab1825d8d736dd756c7f2139619d947958e22d6ae29507d843cddc8b31628776be99d173aeb58c7358348e81d7f1be46
cRPD,22.2R1,"Docker Tarball - ARM64",2022-06-24,,tgz,148638567,75e1e106a8046ce9f5fa5e499d35682c,ab4afb75f2d5b5e7ac4cd789bd77c9521c1f5971,5d33c00ceb84217bec79f660d1c20dba5154f59d9b1eb71378be1cc14f6d3862,37fcb3fedf54e8847dec0056f7d28886688e9a24c8f66670d7ca979161a9334d159f953a39c22765bf39f9ec61dd8b3a63c741dd3a1aacb4b30417408d290980
cRPD,22.3R1,"Docker Tarball - AMD64",2022-09-27,,tgz,157271061,6f73e403a0c08d66999f29cc2bac1ba2,3a242d9f0ab440750e886576d2abc5740affa7a0,8f28047ff218be807e44bda93021ec42da681ee56bdb962e0b6c677b7d2f8408,746efb5f6f639bb9ebbaecfadc45fd4ab761126955dc213af5890a074bf5993b99109ba1a178663ebfd331e67395fae8ec9ff6b8f0feebc89b2c7b12676c0eca
cRPD,22.3R1,"Docker Tarball - ARM64",2022-09-27,,tgz,137383089,5e248f2eac7ed9ea4f7f5d4cf7c93063,b2768cdf6ec8bac1270818cbd016ddba48dab01c,33a81be782d96ea4f0402341bc4f6d0f6596061085b715aa3646797f7b2f1f80,fd31145fd3744104900fe7082636fc7373a0da5a16babd8559e471844b18d5117d68f29b1299024ac802af4478298cda6bf4342a0af2189a3a68fb421554f858
cRPD,22.4R1,"Docker Tarball - AMD64",2022-12-22,,tgz,179139645,2292483f6376b49581f2502d8f1454b0,61ec75aef92fef02a812359cc4843da283805f3e,a59921401f1f694c99446f3c9dbcc761613223d24581651688782ede49c1a1aa,e8adbcc4c30efc4f53d5a5822bf40bf1b95824e17cb597c5a62ba88a90fdd156b5c611680db919a081a6e518e466095de8b37abe93d1e5e437d9ece01a70c2ff
cRPD,22.4R1,"Docker Tarball - ARM64",2022-12-22,,tgz,149324021,b36594c9197cc5d51b0ae3371f9beed3,95a7810b2b2c43da04711441e608f3918fa0d16f,4d7474beeff79453ae7303e9b82f82e4548e742f265e0f3a0615356a5d2f8a4d,0b7cbcc44702c55a67b7f56f40b9e673446db6293b52ee882dfefd1fee4df095e11c06c320b59bc2fe5629c2bfcf5b181693b0f1fe323e8786210d55c5f733fd
