OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
"proNX Service Manager",6.3.0,"BTI ProNX Service Manager SW",2016-08-18,,iso,1396525056,b82131239a3d3dc74ab69ac487772ddc,3d9d7c10e2af88cada2ad7dfc59e2a0fa923ede3,,
"proNX Service Manager",7.0.0,"BTI ProNX Service Manager SW",2016-08-18,,iso,1512935424,59d28ffe70953552c068fbdf9b2b1393,408f7f4609df38e8fe3205cd82105442b41f6f75,,
"proNX Service Manager",7.0.1,"BTI ProNX Service Manager SW",2016-09-12,,iso,1512935424,0111f8b1faa285b519213f4cbaf001a4,5ca64fb0d477e8d55c3b6f7ce7f839e27a7ac2ac,,
"proNX Service Manager",7.1.0,"BTI ProNX Service Manager SW",2016-10-12,,iso,1540386816,d8f36be60197c03046e250e7575a9386,b32c13147f5e39e7c2c63444030776107c6191bf,,
"proNX Service Manager",7.2.0,"BTI ProNX Service Manager SW",2016-12-26,,iso,1509863424,254fe4ac91e9fe097b7ac4ce76b75625,84c9a22b7746a3cb5774b4396529a4f7dd3132c9,,
"proNX Service Manager",7.3.0,"BTI ProNX Service Manager SW",2017-06-09,,iso,1546162176,2b88ea4be821c84d276b7e60bc37f3c7,2d04cd3ccf430039c5a6c7232fa097408638d0a2,,
"proNX Service Manager",7.4.0,"BTI ProNX Service Manager SW",2017-08-10,,iso,1785483264,ef242386f883ffe746f73a34424aaf1d,26fd9bcedc9f6fa7b716cfcf2afea77b01a02597,,
"proNX Service Manager",7.5.0,"BTI ProNX Service Manager SW",2017-12-08,,iso,1561915392,a1b691838ab9978eefb3af5927db029a,42d481d2ce1df296da903c85682a8e310263dd58,,
"proNX Service Manager",7.6.0,"BTI ProNX Service Manager SW",2018-02-13,,iso,1522274304,6e3d4d97282e530df9da7947a9026c64,f084a001a20d397e83ff603c0963b977c41ead90,,
"proNX Service Manager",7.7.0,"BTI ProNX Service Manager SW",2018-09-17,,iso,1526304768,bf19a2d2a374dda78ebba7a10c9f2699,62f8dc3304410ca718a0b22cb23464605fe05eb9,065a79cfa21b72cc5befd1e20195f363b097630348ff27bd4382effbeef0b367,e07adcce34f7af8119b465ed6b1a7931147235c24168b327b54e5c0fa019bcd9290143734090e9823725c5706c51e74908b18e91aa2cf889084bf91d01ca9655
"proNX Service Manager",7.8.0,"BTI ProNX Service Manager SW",2019-03-26,,iso,1533480960,cb51f237f814acb47cab2152643c1e11,9112f273533d29fe0221a28b99cfb495984b1398,bbc79ca2a3a13f460ada9abb1cfcfdf44eca8e0e28f22d05e9599702031e994d,0b8edd51157c0a7ce01d4164605219370218648455e5b7b1ac79369cbeb332c391765a1f854ec9b88e120489adf5ad560e0c9c24eef2d99e1f252c1149888527
