OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
vJunosEvolved,23.1R1,"vJunosEvolved KVM image",2023-05-09,,qcow2,1910374400,4ba05e60b9be4adf3e31ed2eec723d23,61c4427355fdb3c066c7bdd3f22f7504de00c7f4,383a6952951bcc63b46ac6a1115e393de9733abfe3afda43d94ca29334a32f3a,324b1682abf28b88e59b45209c7e4d37f8552984e7ecf0a5378829d7215dc4871e6c8d6fe58630f172502b5bb0f84d27855913953807829cfcd8c737cbedf412
vJunosEvolved,23.1R1,"vJunosEvolved Meta disk script",2023-05-09,,sh,1089,fe3701c0722e66d76ff343d2c9b7aa5d,636ded70af467abb5c755e74176088336b162341,15c8fb13f52df8acbaf8650e5feda3c032ff5ebb6e7dcfd4378372cd51059977,da17e28f0bfdb16f41876ef06294a17175152bce0e89174cfd5bee27d67ede66236518b2e2ccb38e69f1419fe5935e2390aaedccf6af0531066e90444754cf45
vJunosEvolved,23.1R1,"vJunosEvolved libvirt XML",2023-05-09,,xml,3916,c40ad78767abfe2173b0848c9a183419,3d10573efebdb35fdedad8313877216eb75b8d56,97728a11dcb925b8033effd7cfde6a071ef7fa250a0a0b408dddcce2d0f2df1d,2888c546747d0241b9f4f78ea052eae7728b5cd324bf0f48a8d8950c9aac0dcc66d4a3eebd432161f153944bf0663c01b81c2fec2a7f25e4292f31efcfcadc5b
vJunosEvolved,23.2R1,"vJunosEvolved KVM image",2023-08-02,,qcow2,1741946880,802f4ac9a670e6113676ebb470f4531e,7e85163e5d2ef99ceae46f221155f13bf0cb0143,db94206c54522315c1af9f27f6ddb5383c3043f2651dbb0b52559206b32f50a8,b8c879439e2aba9b07194c1ca884a1a1cf412af493d6a02b24700952a1dacd6ea73981965b2dd500ccd6281c88f65cbbea16034f8bde8fdf698ce1b57018e670
vJunosEvolved,23.2R1,"vJunosEvolved Meta disk script",2023-08-02,,sh,1089,fe3701c0722e66d76ff343d2c9b7aa5d,636ded70af467abb5c755e74176088336b162341,15c8fb13f52df8acbaf8650e5feda3c032ff5ebb6e7dcfd4378372cd51059977,da17e28f0bfdb16f41876ef06294a17175152bce0e89174cfd5bee27d67ede66236518b2e2ccb38e69f1419fe5935e2390aaedccf6af0531066e90444754cf45
vJunosEvolved,23.2R1,"vJunosEvolved libvirt XML",2023-08-02,,xml,3916,c40ad78767abfe2173b0848c9a183419,3d10573efebdb35fdedad8313877216eb75b8d56,97728a11dcb925b8033effd7cfde6a071ef7fa250a0a0b408dddcce2d0f2df1d,2888c546747d0241b9f4f78ea052eae7728b5cd324bf0f48a8d8950c9aac0dcc66d4a3eebd432161f153944bf0663c01b81c2fec2a7f25e4292f31efcfcadc5b
vJunosEvolved,23.2R1-S1,"vJunosEvolved KVM image",2023-11-21,,qcow2,1741422592,715dba85b93ba5a9134606e22e3eac35,104bc28fb15c8a129747930462f2807b92930efa,0f8f04f213c8be19bc44fdfeb82af928a902aa3d3d573b178b3cc6338354afe0,b97a49bb9507ebdb80f25ba59bbd3ef0a0be00c5d172f51632c99801183bdc043711fffced03856d8acd14ab1a5f9aebf71a44b5140c6cf017d6ab34429d8024
vJunosEvolved,23.2R1-S1,"vJunosEvolved Meta disk script",2023-11-21,,sh,1089,fe3701c0722e66d76ff343d2c9b7aa5d,636ded70af467abb5c755e74176088336b162341,15c8fb13f52df8acbaf8650e5feda3c032ff5ebb6e7dcfd4378372cd51059977,da17e28f0bfdb16f41876ef06294a17175152bce0e89174cfd5bee27d67ede66236518b2e2ccb38e69f1419fe5935e2390aaedccf6af0531066e90444754cf45
vJunosEvolved,23.2R1-S1,"vJunosEvolved libvirt XML",2023-11-21,,xml,2934,373f235a3241a1c9fb3d2b52de814484,4f976685e912ae515fd739c185e255e5c8799764,d0cdc9bb305a85a90637e00cea9d0163cec1160cf95b39898740f09cc2198221,f28a6428a8b19877ddc2cdf7ae1b0f8e6e35469f1a24bbf7a04227cd9c7dd4ee5065ed81a2823c4af35e2ab9a3eea5714582f51c3570c4632dfd0301960cfef9
vJunosEvolved,23.2R2-EVO,"vJunosEvolved KVM image",2024-03-29,,qcow2,1755840512,ebe0f3759f52ba64030a60259bf8c7db,63954d1c84fd870dfc5e3e704b40f7dcb82a7992,773b2da5b243daf4c88a9ff90d3672eabd5be4d1f3ce758a49b65791007b4e59,f497d23bca727e9c785d0f1e6931cc6dd9ce85cabaf55443892d58f7bde063e7c3d032ccffdd0b922618cda232c2da35a77b76b73b10ba769eb3888acea57f5b
vJunosEvolved,23.4R2-S2,"vJunosEvolved KVM image",2024-11-24,,qcow2,1706622976,fbe60c61e24ce3ca175bb82a5d1d9b9f,76435e474fed5876fc3c3e80cf212d0fae57ff81,8170e3210e951fcde47a80b20b9032317676dc6a8a4e44484e811bc0c22e220f,8cdde45ae37b8befc4862bd9fc1c63887120baf920175011367c0143e95a2e408b038717d630cde7134031ef714bcd68caafaa08200c5cd45876272d3e1723fb
vJunosEvolved,23.4R2-S2,"vJunosEvolved Meta disk script",2024-11-24,,sh,1089,fe3701c0722e66d76ff343d2c9b7aa5d,636ded70af467abb5c755e74176088336b162341,15c8fb13f52df8acbaf8650e5feda3c032ff5ebb6e7dcfd4378372cd51059977,da17e28f0bfdb16f41876ef06294a17175152bce0e89174cfd5bee27d67ede66236518b2e2ccb38e69f1419fe5935e2390aaedccf6af0531066e90444754cf45
vJunosEvolved,23.4R2-S2,"vJunosEvolved libvirt XML",2024-11-24,,xml,2934,373f235a3241a1c9fb3d2b52de814484,4f976685e912ae515fd739c185e255e5c8799764,d0cdc9bb305a85a90637e00cea9d0163cec1160cf95b39898740f09cc2198221,f28a6428a8b19877ddc2cdf7ae1b0f8e6e35469f1a24bbf7a04227cd9c7dd4ee5065ed81a2823c4af35e2ab9a3eea5714582f51c3570c4632dfd0301960cfef9
vJunosEvolved,24.4R1,"vJunosEvolved ISO image",2025-02-12,,iso,1475627008,079fc87a5589165eb8142c1c6b82e7e5,05a4b7e094c616f28eddf2e424ff653d288fce21,0241a596c96c1356fce75eb34435e243dfd0f68f11fa041d367ce7b26d269f3b,01496cb5ca448b4412614b7d1cd48e02f5677094b0819f5f3d7b05005f1c1ac5907449b1b17580c8c6bf9a8e2d0317be5e29ab50147192d620ba09c6365ec54c
vJunosEvolved,24.4R1,"vJunosEvolved KVM image",2025-02-12,,qcow2,1763115008,420018ddae60663744e9583795c50bc2,de8ad916fe060f52e02f11a920547dacbce54dde,e6e876d27af4511cfe52966a5651a9f0a15c06e37dea84e96eba0140453a59ae,195ab238bfd2d1ceb994f91b120f30d81db41ed39c55fafb66460e71837ba53bfa15041cb7c4712707190e8392e09d5cc3ef3294c1ecc027d1f44bedc08ba590
vJunosEvolved,24.4R1,"vJunosEvolved Meta disk script",2025-02-12,,sh,1089,fe3701c0722e66d76ff343d2c9b7aa5d,636ded70af467abb5c755e74176088336b162341,15c8fb13f52df8acbaf8650e5feda3c032ff5ebb6e7dcfd4378372cd51059977,da17e28f0bfdb16f41876ef06294a17175152bce0e89174cfd5bee27d67ede66236518b2e2ccb38e69f1419fe5935e2390aaedccf6af0531066e90444754cf45
vJunosEvolved,24.4R1,"vJunosEvolved libvirt XML",2025-02-12,,xml,3010,3ebb86bfae066014374ef7b732b46b44,83df5828ea8414c641624a402aa663b543356af9,655266d469e2576d165667609a9edd5d9aa1203d4e0a594c31aa8820d878517c,f653c95c294675d074f2459a29f16a9b69786e95ecc07197be21b09cbb379582adefc42a6d86fb53fafce69cdf588f148d39f9b6a0dcd5945badbc5ed1cf14c0
