OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
vSRX,21.2R1,"vSRX Hyper V Image",2021-06-29,,vhd,6691583488,0da2adfa522f8752c80be9efa0e0b0fa,bb0ac934401e77028a2876bb208adf2f45ba35fd,8f0add51878d7c3a1ddb1d319a68b68ae7a4da87d58387a3758d6a5eb9c4beca,7ab82000402cd3de52f55ecb1928cf4e88930b17face1b2777bb92dc24bc488abc1b492751935239e95c479ca7d3ec7dd07ff4ef98b13e2ecd2fd0daae43b0b3
vSRX,21.2R1,"vSRX KVM Appliance",2021-06-29,,qcow2,6395002880,754796dd28431f9c6d5cea28254c601c,526aa847833df9233de1d5aac3c378c3000d9d2e,dc6a14457376aa351887189f0e1a241559e9f63eebe6a3254f82aa4bb861e2ee,755732f6b1f9edc99845d00194010616e15ed672b9037df664dbbe3abce12d9a34343f1e4e3c87aeadcadb882f34f552f7b976450496f1f5f564fa511250c95a
vSRX,21.2R1,"vSRX Upgrade TGZ",2021-06-29,,tgz,1154312869,77f6830a6fc1b549428a976191ca11b7,a885e6ffc57ee8a7a946dacaff10e41ae16f4bea,67b9fdf70c50e9ed59db37b920785f24a1d337a16b8814c0e06d10f06ba26fa6,73672bcd634946ff2567bb51277b74d57965d89f567a622432f652b64aa0e69052d4df0c89133ee6912b11e479778560a72c38386a32e8ca775e415bfdc64e7e
vSRX,21.2R1,"vSRX VMware Appliance with IDE virtual disk (.ova)",2021-06-29,,ova,5457479680,8b01fe5eda9e5450610392050651d54c,e9f0f2af63445d6d98dc55629fb00e0337f99260,3410b75610f6b29b0a6dca3fcc5852c3a410d7e188750852ec0b081045b587ef,80a5f4eb8a86b7c3b0e36534484451929fe1254c8f531d0167c97cd07451c5c99acb5c4cb0a630a70face884c1be2154d1c804d2f8b06d98612821b376619173
vSRX,21.2R1,"vSRX VMware Appliance with SCSI virtual disk (.ova)",2021-06-29,,ova,5457479680,d0fdea4e957ca8f3677decd6ac4ab4e8,f4cfd7bc3eddf46247a889d055d1ecc91f8d585d,d5f67209f2045caa4763422eb1c9f963d13997ab41d28035c57bc0e33d87d89a,1a98db7dfbd23c8cfa220398289b33e5f95636d6dfc1868a30d709e560b3735581377f7ad55a995149e871f5e6bf7550f0d0c2ee94c895188f9eb63953490e15
vSRX,21.2R2,"vSRX Hyper V Image",2021-11-16,,vhd,6534258688,e23dc40c66b712ca757f106c0af21cb0,457822a752bd3c2c611d2a8c40ce2e7efcb628ef,c93a3e1dc09ee510970ea09a4dc9b25fabf08d023f212e879978b3a409f33849,3ce90a009c0df7621d2987eed5ab18311879236f4fdb54f77e5fedb4fcf853d1aaa130d4dd4843ef6118af43f6309194d9f2cff9541f47ce54d35891b4c46af5
vSRX,21.2R2,"vSRX KVM Appliance",2021-11-16,,qcow2,6226509824,b83711e5ec524c7d2d9773016616d8bf,3332d78e74732b221beb2e9c4177930969fe7a90,425d2665138a12ff827c9b8680b70bf5e8110386c6ef67b3eee36426bc62521d,bc5b9ad3f1afa0b106be31de8b118b5e0182ec64109c315099094d984cf5b26ae1fbf8400e506747db122e0ddd4277609ba5c83e1febbd8cce47c6ae771f891d
vSRX,21.2R2,"vSRX Upgrade TGZ",2021-11-16,,tgz,1149509899,eeb47922e68a12a8fcea00e427bd4e6a,2ff6547184a04c117d2611f63bc82fa08c25eb68,5d57d06b11553e5482eabafb92d62cfcf063b89798b16473728520c4cba8fbb1,1fc97cd42a848be9343faeab22d5da2fffeb5fc8afcd0ba5fb01b954436d3d409c089fda653970f8bf11d1158be972984d0d940f106c4f868b189a58d4ebfe7b
vSRX,21.2R2,"vSRX VMware Appliance with IDE virtual disk (.ova)",2021-11-16,,ova,5381683200,f2c236d175bdf36d39cfc56844e49337,718072992d15ad171b265039c156228c0e8bcc82,e18dae26017dc7297fbe236744e7ba5ad4e25b4285dea5cbd48ce468687647f7,d27f7d713dd7581da94abe30409ce7c26ab01d5eba658bd0220b6c96fc5c32443750bf8aa58304b3ff39ac8d08560adc486944612a4e27941a546c4ee159839a
vSRX,21.2R2,"vSRX VMware Appliance with SCSI virtual disk (.ova)",2021-11-16,,ova,5381683200,5633592125e13b3ecea62b09296fd9b4,e6fba99242f68dc2b68fd1d42565b039a20479ed,a174df191900e6c43a6a5c74c27f51723dd75dbffd00e4baed58e6737587e7ad,5d94c486ec95957eb38b09b3653895b712fe13c4ec146a172dde5cb293f108ebc53918fff6a5127ca89cc6fa5b4e96c80f25b75cb130db42015d68146bac2a6b
