OS,Release,Description,"Release Date","File Name","File Extension","File Size",MD5,SHA1,SHA256,SHA512
vSRX3.0,21.2R1,"vSRX Hyper V Image",2021-06-29,,vhd,1525041152,10848ea78eb8195a8c2fb98d388bb4f9,263561ba6e301cf6e788796cfea20d209ff2b345,89ac767ecd792ebd71774c113ed9235c4cf5e426a41b2caccae70d4c343da169,48e865c2b615338a3d85e6b9bc27006c0e0c717a6526ffacf9ecc67e941d52e48d366b44c5b58559875a7635634d08fa76da8e21ba0143238a3167fa68f1cabe
vSRX3.0,21.2R1,"vSRX KVM Appliance",2021-06-29,,qcow2,766050304,c9f47a3404d1f127e3439c5263913be4,439cc8c4d96690e60e0d89b9ea79cea05807570b,730f1526d75055f9b3cc8fa6ac15bb4507ee68c743661c886a72897a50afc7cd,d4cb8f412c12e8a74deb1bce278ba0625e003530b01fae7f5b27aa2494c803aa9fd8d4fcd91df75d8ad4e1a5bcb7081553b9276d76e2388da6da9a076cd7620a
vSRX3.0,21.2R1,"vSRX Upgrade TGZ",2021-06-29,,tgz,1040208321,cc805b2b75c3684e9ce3980d03e88270,07c992ed3c87f0a61c6fce6d957070d8d1c28fe9,655d2ea4393797a51bffce4b3aeaf3b68c4014bce6ef0316ad21472664ff5eb2,e911748db65d38c0a9ba4136cb38f476507d578e7e62e55fadb5ad9720509db8c8486dd0ac0c5f290fac5c31fea4a7754ffd38a19359c2dc2748376424dca01b
vSRX3.0,21.2R1,"vSRX VMware Appliance with IDE virtual disk (.ova)",2021-06-29,,ova,765556736,a9d39c9f8de19109356484e6a195a41f,2116c9f30c8bcd3d719b1088857a41be81b54b06,9abd440cd20a6b24903d354e81cd192fb1c9d4b919539eee7ba6d918a3a502d9,ebe3160b7eb5525d8dfef921702c4cda3099edc8e523cd51407503cb1d33c8eed65a2b57bc3d969570400925f619af6688664f9fedaef861eeedc37f1b88716c
vSRX3.0,21.2R1,"vSRX VMware Appliance with SCSI virtual disk (.ova)",2021-06-29,,ova,765556736,3354668f032d50a198ce58efbc7a056d,334eba86bdc38b64b0ebcacc802e8126c48a3f3c,450d9b054b5abd87a849dc405d9fb7d3fcc4d310e52e4174a479e7ca79d64535,3910c2f1e0ae6125f442b6a33bb93f931a3833bd7f454b3819d1638d0a70ce0e476c8f020bb703572be955f8d0ddcd7cac0cfa244f43b1f432fa6ef07466a2fe
vSRX3.0,21.2R2,"vSRX Hyper V Image",2021-11-16,,vhd,1520845824,f8388d2a0714939be09259a779029c5c,8b5964c2e44883792aa50fd03af8d2d5ed6fb868,83c3c2c9cf79cb04813fc615429fe328844482888fb0d7bdafed8e4f47f7b2fa,6b1507af6fc1a53c1ca0af084d41cc0fd7865405a5b7b7f720f72b1fe411e9f5e90de80393bd8f8fa51b94d494afbbf06c1b8f36b6299782cb6747a5c3a8bec1
vSRX3.0,21.2R2,"vSRX KVM Appliance",2021-11-16,,qcow2,765001728,e1dbda871e7182afde01f9fb5e20c814,d790d757a3ec9ff4388bc95857fbfec580f86ea9,c488c4065b256195579837532cf2ab4aefc5a0b88fa16187a2ed38106e24bc1a,2ad55ae91a778f8c534e5ec4e4c2040fa65259449cb0a001f50d70648ae4dbd1922295b1eb1cf75e46869e7159089dc164607b667f0c210c7f2f04739181d658
vSRX3.0,21.2R2,"vSRX Upgrade TGZ",2021-11-16,,tgz,1039245180,e365634c567fc51f4a541338092d654a,418c1a23fa45551a37dae0b0ba35e699c351808c,4cb0fc86f7429f4847d455d5b6e32cf8c2044e0e9c2cf263c47e23eaed2e052a,855ff11beca2bafae845ed4b0f65835c0edcca054f3c9b19b539cf3908f140f34ee256efaabf5ee9c3cb1f532355f1f7a6622c3a52eb80cd02f1bd8a76c11f4a
vSRX3.0,21.2R2,"vSRX VMware Appliance with IDE virtual disk (.ova)",2021-11-16,,ova,764566016,6c0a66060ef14b19d10ceefb93e5d621,3e150b89863fd951fea230dd22fb22888a2748c5,d3bc4d7f0f0b73596d1a6ccdaa863e28e09ed380b7ceaffbe66d04425c341cda,c5162e903af5643e4889fa76d256aa133a2ab1056e927702d182b84306f2098e740a461ecedc7c8dbf2e54b778ddad55d32cb9651c5ed9809dcf97996972c0e8
vSRX3.0,21.2R2,"vSRX VMware Appliance with SCSI virtual disk (.ova)",2021-11-16,,ova,764566016,c394ff2057813203436994d376c85439,2eb70af0d486bf72190be32968d468f6332ddb91,d57d2b46aafabcb0e67a3b51b1f4a9c6bc921c9c858bf7847e2e41baccb3aa6d,161832bec2f0ead82bd8c71b308c6022e1e405c636c0e49beb268260919cda2accd23f3a7ffe3cc9204afe8cfeab0cb5454f82f54bb6453220d3ea20653e0f46
vSRX3.0,21.2R3,"vSRX Hyper V Image",2022-03-29,,vhd,1522943488,72fb6b5823a4677623156289ea9a8477,eac21283189acbef5450b0fc84e329b08307fdde,8b3639b8976afc7261b2114c66509a8d292ed57352768f63be71d09c8a812f8a,176f84ccecd6437c334166ea7962d7e352a1f11804e0399f2b55214a2592d25b0bd2a4eb0add445713f2719d97fd1a04b592aca6eb2205b036971a033798e6d0
vSRX3.0,21.2R3,"vSRX KVM Appliance",2022-03-29,,qcow2,767426560,12f0a771542a338a0eef68440835e825,1db96e771215a83a2364d7ebeedfde088e0e38ea,7894264e4ab9833bb06a4ae9f46e7f61a7cec3530767c4393a7c75b5dd46771c,5c5f1094ca6ccce1165d5bc32e11da39df221b7640e257412cca4c92a1db1f92d9e273f3eb452258a98a1b315a2a4451f25bc0d46f6c68edff62bc03d9bb7493
vSRX3.0,21.2R3,"vSRX Upgrade TGZ",2022-03-29,,tgz,1041833013,2c959162f0a1ef542b10fb1a577628d0,ce7848a57a9da3d6c87907ff6538f7016a8dcdd4,33c819bc5fce7a8de8d920934b868afb17c6a9764d1e9962292e357812fed93c,8cce47f5ca2daebf0ed807fa14ac824010964d6edecfb0dbbd5cb1000c508eb2d309c9f977085837fb9957ce89ee93c44ca06f158b4792288abcf732708705c8
